country,year,metric,value,unit,source_dataset
AT,2015,heat_residential_TJ,193887.0,TJ,nrg_d_hhq
AT,2015,hdd,3371.1,degree-days,nrg_chdd_a
AT,2015,electricity_residential_TJ,61975.1,TJ,nrg_d_hhq
AT,2015,population,8584926.0,persons,demo_gind
AT,2015,gdp_real_meur,372754.0,MEUR_CLV20,nama_10_gdp
AT,2016,heat_residential_TJ,203843.8,TJ,nrg_d_hhq
AT,2016,hdd,3480.3,degree-days,nrg_chdd_a
AT,2016,electricity_residential_TJ,64219.8,TJ,nrg_d_hhq
AT,2016,population,8700471.0,persons,demo_gind
AT,2016,gdp_real_meur,380646.0,MEUR_CLV20,nama_10_gdp
AT,2017,heat_residential_TJ,205299.8,TJ,nrg_d_hhq
AT,2017,hdd,3559.9,degree-days,nrg_chdd_a
AT,2017,electricity_residential_TJ,64793.6,TJ,nrg_d_hhq
AT,2017,population,8772865.0,persons,demo_gind
AT,2017,gdp_real_meur,389295.3,MEUR_CLV20,nama_10_gdp
AT,2018,heat_residential_TJ,189488.5,TJ,nrg_d_hhq
AT,2018,hdd,3251.7,degree-days,nrg_chdd_a
AT,2018,electricity_residential_TJ,64593.4,TJ,nrg_d_hhq
AT,2018,population,8822267.0,persons,demo_gind
AT,2018,gdp_real_meur,398966.2,MEUR_CLV20,nama_10_gdp
AT,2019,heat_residential_TJ,193832.2,TJ,nrg_d_hhq
AT,2019,hdd,3334.8,degree-days,nrg_chdd_a
AT,2019,electricity_residential_TJ,66443.9,TJ,nrg_d_hhq
AT,2019,population,8858775.0,persons,demo_gind
AT,2019,gdp_real_meur,405968.0,MEUR_CLV20,nama_10_gdp
AT,2020,heat_residential_TJ,197868.7,TJ,nrg_d_hhq
AT,2020,hdd,3370.2,degree-days,nrg_chdd_a
AT,2020,electricity_residential_TJ,73568.9,TJ,nrg_d_hhq
AT,2020,population,8901064.0,persons,demo_gind
AT,2020,gdp_real_meur,380317.9,MEUR_CLV20,nama_10_gdp
AT,2021,heat_residential_TJ,226865.5,TJ,nrg_d_hhq
AT,2021,hdd,3688.6,degree-days,nrg_chdd_a
AT,2021,electricity_residential_TJ,79299.3,TJ,nrg_d_hhq
AT,2021,population,8932664.0,persons,demo_gind
AT,2021,gdp_real_meur,399041.3,MEUR_CLV20,nama_10_gdp
AT,2022,heat_residential_TJ,203115.5,TJ,nrg_d_hhq
AT,2022,hdd,3284.0,degree-days,nrg_chdd_a
AT,2022,electricity_residential_TJ,76138.3,TJ,nrg_d_hhq
AT,2022,population,8978929.0,persons,demo_gind
AT,2022,gdp_real_meur,420314.0,MEUR_CLV20,nama_10_gdp
AT,2023,heat_residential_TJ,203999.4,TJ,nrg_d_hhq
AT,2023,hdd,3208.8,degree-days,nrg_chdd_a
AT,2023,electricity_residential_TJ,80775.5,TJ,nrg_d_hhq
AT,2023,population,9104772.0,persons,demo_gind
AT,2023,gdp_real_meur,417009.3,MEUR_CLV20,nama_10_gdp
BE,2015,heat_residential_TJ,,TJ,missing (nrg_d_hhq; end-use detail not reported)
BE,2015,hdd,2657.6,degree-days,nrg_chdd_a
BE,2015,electricity_residential_TJ,,TJ,missing (nrg_d_hhq; end-use detail not reported)
BE,2015,population,11237274.0,persons,demo_gind
BE,2015,gdp_real_meur,454510.9,MEUR_CLV20,nama_10_gdp
BE,2016,heat_residential_TJ,253086.5,TJ,nrg_d_hhq
BE,2016,hdd,2723.6,degree-days,nrg_chdd_a
BE,2016,electricity_residential_TJ,64861.2,TJ,nrg_d_hhq
BE,2016,population,11311117.0,persons,demo_gind
BE,2016,gdp_real_meur,459935.5,MEUR_CLV20,nama_10_gdp
BE,2017,heat_residential_TJ,248704.2,TJ,nrg_d_hhq
