country,year,metric,value,unit,source_dataset
AT,2015,avg_household_size,2.2,persons,Eurostat ilc_lvph01
AT,2016,avg_household_size,2.2,persons,Eurostat ilc_lvph01
AT,2017,avg_household_size,2.2,persons,Eurostat ilc_lvph01
AT,2018,avg_household_size,2.2,persons,Eurostat ilc_lvph01
AT,2019,avg_household_size,2.2,persons,Eurostat ilc_lvph01
AT,2020,avg_household_size,2.2,persons,Eurostat ilc_lvph01
AT,2021,avg_household_size,2.2,persons,Eurostat ilc_lvph01
AT,2022,avg_household_size,2.2,persons,Eurostat ilc_lvph01
AT,2023,avg_household_size,2.2,persons,Eurostat ilc_lvph01
AT,2015,dwellings_total,4560000,units,Statistik Austria interp
AT,2016,dwellings_total,4610000,units,Statistik Austria interp
AT,2017,dwellings_total,4660000,units,Statistik Austria interp
AT,2018,dwellings_total,4710000,units,Statistik Austria interp
AT,2019,dwellings_total,4770000,units,Statistik Austria interp
AT,2020,dwellings_total,4830000,units,Statistik Austria interp
AT,2021,dwellings_total,4910000,units,Statistik Austria GWZ 2021
AT,2022,dwellings_total,4960000,units,Statistik Austria Wohnen
AT,2023,dwellings_total,5020000,units,Statistik Austria Wohnen
AT,2012,avg_dwelling_size_m2,99.7,m2,Eurostat ilc_hcmh02
BE,2015,avg_household_size,2.3,persons,Eurostat ilc_lvph01
BE,2016,avg_household_size,2.3,persons,Eurostat ilc_lvph01
BE,2017,avg_household_size,2.3,persons,Eurostat ilc_lvph01
BE,2018,avg_household_size,2.3,persons,Eurostat ilc_lvph01
BE,2019,avg_household_size,2.3,persons,Eurostat ilc_lvph01
BE,2020,avg_household_size,2.3,persons,Eurostat ilc_lvph01
BE,2021,avg_household_size,2.3,persons,Eurostat ilc_lvph01
BE,2022,avg_household_size,2.3,persons,Eurostat ilc_lvph01
BE,2023,avg_household_size,2.3,persons,Eurostat ilc_lvph01
BE,2015,dwellings_total,5380000,units,Statbel cadastral interp
