country,year,metric,value,unit,source_dataset
AT,2016,renovation_rate_total_pct,11.6,pct_per_year_avg_2012_2016,JRC Castellazzi/Esposito 2019 Table 2
AT,2016,renovation_rate_medium_or_light_pct,5.0,pct_per_year,JRC Castellazzi/Esposito 2019
AT,2016,renovation_rate_deep_pct,0.2,pct_per_year,JRC Castellazzi/Esposito 2019
AT,2020,renovation_rate_total_pct_weighted,1.4,pct_per_year_weighted,AT LTRS 2020
BE,2016,renovation_rate_total_pct,15.6,pct_per_year_avg_2012_2016,JRC Castellazzi/Esposito 2019
BE,2016,renovation_rate_medium_or_light_pct,7.5,pct_per_year,JRC Castellazzi/Esposito 2019
BE,2016,renovation_rate_deep_pct,0.2,pct_per_year,JRC Castellazzi/Esposito 2019
BE,2020,renovation_rate_total_pct_weighted,3.3,pct_per_year_weighted_highest_EU,JRC Esposito 2019
BG,2016,renovation_rate_total_pct,20.1,pct_per_year_avg_2012_2016,JRC Castellazzi/Esposito 2019
BG,2016,renovation_rate_medium_or_light_pct,9.9,pct_per_year,JRC Castellazzi/Esposito 2019
BG,2016,renovation_rate_deep_pct,0.1,pct_per_year,JRC Castellazzi/Esposito 2019
CY,2016,renovation_rate_total_pct,15.5,pct_per_year_avg_2012_2016,JRC Castellazzi/Esposito 2019
CY,2016,renovation_rate_medium_or_light_pct,5.2,pct_per_year,JRC Castellazzi/Esposito 2019
CY,2016,renovation_rate_deep_pct,0.4,pct_per_year,JRC Castellazzi/Esposito 2019
CZ,2016,renovation_rate_total_pct,13.7,pct_per_year_avg_2012_2016,JRC Castellazzi/Esposito 2019
CZ,2016,renovation_rate_medium_or_light_pct,6.8,pct_per_year,JRC Castellazzi/Esposito 2019
CZ,2016,renovation_rate_deep_pct,0.1,pct_per_year,JRC Castellazzi/Esposito 2019
DE,2016,renovation_rate_total_pct,9.8,pct_per_year_avg_2012_2016,JRC Castellazzi/Esposito 2019
DE,2016,renovation_rate_medium_or_light_pct,4.4,pct_per_year,JRC Castellazzi/Esposito 2019
DE,2016,renovation_rate_deep_pct,0.1,pct_per_year,JRC Castellazzi/Esposito 2019
DE,2020,renovation_rate_total_pct_weighted,1.0,pct_per_year_weighted,dena Gebaeudereport LTRS 2020
DE,2022,renovation_rate_total_pct_weighted,0.8,pct_per_year_weighted,Galvin 2024 Energy Efficiency journal
DK,2016,renovation_rate_total_pct,7.5,pct_per_year_avg_2012_2016,JRC Castellazzi/Esposito 2019
DK,2016,renovation_rate_medium_or_light_pct,3.8,pct_per_year,JRC Castellazzi/Esposito 2019
DK,2016,renovation_rate_deep_pct,0.0,pct_per_year_rounded_below_0.05,JRC Castellazzi/Esposito 2019
EE,2016,renovation_rate_total_pct,11.2,pct_per_year_avg_2012_2016,JRC Castellazzi/Esposito 2019
EE,2016,renovation_rate_medium_or_light_pct,4.3,pct_per_year,JRC Castellazzi/Esposito 2019
EE,2016,renovation_rate_deep_pct,0.1,pct_per_year,JRC Castellazzi/Esposito 2019
EL,2016,renovation_rate_total_pct,8.9,pct_per_year_avg_2012_2016,JRC Castellazzi/Esposito 2019
EL,2016,renovation_rate_medium_or_light_pct,3.4,pct_per_year,JRC Castellazzi/Esposito 2019
EL,2016,renovation_rate_deep_pct,0.2,pct_per_year,JRC Castellazzi/Esposito 2019
ES,2016,renovation_rate_total_pct,17.0,pct_per_year_avg_2012_2016,JRC Castellazzi/Esposito 2019
ES,2016,renovation_rate_medium_or_light_pct,3.8,pct_per_year,JRC Castellazzi/Esposito 2019
ES,2016,renovation_rate_deep_pct,0.3,pct_per_year,JRC Castellazzi/Esposito 2019
ES,2020,renovation_rate_total_pct_weighted,0.8,pct_per_year_weighted,ES ERESEE 2020 IDAE MITMA
FI,2016,renovation_rate_total_pct,9.9,pct_per_year_avg_2012_2016,JRC Castellazzi/Esposito 2019
FI,2016,renovation_rate_medium_or_light_pct,3.5,pct_per_year,JRC Castellazzi/Esposito 2019
FI,2016,renovation_rate_deep_pct,0.0,pct_per_year_rounded,JRC Castellazzi/Esposito 2019
FR,2016,renovation_rate_total_pct,13.3,pct_per_year_avg_2012_2016,JRC Castellazzi/Esposito 2019
FR,2016,renovation_rate_medium_or_light_pct,5.7,pct_per_year,JRC Castellazzi/Esposito 2019
FR,2016,renovation_rate_deep_pct,0.2,pct_per_year,JRC Castellazzi/Esposito 2019
