country,year,gas_boiler,oil_boiler,district_heat,electric_resistance,heat_pump,biomass_boiler,coal_other,source
AT,2015,0.30,0.18,0.19,0.05,0.04,0.23,0.01,Eurostat nrg_d_hhq + Statistik Austria Heizungssysteme
AT,2023,0.27,0.13,0.21,0.04,0.08,0.26,0.01,Eurostat nrg_d_hhq + Statistik Austria
BE,2015,0.59,0.31,0.02,0.05,0.01,0.02,0.00,Eurostat + Statbel Recensement + EHPA 2016
BE,2023,0.60,0.24,0.03,0.05,0.03,0.05,0.00,Eurostat + IBGE/SPF Energie 2023
BG,2015,0.04,0.04,0.20,0.20,0.005,0.46,0.06,Eurostat + NSI Energy in Households 2016
BG,2023,0.05,0.04,0.19,0.18,0.01,0.51,0.02,Eurostat + NSI EHCI 2023
CY,2015,0.00,0.62,0.00,0.13,0.20,0.05,0.00,Eurostat + CYSTAT EE survey 2015 ESTIMATED HP split
CY,2023,0.00,0.55,0.00,0.10,0.30,0.05,0.00,Eurostat + EHPA 2024 CY chapter
CZ,2015,0.37,0.02,0.36,0.06,0.01,0.14,0.04,Eurostat + CZSO ENERGO 2015
CZ,2023,0.36,0.02,0.34,0.06,0.03,0.16,0.03,Eurostat + CZSO ENERGO 2021 update
DE,2015,0.49,0.27,0.10,0.03,0.02,0.08,0.01,Eurostat + BDH Marktentwicklung 2016
DE,2023,0.49,0.23,0.10,0.03,0.05,0.10,0.00,Eurostat + BDH Marktentwicklung 2024
DK,2015,0.16,0.10,0.61,0.04,0.05,0.04,0.00,Eurostat + Energistyrelsen Energistatistik 2015
DK,2023,0.13,0.05,0.65,0.03,0.08,0.06,0.00,Eurostat + Energistyrelsen 2023
EE,2015,0.08,0.005,0.41,0.07,0.03,0.41,0.00,Eurostat + Statistics Estonia LE021
EE,2023,0.06,0.005,0.40,0.06,0.08,0.40,0.00,Eurostat + EHPA 2024 EE chapter
EL,2015,0.10,0.49,0.01,0.05,0.05,0.30,0.00,Eurostat + ELSTAT EHCS 2011-2012
EL,2023,0.18,0.38,0.01,0.05,0.10,0.28,0.00,Eurostat + ELSTAT EHCS 2021-2022
ES,2015,0.26,0.27,0.005,0.13,0.05,0.27,0.01,Eurostat + IDAE SPAHOUSEC II
ES,2023,0.31,0.23,0.005,0.12,0.10,0.24,0.00,Eurostat + IDAE Datos Basicos 2023
FI,2015,0.01,0.16,0.27,0.27,0.10,0.19,0.00,Eurostat + Statistics Finland Asumisen energia 2015
FI,2023,0.01,0.11,0.28,0.24,0.18,0.18,0.00,Eurostat + SULPU/Tilastokeskus 2023
FR,2015,0.37,0.16,0.05,0.18,0.07,0.17,0.00,Eurostat + CEREN Suivi du parc 2015
FR,2023,0.34,0.12,0.05,0.16,0.15,0.18,0.00,Eurostat + Observatoire EDF/RTE + Pegase 2023
HR,2015,0.23,0.06,0.09,0.03,0.005,0.59,0.005,Eurostat + DZS Anketa o potrosnji 2015 ESTIMATED
HR,2023,0.25,0.04,0.08,0.03,0.02,0.58,0.00,Eurostat + DZS HBS 2023
HU,2015,0.59,0.02,0.10,0.03,0.005,0.25,0.005,Eurostat + KSH Tukor energy use 2015
HU,2023,0.57,0.01,0.09,0.03,0.02,0.28,0.00,Eurostat + KSH 2022 update
IE,2015,0.25,0.62,0.00,0.05,0.02,0.02,0.04,Eurostat + SEAI Energy in Ireland 2015
IE,2023,0.29,0.55,0.00,0.05,0.06,0.03,0.02,Eurostat + SEAI Energy in Ireland 2023
IT,2015,0.65,0.08,0.03,0.03,0.02,0.19,0.00,Eurostat + ENEA RAEE 2015 + ISTAT EHCS 2013
IT,2023,0.62,0.06,0.03,0.03,0.05,0.21,0.00,Eurostat + ENEA RAEE 2023
LT,2015,0.13,0.05,0.39,0.03,0.03,0.37,0.005,Eurostat + Statistics Lithuania EI 2015
LT,2023,0.12,0.04,0.36,0.03,0.09,0.36,0.00,Eurostat + Statistics LT 2023 + EHPA 2024
LU,2015,0.54,0.32,0.05,0.02,0.03,0.04,0.00,Eurostat + STATEC Logement 2011 census
LU,2023,0.57,0.25,0.06,0.02,0.05,0.05,0.00,Eurostat + STATEC EE renovation 2023
LV,2015,0.08,0.04,0.40,0.02,0.005,0.45,0.005,Eurostat + CSB EU-SILC HE 2015
LV,2023,0.07,0.03,0.38,0.01,0.02,0.49,0.00,Eurostat + CSB 2023 + EHPA 2024
MT,2015,0.00,0.13,0.00,0.32,0.55,0.00,0.00,Eurostat + NSO HBS 2015 reversible-AC counted as HP
MT,2023,0.00,0.10,0.00,0.25,0.65,0.00,0.00,Eurostat + NSO HBS 2022
NL,2015,0.86,0.01,0.04,0.03,0.01,0.05,0.00,Eurostat + CBS Energieverbruik woningen 2015
NL,2023,0.81,0.005,0.05,0.02,0.06,0.05,0.00,Eurostat + CBS 2023 + Vereniging Warmtepompen
PL,2015,0.13,0.02,0.32,0.01,0.005,0.21,0.31,Eurostat + GUS Zuzycie energii 2015 + KAPE coal census
PL,2023,0.16,0.02,0.32,0.01,0.03,0.22,0.24,Eurostat + GUS Zuzycie 2021 + PORT PC 2023
PT,2015,0.03,0.06,0.00,0.21,0.13,0.57,0.00,Eurostat + INE ICESD 2010 + DGEG 2015 ESTIMATED HP split
PT,2023,0.03,0.04,0.00,0.18,0.22,0.53,0.00,Eurostat + INE ICESD 2020 + APIRAC 2023
RO,2015,0.34,0.02,0.16,0.03,0.005,0.45,0.005,Eurostat + INS ECRDS 2015
RO,2023,0.34,0.01,0.13,0.03,0.01,0.48,0.005,Eurostat + INS ECRDS 2023
SE,2015,0.02,0.02,0.50,0.13,0.21,0.12,0.00,Eurostat + Energimyndigheten ES 2015
SE,2023,0.01,0.01,0.49,0.10,0.28,0.11,0.00,Eurostat + Energimyndigheten ES 2023 + SVEP
SI,2015,0.13,0.21,0.10,0.07,0.05,0.43,0.01,Eurostat + SURS REUS 2015
SI,2023,0.14,0.16,0.11,0.06,0.09,0.44,0.00,Eurostat + SURS REUS 2023
SK,2015,0.48,0.03,0.23,0.05,0.02,0.18,0.01,Eurostat + SUSR EHCS 2015
SK,2023,0.46,0.02,0.21,0.05,0.04,0.22,0.005,Eurostat + SUSR EHCS 2022
CH,2015,0.20,0.49,0.04,0.06,0.10,0.11,0.00,BFE Privathaushalte 2015 + SFOE GEAK survey
