country,gas_boiler,oil_boiler,biomass_boiler,resistance_heater,hp_air,hp_ground,district_heat,h2_boiler,biomass_ceiling_2050,h2_ceiling_2050,demand_reduction_2050,turnover_rate
DE,0.5075,0.2111,0.1106,0.0251,0.0452,0.005,0.0955,0.0,0.12,0.0,0.35,0.06
FR,0.3333,0.1144,0.1841,0.1493,0.1642,0.01,0.0448,0.0,0.15,0.0,0.38,0.063
IT,0.625,0.05,0.22,0.025,0.055,0.0,0.025,0.0,0.12,0.0,0.35,0.06
ES,0.3116,0.2161,0.2412,0.1156,0.1106,0.0,0.005,0.0,0.08,0.0,0.32,0.057
NL,0.805,0.005,0.045,0.02,0.07,0.005,0.05,0.0,0.05,0.03,0.38,0.063
PL,0.16,0.255,0.225,0.01,0.03,0.0,0.32,0.0,0.15,0.0,0.335,0.0585
BE,0.603,0.2312,0.0603,0.0503,0.0251,0.0025,0.0276,0.0,0.1,0.0,0.35,0.06
AT,0.27,0.125,0.265,0.04,0.07,0.0225,0.2075,0.0,0.3,0.0,0.41,0.065
CZ,0.3503,0.0609,0.1624,0.0508,0.033,0.0127,0.3299,0.0,0.18,0.0,0.38,0.063
SE,0.0075,0.01,0.11,0.09,0.17,0.13,0.4825,0.0,0.3,0.0,0.425,0.065
DK,0.13,0.045,0.065,0.025,0.07,0.01,0.655,0.0,0.1,0.0,0.35,0.06
FI,0.01,0.1,0.175,0.245,0.1,0.09,0.28,0.0,0.3,0.0,0.38,0.063
RO,0.3415,0.0135,0.481,0.026,0.005,0.0025,0.1305,0.0,0.3,0.0,0.275,0.0525
HU,0.558,0.011,0.297,0.029,0.011,0.0025,0.0915,0.0,0.2,0.0,0.275,0.0525
BG,0.054,0.0455,0.5213,0.1776,0.01,0.0,0.1916,0.0,0.25,0.0,0.26,0.051
SK,0.4507,0.02,0.2241,0.0545,0.039,0.005,0.2066,0.0,0.2,0.0,0.29,0.054
HR,0.2543,0.0351,0.5858,0.0246,0.0145,0.0025,0.0832,0.0,0.3,0.0,0.305,0.0555
SI,0.1351,0.1456,0.4537,0.0635,0.088,0.005,0.1091,0.0,0.3,0.0,0.305,0.0555
PT,0.0275,0.036,0.519,0.184,0.2335,0.0,0.0,0.0,0.3,0.0,0.305,0.0555
EL,0.183,0.372,0.2735,0.048,0.1125,0.0,0.011,0.0,0.2,0.0,0.305,0.0555
IE,0.2791,0.5608,0.027,0.056,0.072,0.005,0.0,0.0,0.1,0.0,0.275,0.0525
EE,0.0555,0.001,0.4118,0.065,0.065,0.01,0.3918,0.0,0.4,0.0,0.35,0.06
LV,0.067,0.028,0.4863,0.0145,0.021,0.005,0.3783,0.0,0.4,0.0,0.312,0.0562
LT,0.1164,0.037,0.3498,0.0275,0.1029,0.005,0.3613,0.0,0.4,0.0,0.312,0.0562
LU,0.565,0.23,0.065,0.02,0.055,0.01,0.055,0.0,0.1,0.0,0.35,0.06
CY,0.0,0.5404,0.0556,0.0909,0.3131,0.0,0.0,0.0,0.03,0.0,0.35,0.06
MT,0.0,0.09,0.0,0.225,0.685,0.0,0.0,0.0,0.02,0.0,0.305,0.0555
CH,0.1777,0.3909,0.1168,0.0609,0.1574,0.0558,0.0406,0.0,0.12,0.0,0.35,0.06
UK,0.8041,0.0509,0.0153,0.0865,0.0204,0.0025,0.0204,0.0,0.05,0.02,0.35,0.06
