country,year,tech,capacity_gw,tag
AT,2025,nuclear,0.0,necp
AT,2030,nuclear,0.0,necp
AT,2040,nuclear,0.0,necp
AT,2050,nuclear,0.0,necp
AT,2025,hydro,15.0,necp
AT,2030,hydro,15.0,necp
AT,2040,hydro,15.5,necp
AT,2050,hydro,16.0,necp
AT,2025,wind_on,5.95,necp
AT,2030,wind_on,7.0,necp
AT,2040,wind_on,10.5,necp
AT,2050,wind_on,14.0,necp
AT,2025,wind_off,0.0,necp
AT,2030,wind_off,0.0,necp
AT,2040,wind_off,0.0,necp
AT,2050,wind_off,0.0,necp
AT,2025,solar,11.05,necp
AT,2030,solar,13.0,necp
AT,2040,solar,21.5,necp
AT,2050,solar,30.0,necp
AT,2025,gas,4.0,necp
AT,2030,gas,4.0,necp
AT,2040,gas,3.0,necp
AT,2050,gas,2.0,necp
AT,2025,coal,0.0,necp
AT,2030,coal,0.0,necp
AT,2040,coal,0.0,necp
AT,2050,coal,0.0,necp
AT,2025,biomass,3.0,necp
AT,2030,biomass,3.0,necp
AT,2040,biomass,3.0,necp
AT,2050,biomass,3.0,necp
AT,2025,battery_gw,0.85,necp
AT,2030,battery_gw,1.0,necp
AT,2040,battery_gw,3.5,necp
AT,2050,battery_gw,6.0,necp
BE,2025,nuclear,2.0,necp
BE,2030,nuclear,2.0,necp
BE,2040,nuclear,2.0,necp
BE,2050,nuclear,2.0,necp
BE,2025,hydro,0.1,necp
BE,2030,hydro,0.1,necp
BE,2040,hydro,0.1,necp
BE,2050,hydro,0.1,necp
BE,2025,wind_on,3.4,necp
BE,2030,wind_on,4.0,necp
BE,2040,wind_on,5.5,necp
BE,2050,wind_on,7.0,necp
BE,2025,wind_off,5.1,necp
BE,2030,wind_off,6.0,necp
BE,2040,wind_off,7.0,necp
BE,2050,wind_off,8.0,necp
BE,2025,solar,9.35,necp
BE,2030,solar,11.0,necp
BE,2040,solar,18.0,necp
BE,2050,solar,25.0,necp
BE,2025,gas,8.0,necp
BE,2030,gas,8.0,necp
BE,2040,gas,7.0,necp
BE,2050,gas,6.0,necp
BE,2025,coal,0.0,necp
BE,2030,coal,0.0,necp
BE,2040,coal,0.0,necp
BE,2050,coal,0.0,necp
BE,2025,biomass,1.0,necp
BE,2030,biomass,1.0,necp
BE,2040,biomass,1.0,necp
BE,2050,biomass,1.0,necp
BE,2025,battery_gw,1.7,necp
BE,2030,battery_gw,2.0,necp
BE,2040,battery_gw,5.0,necp
BE,2050,battery_gw,8.0,necp
BG,2025,nuclear,2.0,necp
BG,2030,nuclear,2.0,necp
BG,2040,nuclear,3.0,necp
BG,2050,nuclear,4.0,necp
BG,2025,hydro,3.0,necp
BG,2030,hydro,3.0,necp
BG,2040,hydro,3.0,necp
BG,2050,hydro,3.0,necp
BG,2025,wind_on,0.59,necp
BG,2030,wind_on,0.7,necp
BG,2040,wind_on,2.35,necp
BG,2050,wind_on,4.0,necp
BG,2025,wind_off,0.0,necp
BG,2030,wind_off,0.0,necp
BG,2040,wind_off,0.5,necp
BG,2050,wind_off,1.0,necp
BG,2025,solar,2.55,necp
BG,2030,solar,3.0,necp
BG,2040,solar,7.5,necp
BG,2050,solar,12.0,necp
BG,2025,gas,0.5,necp
BG,2030,gas,0.5,necp
BG,2040,gas,0.75,necp
BG,2050,gas,1.0,necp
BG,2025,coal,4.0,necp
BG,2030,coal,4.0,necp
BG,2040,coal,2.0,necp
BG,2050,coal,0.0,necp
BG,2025,biomass,0.1,necp
BG,2030,biomass,0.1,necp
BG,2040,biomass,0.15,necp
BG,2050,biomass,0.2,necp
