nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
AT111,MFH_LOW,4458,1598084.6849161636,2072898.4279515855,1.4814266487213996,7.8,EUBUCCO
AT111,NON_RESIDENTIAL,22628,2557676.117563173,0.0,1.0903526604207177,5.0,EUBUCCO
AT111,SFH,16976,2752881.434850119,3149300.7465686253,1.3379712535344015,7.0,EUBUCCO
AT112,MFH_HIGH,6,5229.86667229356,26672.32002869716,6.0,17.6,EUBUCCO
AT112,MFH_LOW,15885,6065666.059260603,8495334.286913434,1.5908655964746616,8.0,EUBUCCO
AT112,NON_RESIDENTIAL,60559,9397080.920104045,0.0,1.099169405043016,4.4,EUBUCCO
AT112,SFH,62233,9182112.10493343,10571960.008205637,1.3331833593109765,6.8,EUBUCCO
AT113,MFH_LOW,17531,6981048.702041244,8598530.222157143,1.4033426501625692,8.7,EUBUCCO
AT113,NON_RESIDENTIAL,44671,5090203.15943374,0.0,1.0745651541268384,4.9,EUBUCCO
AT113,SFH,36854,5896505.130975524,6536193.342867308,1.2915016009117057,7.5,EUBUCCO
AT121,MFH_HIGH,8,9397.984348017859,61790.56233262658,7.5,22.1,EUBUCCO
AT121,MFH_LOW,19219,6950971.376926893,11717331.780432697,1.9200218533742652,8.6,EUBUCCO
AT121,NON_RESIDENTIAL,90638,21307663.44612743,0.0,1.2898784174408084,4.9,EUBUCCO
AT121,SFH,59449,8646713.02275924,11704590.246849403,1.5345893118471294,6.8,EUBUCCO
AT122,MFH_HIGH,19,30277.520637295493,146949.13363606657,6.3999999999999995,18.5,EUBUCCO
AT122,MFH_LOW,19037,7537696.850339547,13161107.596714834,1.9825760361401483,8.3,EUBUCCO
AT122,NON_RESIDENTIAL,89035,12713173.283851359,0.0,1.1636592351322514,4.6,EUBUCCO
AT122,SFH,74634,10581645.618032997,13786736.403085677,1.507523380764799,6.9,EUBUCCO
AT123,MFH_HIGH,65,61403.14277055179,368928.956296079,7.364615384615385,21.5,EUBUCCO
AT123,MFH_LOW,11514,4462505.938310936,8082702.654751001,2.0370244919228764,8.4,EUBUCCO
AT123,NON_RESIDENTIAL,49128,9591352.291604927,0.0,1.260391222927862,4.5,EUBUCCO
AT123,SFH,39754,5843220.226062572,7818652.003386985,1.543142828394627,6.8,EUBUCCO
AT124,MFH_HIGH,21,9286.840123265352,60215.93701630657,7.714285714285714,20.5,EUBUCCO
AT124,MFH_LOW,24948,9940620.593264423,15369353.161091965,1.787962962962963,8.6,EUBUCCO
AT124,NON_RESIDENTIAL,113258,23215093.23250824,0.0,1.2201213159335322,4.9,EUBUCCO
AT124,SFH,67011,9710028.503712248,12217163.592181696,1.4537866917371773,7.0,EUBUCCO
AT125,MFH_HIGH,1,399.3528816073334,1765.1397367044137,5.2,16.0,EUBUCCO
AT125,MFH_LOW,18860,7372900.8351731505,9849488.907765167,1.5531601272534463,10.7,EUBUCCO
AT125,NON_RESIDENTIAL,63866,9561859.676933173,0.0,1.1490292174239816,5.5,EUBUCCO
AT125,SFH,55487,8374510.69715042,9661909.786722725,1.3499252077063097,8.7,EUBUCCO
