nuts_id,building_class,n_buildings,heat_demand_MWh
BG311,MFH_HIGH,9,1503.9559840447964
BG311,MFH_LOW,2135,98968.77316134142
BG311,NON_RESIDENTIAL,34392,0.0
BG311,SFH,64404,547637.8589708965
BG312,MFH_LOW,3950,145348.06963756625
BG312,NON_RESIDENTIAL,56523,0.0
BG312,SFH,90824,804442.4886895687
BG313,MFH_HIGH,28,8497.636555844932
BG313,MFH_LOW,4766,193851.47375130394
BG313,NON_RESIDENTIAL,51019,0.0
BG313,SFH,111536,908692.2406828179
BG314,MFH_HIGH,39,16402.263095012248
BG314,MFH_LOW,9537,381462.6648396699
BG314,NON_RESIDENTIAL,109699,0.0
BG314,SFH,96129,1032710.5451413678
BG315,MFH_HIGH,68,28287.348820862357
BG315,MFH_LOW,5357,208728.3773680042
BG315,NON_RESIDENTIAL,57732,0.0
BG315,SFH,74741,705736.2607677535
BG321,MFH_HIGH,104,38751.2022798452
BG321,MFH_LOW,11101,473143.5231273684
BG321,NON_RESIDENTIAL,91030,0.0
BG321,SFH,80594,1013086.4920217054
BG322,MFH_HIGH,677,75858.08419592389
BG322,MFH_LOW,4041,163759.52828958526
BG322,NON_RESIDENTIAL,44065,0.0
BG322,SFH,44687,444794.8759798604
BG323,MFH_HIGH,289,150593.62907197097
BG323,MFH_LOW,5881,293375.9076266448
BG323,NON_RESIDENTIAL,67591,0.0
BG323,SFH,54136,605351.0828069032
BG324,MFH_HIGH,97,25655.252635698092
BG324,MFH_LOW,4635,173631.16143155342
BG324,NON_RESIDENTIAL,31248,0.0
BG324,SFH,27694,351515.4575992781
BG325,MFH_HIGH,14,2546.929881747354
BG325,MFH_LOW,5121,199828.04302739495
BG325,NON_RESIDENTIAL,50542,0.0
BG325,SFH,37992,484165.5728131645
BG331,MFH_HIGH,970,348529.4762257995
BG331,MFH_LOW,11730,595024.7274617796
BG331,NON_RESIDENTIAL,79655,0.0
BG331,SFH,95438,1041181.4240182779
BG332,MFH_HIGH,178,62249.741377546845
BG332,MFH_LOW,5445,267437.76840378635
BG332,NON_RESIDENTIAL,64105,0.0
BG332,SFH,58123,637052.3206103696
BG333,MFH_HIGH,90,36863.672951892135
BG333,MFH_LOW,7985,335604.6125811498
BG333,NON_RESIDENTIAL,60321,0.0
BG333,SFH,42651,560076.8399207325
BG334,MFH_HIGH,1,844.1078902634431
BG334,MFH_LOW,1144,54742.84268888799
BG334,NON_RESIDENTIAL,6656,0.0
BG334,SFH,5055,72283.34276421994
BG341,MFH_HIGH,619,234895.49365746125
BG341,MFH_LOW,14016,785214.9067173499
BG341,NON_RESIDENTIAL,101573,0.0
BG341,SFH,104452,1163817.4715648172
BG342,MFH_HIGH,88,43306.72317427437
BG342,MFH_LOW,5984,289775.78604403394
BG342,NON_RESIDENTIAL,54632,0.0
BG342,SFH,59002,727533.1262791703
BG343,MFH_HIGH,244,98713.07590280064
BG343,MFH_LOW,4084,196286.39225605177
BG343,NON_RESIDENTIAL,42032,0.0
BG343,SFH,49814,540946.6604447701
BG344,MFH_HIGH,147,55257.42723643335
BG344,MFH_LOW,10800,580138.6156224036
BG344,NON_RESIDENTIAL,84190,0.0
BG344,SFH,106554,1234429.921457709
BG411,MFH_HIGH,4979,1716191.8704704011
BG411,MFH_LOW,20374,1453156.1508108533
BG411,NON_RESIDENTIAL,100275,0.0
BG411,SFH,80257,972628.9424411383
BG412,MFH_HIGH,35,7516.835265186967
BG412,MFH_LOW,5536,220843.68667683142
BG412,NON_RESIDENTIAL,109049,0.0
BG412,SFH,140636,1303274.5725168756
BG413,MFH_HIGH,89,26991.996416678467
BG413,MFH_LOW,8771,482260.4130828746
BG413,NON_RESIDENTIAL,53917,0.0
BG413,SFH,97315,995607.6909006428
BG414,MFH_HIGH,7,1916.5407051933062
BG414,MFH_LOW,1741,102472.63997563106
BG414,NON_RESIDENTIAL,52108,0.0
BG414,SFH,64481,566605.4739283287
BG415,MFH_HIGH,3,561.6674325554601
BG415,MFH_LOW,2792,142646.59948126954
BG415,NON_RESIDENTIAL,40276,0.0
BG415,SFH,58420,570824.77078552
BG421,MFH_HIGH,377,155258.83361548316
BG421,MFH_LOW,22167,1124951.5985005295
BG421,NON_RESIDENTIAL,118706,0.0
BG421,SFH,166915,1977972.5465198806
BG422,MFH_HIGH,467,91348.83076211596
BG422,MFH_LOW,8585,383201.8022956701
BG422,NON_RESIDENTIAL,80824,0.0
BG422,SFH,87973,1042296.9421005789
BG423,MFH_HIGH,4,1812.7426086081039
BG423,MFH_LOW,6221,289383.46466214716
BG423,NON_RESIDENTIAL,63461,0.0
BG423,SFH,90014,956961.5451593049
BG424,MFH_HIGH,16,4813.606487932135
BG424,MFH_LOW,3590,187458.32048881755
BG424,NON_RESIDENTIAL,30493,0.0
BG424,SFH,42822,508190.43621666136
BG425,MFH_HIGH,408,52101.33538497792
BG425,MFH_LOW,2526,126863.44401565382
BG425,NON_RESIDENTIAL,63274,0.0
BG425,SFH,45534,581705.8581198475
