building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1971-1990,1,4130.637581267762,75.73163283000001,312819.92865836946,0.0003128199286583695
MFH_HIGH,1991-2010,2,5706.454035582915,51.047162712,291298.2876629501,0.0002912982876629501
MFH_HIGH,2011-2020,3,8691.563211765726,44.38627395,385786.1057711754,0.0003857861057711754
MFH_HIGH,post-2020,2,14595.976273853608,36.549934230000005,533481.9728319899,0.0005334819728319899
MFH_HIGH,pre-1945,1,1924.3264665846302,83.56797255000002,160812.0613367829,0.0001608120613367829
MFH_HIGH,unknown,10038,45714260.28500264,71.87223551790001,3285586081.730293,3.2855860817302927
MFH_LOW,1946-1970,2,1588.433299647058,82.56797255000002,131153.71708276425,0.00013115371708276424
MFH_LOW,1971-1990,3,8732.330128086938,70.81346297,618366.5361670998,0.0006183665361670998
MFH_LOW,1991-2010,14,25911.770519526257,48.479894768,1256199.9080391978,0.0012561999080391978
MFH_LOW,2011-2020,3,8679.90768884878,41.42718902,359584.1765020897,0.0003595841765020897
MFH_LOW,post-2020,3,6424.854268897457,35.549934230000005,228403.14669663936,0.00022840314669663936
MFH_LOW,pre-1945,15,30863.83325912674,90.40431227,2790223.6198073053,0.0027902236198073054
MFH_LOW,unknown,199975,140661266.75965992,70.69591787420002,9944177362.92186,9.94417736292186
NON_RESIDENTIAL,1946-1970,10,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,10,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,7,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,7,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,post-2020,14,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,50,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,unknown,1799290,0.0,110.0,0.0,0.0
SFH,1946-1970,2,278.9185413438771,102.11790678000001,28482.57760416762,2.8482577604167623e-05
SFH,1991-2010,3,725.5496077081543,57.058953390000006,41399.10124835237,4.139910124835237e-05
SFH,pre-1945,7,1543.0028207719533,107.99516157000002,166636.8389322329,0.0001666368389322329
SFH,unknown,2078181,267973254.5172632,83.40864569850004,22351286242.704372,22.351286242704372
