nuts_id,country,building_type,n_buildings,dwellings_2021,dwellings_share,heat_2015_MWh
AT111,AT,MFH_HIGH,4458,26748.0,0.6117464092946665,163564.3902416204
AT111,AT,OTHER,22628,0.0,0.0,0.0
AT111,AT,SFH,16976,16976.0,0.38825359070533344,320893.3635312272
AT112,AT,MFH_HIGH,15891,95430.0,0.6052783468537323,672541.8201740519
AT112,AT,OTHER,60559,0.0,0.0,0.0
AT112,AT,SFH,62233,62233.0,0.39472165314626767,1077268.7551084235
AT113,AT,MFH_HIGH,17531,105186.0,0.7405378766544636,678611.7301895511
AT113,AT,OTHER,44671,0.0,0.0,0.0
AT113,AT,SFH,36854,36854.0,0.2594621233455365,666025.5960988103
AT121,AT,MFH_HIGH,19227,115474.0,0.6601418910034701,929140.6803144277
AT121,AT,OTHER,90638,0.0,0.0,0.0
AT121,AT,SFH,59449,59449.0,0.3398581089965299,1192691.0637683992
AT122,AT,MFH_HIGH,19056,114602.0,0.6056035849415544,1049832.6742903145
AT122,AT,OTHER,89035,0.0,0.0,0.0
AT122,AT,SFH,74634,74634.0,0.3943964150584455,1404838.5405326786
AT123,AT,MFH_HIGH,11579,70384.0,0.6390528246381811,664930.1878731084
AT123,AT,OTHER,49128,0.0,0.0,0.0
AT123,AT,SFH,39754,39754.0,0.3609471753618188,796748.3108086549
AT124,AT,MFH_HIGH,24969,150108.0,0.6913628010445885,1219205.5132298216
AT124,AT,OTHER,113258,0.0,0.0,0.0
AT124,AT,SFH,67011,67011.0,0.30863719895541153,1245117.7216312794
AT125,AT,MFH_HIGH,18861,113180.0,0.6710263418451742,777514.0541858732
AT125,AT,OTHER,63866,0.0,0.0,0.0
AT125,AT,SFH,55487,55487.0,0.32897365815482577,984552.643723318
AT126,AT,MFH_HIGH,24755,148978.0,0.5632097869316034,1210735.3831751887
AT126,AT,OTHER,93837,0.0,0.0,0.0
AT126,AT,SFH,115538,115538.0,0.4367902130683966,2054994.2360754483
AT127,AT,MFH_HIGH,20603,125396.0,0.5998689239806926,1245789.4870750161
AT127,AT,OTHER,61355,0.0,0.0,0.0
AT127,AT,SFH,83643,83643.0,0.4001310760193074,1461917.345386048
AT130,AT,MFH_HIGH,66081,519182.0,0.883202912357104,8619242.795802983
AT130,AT,OTHER,104140,0.0,0.0,0.0
AT130,AT,SFH,68658,68658.0,0.11679708764289602,946494.2220566235
AT211,AT,MFH_HIGH,17183,104582.0,0.5994405786800867,943866.4467768454
AT211,AT,OTHER,81262,0.0,0.0,0.0
AT211,AT,SFH,69884,69884.0,0.40055942131991334,1239791.7464569395
AT212,AT,MFH_HIGH,11766,70750.0,0.6237766923524537,533357.123066113
AT212,AT,OTHER,57226,0.0,0.0,0.0
AT212,AT,SFH,42672,42672.0,0.37622330764754636,850751.3733791502
AT213,AT,MFH_HIGH,11974,71844.0,0.6264299665178571,489449.8674857764
AT213,AT,OTHER,76285,0.0,0.0,0.0
AT213,AT,SFH,42844,42844.0,0.37357003348214285,800691.3442583121
AT221,AT,MFH_HIGH,27982,179596.0,0.7189073645614007,1860356.2790076777
AT221,AT,OTHER,101813,0.0,0.0,0.0
AT221,AT,SFH,70222,70222.0,0.2810926354385993,1396030.2281899247
AT222,AT,MFH_HIGH,6783,40726.0,0.5896337049370204,325932.6287854983
AT222,AT,OTHER,41174,0.0,0.0,0.0
AT222,AT,SFH,28344,28344.0,0.4103662950629796,540383.7929170271
AT223,AT,MFH_HIGH,10864,65688.0,0.6111080100474463,618232.5759879897
AT223,AT,OTHER,56844,0.0,0.0,0.0
AT223,AT,SFH,41802,41802.0,0.38889198995255375,736542.7737084277
