nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
CH011,MFH_HIGH,1069,950831.6723549457,5376222.179251304,6.685500467726848,20.4,EUBUCCO
CH011,MFH_LOW,38627,11926620.100215591,26261595.469226148,2.4942760245424185,10.9,EUBUCCO
CH011,NON_RESIDENTIAL,116921,20131592.036444183,0.0,1.4114530323893912,5.7,EUBUCCO
CH011,SFH,105863,11115290.483329536,15290534.973156847,1.5839877955470751,7.3,EUBUCCO
CH012,MFH_HIGH,253,160950.54565178728,882428.3336038018,6.496442687747035,20.3,EUBUCCO
CH012,MFH_LOW,22796,5732672.448696107,12448576.826581087,2.4213019828040006,11.4,EUBUCCO
CH012,NON_RESIDENTIAL,70010,9963268.839603482,0.0,1.4280531352663905,6.1,EUBUCCO
CH012,SFH,127181,10800774.072062854,15148571.335602136,1.5937498525723184,7.6,EUBUCCO
CH013,MFH_HIGH,1472,1386936.1910461248,8064388.360807077,6.623845108695652,24.2,EUBUCCO
CH013,MFH_LOW,7425,3152325.88689548,8179631.109814364,2.7513400673400676,11.6,EUBUCCO
CH013,NON_RESIDENTIAL,43094,8811240.966908561,0.0,1.506295539982364,5.3,EUBUCCO
CH013,SFH,33202,3111293.649918924,4079168.511502808,1.5102102282995,7.4,EUBUCCO
CH021,MFH_HIGH,505,597022.3610286814,3573884.652693853,7.782574257425742,18.7,EUBUCCO
CH021,MFH_LOW,46849,17144910.207608122,37183264.647408284,2.3656876347414033,9.3,EUBUCCO
CH021,NON_RESIDENTIAL,203711,37783017.135920145,0.0,1.426136536564054,6.0,EUBUCCO
CH021,SFH,141849,17273337.547034487,24303375.70007764,1.6217935974169715,7.0,EUBUCCO
CH022,MFH_HIGH,302,175407.70155676777,971277.6943368091,6.635761589403973,23.4,EUBUCCO
CH022,MFH_LOW,19024,5507431.9059145525,11049841.101151496,2.3445279646761987,10.5,EUBUCCO
CH022,NON_RESIDENTIAL,87821,12186385.17341128,0.0,1.4408478609899682,5.9,EUBUCCO
CH022,SFH,65540,7273956.8115149215,10183421.47103909,1.6209490387549588,7.3,EUBUCCO
CH023,MFH_HIGH,86,62138.69362421531,367486.3029199931,7.925581395348837,21.35,EUBUCCO
CH023,MFH_LOW,12477,4818881.673923096,9051773.174633507,2.1131201410595497,7.6,EUBUCCO
CH023,NON_RESIDENTIAL,40401,8443551.214685295,0.0,1.2676171381896488,5.2,EUBUCCO
CH023,SFH,48305,6273087.284682802,8146041.125636242,1.5108932822689163,6.8,EUBUCCO
CH024,MFH_HIGH,126,56886.55135648217,333563.3814939182,6.824603174603174,20.55,EUBUCCO
CH024,MFH_LOW,10087,3169617.631329452,6964508.9024201995,2.5162387231089522,11.4,EUBUCCO
CH024,NON_RESIDENTIAL,22346,4893596.307967264,0.0,1.4313389420925446,5.9,EUBUCCO
CH024,SFH,19408,2154728.4982914007,2855220.0972912787,1.5252885408079142,7.2,EUBUCCO
CH025,MFH_HIGH,10,4827.82263769281,30676.28067998846,7.4,20.0,EUBUCCO
CH025,MFH_LOW,4591,1770951.402988309,2958437.4165471084,1.8855369200609888,7.0,EUBUCCO
CH025,NON_RESIDENTIAL,16834,3936947.828733552,0.0,1.339045978377094,5.5,EUBUCCO
CH025,SFH,16812,2257007.3762784344,2871859.517420393,1.4811444206519153,6.5,EUBUCCO
CH031,MFH_HIGH,405,1009236.29499401,5118356.862570342,6.362716049382716,9.3,EUBUCCO
CH031,MFH_LOW,3382,2394550.740847058,7191541.101689856,3.0081312832643405,9.9,EUBUCCO
CH031,NON_RESIDENTIAL,4628,2513799.2445265795,0.0,1.876296456352636,5.1,EUBUCCO
CH031,SFH,2948,372158.7254270022,518929.3005035584,1.5724219810040705,7.0,EUBUCCO
