building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,84,378050.7714777903,156.101136,59014154.89335947,0.05901415489335947
MFH_HIGH,1971-1990,56,560301.7507785329,130.44638400000002,73089337.3379288,0.0730893373379288
MFH_HIGH,1991-2010,77,579072.2201932864,87.68846400000001,50777953.53381908,0.05077795353381908
MFH_HIGH,2011-2020,101,670721.398731239,74.86108799999998,50210933.653902374,0.050210933653902376
MFH_HIGH,post-2020,16,74676.52272626421,64.5991872,4824042.671038996,0.004824042671038997
MFH_HIGH,pre-1945,52,385640.35428750433,151.825344,58549979.44998222,0.05854997944998222
MFH_HIGH,unknown,7492,40057629.97796354,128.616345024,5152065958.089485,5.152065958089485
MFH_LOW,1946-1970,834,929915.7783287723,156.101136,145160909.3814455,0.1451609093814455
MFH_LOW,1971-1990,188,489282.6745734874,134.722176,65917226.59764009,0.06591722659764009
MFH_LOW,1991-2010,246,597124.8811138483,87.68846400000001,52360963.641055964,0.05236096364105596
MFH_LOW,2011-2020,283,598943.3156846476,74.86108799999998,44837548.26248017,0.04483754826248017
MFH_LOW,post-2020,55,115144.75009977988,64.5991872,7438257.2667929,0.0074382572667929
MFH_LOW,pre-1945,756,1277380.3448340427,198.85905600000004,254018649.52665228,0.25401864952665226
MFH_LOW,unknown,453087,316024432.1908342,141.315447264,44659133981.399376,44.65913398139938
NON_RESIDENTIAL,1946-1970,231,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,133,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,151,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,134,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,post-2020,51,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,724,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,unknown,1199075,0.0,120.0,0.0,0.0
SFH,1946-1970,139,32552.482108778793,245.16856000000004,7980845.163035061,0.007980845163035061
SFH,1971-1990,43,6377.338101090587,155.37692800000002,990891.202964809,0.000990891202964809
SFH,1991-2010,31,4619.6993332047,99.79163199999999,461007.3358098087,0.0004610073358098087
SFH,2011-2020,44,8613.358952918921,82.68846400000001,712225.421697514,0.000712225421697514
SFH,post-2020,10,1216.5966666022,69.861088,84992.76678600295,8.499276678600295e-05
SFH,pre-1945,196,38041.49789065288,236.61697600000005,9001264.193396663,0.009001264193396663
SFH,unknown,1336671,199925623.83207136,180.43306912000003,36073193903.75125,36.07319390375125
