building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1991-2010,2,2242.4324957264225,28.174999999999997,63180.53556709195,6.318053556709195e-05
MFH_HIGH,post-2020,2,6405.394595750724,22.505,144153.40537737,0.00014415340537737002
MFH_HIGH,unknown,7650,11120077.929523412,30.47135,338843786.61778325,0.33884378661778325
MFH_LOW,1991-2010,1,2916.6109950364876,28.174999999999997,82175.51478515303,8.217551478515304e-05
MFH_LOW,pre-1945,1,748.7914524284218,35.2625,26404.25859125723,2.640425859125723e-05
MFH_LOW,unknown,174076,60561941.87719658,30.47135,1845404127.619714,1.845404127619714
NON_RESIDENTIAL,1971-1990,1,0.0,70.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,2,0.0,70.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,3,0.0,70.0,0.0,0.0
NON_RESIDENTIAL,post-2020,4,0.0,70.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,1,0.0,70.0,0.0,0.0
NON_RESIDENTIAL,unknown,193381,0.0,70.0,0.0,0.0
SFH,2011-2020,2,260.4603043690982,27.339999999999996,7120.984721451144,7.120984721451143e-06
SFH,pre-1945,1,35.324717728888324,44.349999999999994,1566.651231276197,1.566651231276197e-06
SFH,unknown,515566,28578808.812601116,37.432599999999994,1069779118.7585723,1.0697791187585723
