nuts_id,building_class,n_buildings,heat_demand_MWh
CZ010,MFH_HIGH,8204,3647230.445811343
CZ010,MFH_LOW,22953,2733669.673133243
CZ010,NON_RESIDENTIAL,90296,0.0
CZ010,SFH,72374,1267174.4926778118
CZ020,MFH_HIGH,1488,654941.1478289486
CZ020,MFH_LOW,40213,2488146.5066030947
CZ020,NON_RESIDENTIAL,532785,0.0
CZ020,SFH,463395,7869691.260851404
CZ031,MFH_HIGH,1484,522060.969261165
CZ031,MFH_LOW,31178,2095118.652999323
CZ031,NON_RESIDENTIAL,304380,0.0
CZ031,SFH,184256,3437269.3046594732
CZ032,MFH_HIGH,1248,459139.184758438
CZ032,MFH_LOW,20254,1464935.118382331
CZ032,NON_RESIDENTIAL,235608,0.0
CZ032,SFH,164442,3000169.334452469
CZ041,MFH_HIGH,1126,333239.89831625734
CZ041,MFH_LOW,8257,757522.8553109261
CZ041,NON_RESIDENTIAL,107882,0.0
CZ041,SFH,53811,827268.3317702372
CZ042,MFH_HIGH,2669,982484.5403892408
CZ042,MFH_LOW,19423,1597934.6228340648
CZ042,NON_RESIDENTIAL,271742,0.0
CZ042,SFH,152636,2531446.136675967
CZ051,MFH_HIGH,1069,410566.1231318798
CZ051,MFH_LOW,12480,992422.181019583
CZ051,NON_RESIDENTIAL,157245,0.0
CZ051,SFH,99235,1865984.5544573436
CZ052,MFH_HIGH,800,336131.94040183426
CZ052,MFH_LOW,17325,1306074.288150418
CZ052,NON_RESIDENTIAL,230833,0.0
CZ052,SFH,148293,2655346.9577080375
CZ053,MFH_HIGH,657,361041.6612916965
CZ053,MFH_LOW,19517,1336158.0317241512
CZ053,NON_RESIDENTIAL,170712,0.0
CZ053,SFH,141397,2497081.821403371
CZ063,MFH_HIGH,525,184553.74409289364
CZ063,MFH_LOW,22803,1371477.2214524113
CZ063,NON_RESIDENTIAL,214202,0.0
CZ063,SFH,146600,2639201.507245035
CZ064,MFH_HIGH,4334,1246649.7239339936
CZ064,MFH_LOW,46130,2895541.191168296
CZ064,NON_RESIDENTIAL,253731,0.0
CZ064,SFH,275877,5020834.391686892
CZ071,MFH_HIGH,1245,494896.31041948614
CZ071,MFH_LOW,23134,1751179.4195881158
CZ071,NON_RESIDENTIAL,129504,0.0
CZ071,SFH,136400,2599862.795469395
CZ072,MFH_HIGH,822,360906.2711942193
CZ072,MFH_LOW,15288,1059264.2128930024
CZ072,NON_RESIDENTIAL,111572,0.0
CZ072,SFH,146129,2672605.9090324384
CZ080,MFH_HIGH,3646,1215897.661920058
CZ080,MFH_LOW,28629,2135938.6666182606
CZ080,NON_RESIDENTIAL,207347,0.0
CZ080,SFH,205201,3815967.589789628
