building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,315,611312.7060620188,153.8382,94043246.33771005,0.09404324633771005
MFH_HIGH,1971-1990,578,1459639.476861554,125.18040000000003,182718253.56932005,0.18271825356932006
MFH_HIGH,1991-2010,233,705817.4916798197,85.32570000000001,60224371.549824804,0.0602243715498248
MFH_HIGH,2011-2020,265,1092406.6718933515,72.55429999999998,79258801.39455183,0.07925880139455183
MFH_HIGH,post-2020,72,219048.22786473058,63.00169999999998,13800410.737465402,0.013800410737465402
MFH_HIGH,pre-1945,3377,4424738.295344474,151.33259999999999,669607150.554047,0.669607150554047
MFH_HIGH,unknown,154358,249402368.83968157,131.61075400000001,32824033812.37659,32.82403381237659
MFH_LOW,1946-1970,2431,1441562.0201792237,156.63619999999997,225800796.9051969,0.22580079690519692
MFH_LOW,1971-1990,2678,954775.7808901083,129.07459999999998,123237302.00807835,0.12323730200807835
MFH_LOW,1991-2010,2824,1653713.0219528894,80.37200000000001,132912223.0003976,0.1329122230003976
MFH_LOW,2011-2020,3146,2843869.263323143,69.7496,198358743.5690839,0.1983587435690839
MFH_LOW,post-2020,746,758412.5448116965,60.90170000000003,46188613.28035849,0.0461886132803585
MFH_LOW,pre-1945,15911,8706294.925681124,199.3880000000001,1735930732.6417067,1.7359307326417066
MFH_LOW,unknown,4214819,1795399649.1601005,144.56131100000005,259545327051.52408,259.54532705152405
NON_RESIDENTIAL,1946-1970,7698,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,8895,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,12537,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,12068,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,post-2020,2768,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,36870,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,unknown,39353448,0.0,120.0,0.0,0.0
SFH,1946-1970,5094,437374.61752977467,252.08570000000014,110255886.62222548,0.11025588662222548
SFH,1971-1990,10062,706252.7441759072,153.66260000000003,108524632.92720477,0.10852463292720477
SFH,1991-2010,13416,1120834.2409625482,98.69599999999996,110621856.24603967,0.11062185624603968
SFH,2011-2020,8448,1040227.3600716117,83.55770000000004,86919005.68465568,0.08691900568465569
SFH,post-2020,1391,201097.7284206533,77.5286,15590825.347633462,0.015590825347633463
SFH,pre-1945,10640,1359590.0719132894,241.35860000000002,328148756.33089095,0.32814875633089097
SFH,unknown,23261893,2426917132.101047,193.303004,469130372094.1971,469.13037209419707
