nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
EE001,MFH_HIGH,1036,965605.3310612594,6682399.412017642,8.440637065637066,29.9,EUBUCCO
EE001,MFH_LOW,18213,7260546.847428468,17147346.067104954,2.4424751551089883,9.9,EUBUCCO
EE001,NON_RESIDENTIAL,107931,19209351.944228314,0.0,1.2714298950255256,4.2,EUBUCCO
EE001,SFH,87505,11073203.340020584,14248302.338391846,1.4757979544026056,7.1,EUBUCCO
EE004,MFH_HIGH,14,12980.64651330784,73739.89736891151,7.228571428571429,25.75,EUBUCCO
EE004,MFH_LOW,8793,3820594.5065168943,6305285.706351685,1.7340498123507335,8.4,EUBUCCO
EE004,NON_RESIDENTIAL,120152,10944284.991932081,0.0,1.0975830614554896,4.2,EUBUCCO
EE004,SFH,88863,10110982.628445296,11453106.141002968,1.3064796371943328,6.5,EUBUCCO
EE006,MFH_HIGH,1,458.51766397384074,5066.62018691094,13.0,41.5,EUBUCCO
EE006,MFH_LOW,8176,3360239.44398253,5888390.564155784,1.8926002935420743,8.6,EUBUCCO
EE006,NON_RESIDENTIAL,107462,13304511.221010203,0.0,1.1547086411940966,4.4,EUBUCCO
EE006,SFH,63376,7615656.1823425945,9451744.652337736,1.4325738449886394,6.7,EUBUCCO
EE007,MFH_HIGH,114,98259.27624403022,732002.2508746372,8.969298245614034,32.5,EUBUCCO
EE007,MFH_LOW,3851,2167701.117119944,5262918.242009768,2.473539340431057,10.8,EUBUCCO
EE007,NON_RESIDENTIAL,47247,5271206.618912485,0.0,1.0970114504624633,3.6,EUBUCCO
EE007,SFH,50278,3722427.3044087193,4187850.1173297465,1.237296630733124,5.0,EUBUCCO
EE008,MFH_HIGH,69,50697.49212985463,317588.88431994745,7.684057971014494,30.2,EUBUCCO
EE008,MFH_LOW,15614,6025775.255341213,11195478.500399036,1.9918022287690533,9.0,EUBUCCO
EE008,NON_RESIDENTIAL,263055,26192412.61995801,0.0,1.1387831442093859,4.5,EUBUCCO
EE008,SFH,150091,17421818.81177163,21549750.220500067,1.42150628618638,6.9,EUBUCCO
