nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
EL301,MFH_HIGH,349,221887.79314840067,1012367.4539110668,5.353295128939828,14.8,EUBUCCO
EL301,MFH_LOW,59814,14636615.232234802,37974031.26661364,2.855819707760725,9.6,EUBUCCO
EL301,NON_RESIDENTIAL,17966,3730022.521846994,0.0,1.7102860959590338,5.3,EUBUCCO
EL301,SFH,27456,3427669.9051435087,5190436.614951897,1.7462412587412588,6.7,EUBUCCO
EL302,MFH_HIGH,32,32255.730343311257,145486.27581753055,5.35,15.4,EUBUCCO
EL302,MFH_LOW,36041,10225915.378673494,29289400.425071303,2.9772398102161426,10.9,EUBUCCO
EL302,NON_RESIDENTIAL,12187,4118978.013724097,0.0,1.9527447279888404,6.3,EUBUCCO
EL302,SFH,8919,996378.5492965066,1480908.8900962714,1.705762977912322,6.8,EUBUCCO
EL303,MFH_HIGH,789,329243.84811995353,1617360.2932949197,5.814195183776932,18.6,EUBUCCO
EL303,MFH_LOW,84233,15387706.190056024,45450980.343590505,3.2508007550484965,12.2,EUBUCCO
EL303,NON_RESIDENTIAL,24491,7100361.326841598,0.0,3.1699481442162427,12.6,EUBUCCO
EL303,SFH,7167,647412.9390822438,990442.7770174536,1.7519882796149016,7.4,EUBUCCO
EL304,MFH_HIGH,448,221987.0617404988,1111794.510360682,6.198214285714286,16.6,EUBUCCO
EL304,MFH_LOW,47281,9238343.234155992,25027630.70507117,2.983456356676043,10.8,EUBUCCO
EL304,NON_RESIDENTIAL,11352,3144675.377016312,0.0,2.4603417899929525,8.7,EUBUCCO
EL304,SFH,14708,1699359.05269238,2599856.559296981,1.7551196627685612,7.3,EUBUCCO
EL305,MFH_HIGH,7,3266.0530719840626,17585.84630559454,6.428571428571429,17.7,EUBUCCO
EL305,MFH_LOW,38043,13339864.66461574,26751325.08231064,2.2489840443708435,7.6,EUBUCCO
EL305,NON_RESIDENTIAL,114136,15188064.989988366,0.0,1.2049572439896263,4.3,EUBUCCO
EL305,SFH,160212,21153252.685619697,27716224.858640894,1.4959547349761566,5.5,EUBUCCO
EL306,MFH_LOW,10243,3796720.5779876187,7816779.524228055,2.2938885092258126,7.8,EUBUCCO
EL306,NON_RESIDENTIAL,34521,9388341.643742053,0.0,1.2563714840242173,4.7,EUBUCCO
EL306,SFH,50057,5755859.495206265,7416193.578330116,1.4286013944103721,5.5,EUBUCCO
EL307,MFH_HIGH,1335,414656.8368759544,2194377.2316657263,6.588539325842697,18.6,EUBUCCO
EL307,MFH_LOW,17549,6094259.331678436,18551182.407847382,3.202353410450738,11.3,EUBUCCO
EL307,NON_RESIDENTIAL,50230,9880585.177448366,0.0,1.57155882938483,4.5,EUBUCCO
EL307,SFH,52792,6011439.5096085165,7415990.8996771155,1.4051712380663737,5.3,EUBUCCO
EL411,MFH_HIGH,8,3465.605991580893,17344.5416700891,6.025,20.8,EUBUCCO
EL411,MFH_LOW,3446,1044974.755005513,2014258.3490719302,2.235577481137551,8.4,EUBUCCO
EL411,NON_RESIDENTIAL,46509,3803868.3761277827,0.0,1.1823969554279818,4.6,EUBUCCO
EL411,SFH,60013,4995121.004425455,5947734.486482357,1.3081082432139703,5.1,EUBUCCO
EL412,MFH_LOW,2013,638968.080748798,1253580.4963629218,2.243119721808246,8.4,EUBUCCO
EL412,NON_RESIDENTIAL,15238,1365659.2400513864,0.0,1.2005184407402547,7.0,EUBUCCO
EL412,SFH,30315,2489542.479894125,3062467.0659092134,1.3285865083292099,6.5,EUBUCCO
EL413,MFH_HIGH,10,3539.962047602678,18387.467572729245,6.1,20.5,EUBUCCO
EL413,MFH_LOW,2962,1010969.0459354251,2001067.8769298648,2.2289331532748142,7.4,EUBUCCO
EL413,NON_RESIDENTIAL,15902,920676.9863230122,0.0,1.1465979122123005,4.1,EUBUCCO
EL413,SFH,25639,2606509.2257374893,3412428.461757658,1.436023245836421,5.1,EUBUCCO
EL421,MFH_HIGH,14,8429.400773435564,41542.91648215401,5.878571428571428,20.6,EUBUCCO
EL421,MFH_LOW,13931,4659743.816094645,9643140.801671073,2.3377934103797284,8.9,EUBUCCO
EL421,NON_RESIDENTIAL,51790,7635298.480614374,0.0,1.3106159490249083,5.7,EUBUCCO
EL421,SFH,75778,7401987.239139508,9369729.650075642,1.3763493362189554,6.0,EUBUCCO
EL422,MFH_LOW,14335,4590377.119778779,8496022.073351819,2.185741192884548,7.4,EUBUCCO
EL422,NON_RESIDENTIAL,91016,6958269.324704883,0.0,1.1703997099411094,4.3,EUBUCCO
EL422,SFH,79297,8637352.10378165,10722135.255825687,1.398735134998802,5.2,EUBUCCO
EL431,MFH_HIGH,51,40946.71907064074,187659.23760874898,5.513725490196078,15.7,EUBUCCO
EL431,MFH_LOW,18478,6180400.755037334,14203330.52429498,2.4961684164952915,9.0,EUBUCCO
EL431,NON_RESIDENTIAL,81791,15145313.112057181,0.0,1.2261569121296965,4.7,EUBUCCO
EL431,SFH,89216,9279864.513736648,11733049.873888941,1.4014246323529411,5.9,EUBUCCO
EL432,MFH_HIGH,11,6312.424765626906,29553.086827592895,5.818181818181818,16.5,EUBUCCO
EL432,MFH_LOW,6435,1943895.3508591745,4143506.5664219926,2.5328515928515927,9.2,EUBUCCO
EL432,NON_RESIDENTIAL,36322,15109197.6147172,0.0,1.3134106051428887,4.7,EUBUCCO
EL432,SFH,33341,3298890.9196028984,4239577.110145396,1.4094958159623288,5.7,EUBUCCO
EL433,MFH_HIGH,30,29954.045961801203,143653.05169466508,5.496666666666667,15.05,EUBUCCO
EL433,MFH_LOW,4488,1479179.942773393,3044018.615763371,2.273306595365419,8.3,EUBUCCO
EL433,NON_RESIDENTIAL,33836,3487692.168937616,0.0,1.2077609646530323,4.7,EUBUCCO
EL433,SFH,28176,3155029.295303713,3909162.1801104145,1.3871308915388985,5.8,EUBUCCO
EL434,MFH_HIGH,6,2723.922357227369,12521.489884538885,5.45,15.55,EUBUCCO
EL434,MFH_LOW,10974,3068846.397495024,6260374.590753572,2.3344177145981413,8.5,EUBUCCO
EL434,NON_RESIDENTIAL,64288,8302519.864250245,0.0,1.2410325410652066,4.8,EUBUCCO
EL434,SFH,48826,5948629.110204892,7839119.744825919,1.4839573178224716,5.9,EUBUCCO
EL511,MFH_HIGH,14,16343.499692285952,71972.83496421024,5.178571428571429,18.1,EUBUCCO
EL511,MFH_LOW,8381,2976879.4864435927,6797647.36071861,2.49429662331464,7.8,EUBUCCO
EL511,NON_RESIDENTIAL,57945,6218033.915930858,0.0,1.2339356286133405,4.7,EUBUCCO
EL511,SFH,42377,5599697.731050919,7463318.472741563,1.5220732944757769,5.7,EUBUCCO
EL512,MFH_HIGH,7,9946.45269881938,45714.4658214996,5.414285714285714,18.5,EUBUCCO
EL512,MFH_LOW,4561,1748378.8939946685,3921407.5837718295,2.363472922604692,7.2,EUBUCCO
EL512,NON_RESIDENTIAL,30683,4350470.94565135,0.0,1.2544927158361308,4.2,EUBUCCO
EL512,SFH,27565,3231083.1506865844,4367694.498414696,1.4854380555051696,5.1,EUBUCCO
EL513,MFH_LOW,5276,1872205.3851919216,3879049.112148698,2.2908832448824867,7.3,EUBUCCO
EL513,NON_RESIDENTIAL,49080,4788380.083041498,0.0,1.2180603096984515,4.4,EUBUCCO
EL513,SFH,33557,4092899.9537368463,5399875.9003414055,1.4879995231993326,5.4,EUBUCCO
EL514,MFH_LOW,5794,2110159.893477564,4059712.3619979746,2.130928546772523,6.7,EUBUCCO
EL514,NON_RESIDENTIAL,31457,4341620.220886403,0.0,1.2066280954954383,4.0,EUBUCCO
EL514,SFH,31079,4013677.290413747,5177890.0261012595,1.4462080504520736,5.2,EUBUCCO
EL515,MFH_HIGH,45,31219.01760346215,141378.21968351808,5.328888888888889,17.6,EUBUCCO
EL515,MFH_LOW,8370,2590167.6084247082,5513248.590393236,2.4129988052568696,7.3,EUBUCCO
EL515,NON_RESIDENTIAL,43518,4907006.071143221,0.0,1.2593961119536743,4.2,EUBUCCO
EL515,SFH,45504,5330363.949481041,7054342.9021161245,1.4722310126582276,5.2,EUBUCCO
EL521,MFH_HIGH,10,12295.491464663488,55586.35268584653,5.36,17.55,EUBUCCO
EL521,MFH_LOW,9023,3540452.663489025,6400366.227517926,1.9909342790646127,6.8,EUBUCCO
EL521,NON_RESIDENTIAL,29676,5974261.54358485,0.0,1.1636305431998921,4.1,EUBUCCO
EL521,SFH,40639,5141866.093553967,6134326.259677951,1.347619281970521,5.4,EUBUCCO
EL522,MFH_HIGH,1410,469246.9728942163,2613173.0982210096,6.720425531914893,23.1,EUBUCCO
EL522,MFH_LOW,74956,17999469.25756627,42414556.45092861,2.7431693260045895,10.8,EUBUCCO
EL522,NON_RESIDENTIAL,92555,24306446.037363905,0.0,1.3291113392037168,4.6,EUBUCCO
EL522,SFH,147940,16450857.556340722,20319505.597943787,1.389428146545897,5.7,EUBUCCO
EL523,MFH_LOW,6212,2276372.27065269,3438349.9775508684,1.7056503541532517,6.5,EUBUCCO
EL523,NON_RESIDENTIAL,19914,4122190.152412183,0.0,1.0988550768303706,4.2,EUBUCCO
EL523,SFH,45014,5214813.180485135,5684110.227373715,1.225652019371751,5.2,EUBUCCO
EL524,MFH_HIGH,2,376.3061708572888,1919.1614713721729,6.0,19.299999999999997,EUBUCCO
EL524,MFH_LOW,11607,4605210.363966768,7706742.932910906,1.8614026018781769,6.9,EUBUCCO
EL524,NON_RESIDENTIAL,35033,6434228.201477092,0.0,1.1502611823138185,4.3,EUBUCCO
EL524,SFH,41746,5507776.487107295,6495927.627312747,1.3359315862597614,5.6,EUBUCCO
EL525,MFH_HIGH,3,1960.3226822223878,8888.964587275292,5.633333333333333,16.9,EUBUCCO
EL525,MFH_LOW,11624,4157829.5095749665,7665409.935362554,2.099079490708878,7.3,EUBUCCO
EL525,NON_RESIDENTIAL,27439,3826859.483979677,0.0,1.1657604140092568,4.5,EUBUCCO
EL525,SFH,43979,5276075.100577122,6366977.198892285,1.342972782464358,5.7,EUBUCCO
EL526,MFH_HIGH,46,20131.21695840735,110724.55315177742,6.391304347826087,21.9,EUBUCCO
EL526,MFH_LOW,11590,4335549.225933629,7217488.234981759,1.8809749784296808,6.7,EUBUCCO
EL526,NON_RESIDENTIAL,35760,6428899.983184044,0.0,1.1775335570469798,4.3,EUBUCCO
EL526,SFH,87472,9814334.423104811,11390582.660676297,1.2971362264496067,5.2,EUBUCCO
EL527,MFH_HIGH,2,1910.0798889519917,18351.773171532855,9.0,21.6,EUBUCCO
EL527,MFH_LOW,10685,3746139.469220244,7031631.599881683,2.126944314459523,7.3,EUBUCCO
EL527,NON_RESIDENTIAL,46623,4838777.224444457,0.0,1.210226712137786,4.7,EUBUCCO
EL527,SFH,83970,8910875.12263001,11271471.240657147,1.401199237823032,5.6,EUBUCCO
EL531,MFH_HIGH,3,922.6322832708353,4748.452595006455,6.333333333333333,21.7,EUBUCCO
EL531,MFH_LOW,11255,4330045.129811046,7919235.234522794,2.0044069302532206,7.4,EUBUCCO
EL531,NON_RESIDENTIAL,57305,6057542.264183911,0.0,1.1387837012477096,4.5,EUBUCCO
EL531,SFH,66824,8074961.595872751,9720988.887708256,1.3553139590566263,5.8,EUBUCCO
EL532,MFH_HIGH,15,5652.02194921799,34974.916816979494,7.333333333333333,19.8,EUBUCCO
EL532,MFH_LOW,3685,1245112.2022535256,2225012.3979320144,2.0929715061058345,11.3,EUBUCCO
EL532,NON_RESIDENTIAL,17813,1877416.3473371451,0.0,1.1653343064054345,5.7,EUBUCCO
EL532,SFH,13872,1923903.799965122,2382976.5154654677,1.4230320069204152,9.0,EUBUCCO
EL533,MFH_HIGH,2,2365.7620654289376,13638.705462949052,6.5,22.1,EUBUCCO
EL533,MFH_LOW,3600,1309551.6663694016,2126095.184500356,1.8671666666666666,7.3,EUBUCCO
EL533,NON_RESIDENTIAL,20175,2184748.709782304,0.0,1.1523122676579927,4.6,EUBUCCO
EL533,SFH,19724,2530178.2884897855,3010809.6274203225,1.3582843236665991,5.9,EUBUCCO
EL541,MFH_LOW,5811,1893336.434549603,3695639.8204978006,2.1895198760970573,7.2,EUBUCCO
EL541,NON_RESIDENTIAL,54892,6924661.266818676,0.0,1.2012333309043213,4.9,EUBUCCO
EL541,SFH,54711,6450291.330036063,8311565.537621231,1.438328672479026,5.7,EUBUCCO
EL542,MFH_HIGH,9,7372.261594476808,32818.786783073825,5.244444444444444,15.7,EUBUCCO
EL542,MFH_LOW,2520,776222.6665046619,1535889.164037719,2.247857142857143,7.3,EUBUCCO
EL542,NON_RESIDENTIAL,21459,2100236.9701360473,0.0,1.247658325178247,4.5,EUBUCCO
EL542,SFH,16909,2217657.6658659773,2973554.3439716976,1.521018392572003,5.7,EUBUCCO
EL543,MFH_HIGH,6,5753.73332754274,25627.908613276355,5.266666666666667,19.15,EUBUCCO
EL543,MFH_LOW,7532,2485098.4092354346,5023033.826798451,2.2621216144450345,8.6,EUBUCCO
EL543,NON_RESIDENTIAL,57078,6591053.789960948,0.0,1.1891113914292724,4.7,EUBUCCO
EL543,SFH,57961,6892214.122255104,8588879.590631645,1.400167353910388,6.0,EUBUCCO
EL611,MFH_HIGH,131,59870.08007015032,303459.18660746247,6.0580152671755725,19.0,EUBUCCO
EL611,MFH_LOW,16318,5717247.530656784,10252619.860674188,2.0260754994484618,6.8,EUBUCCO
EL611,NON_RESIDENTIAL,76104,8269964.522530452,0.0,1.1306159991590456,4.8,EUBUCCO
EL611,SFH,118826,14499452.471317826,17694372.778710246,1.370814468214027,5.6,EUBUCCO
