building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1971-1990,1,2870.5080348619836,67.2875,193149.3093957757,0.0001931493093957757
MFH_HIGH,pre-1945,5,12003.985966454384,74.980625,900066.3702559788,0.0009000663702559788
MFH_HIGH,unknown,5123,11079515.602562943,61.08171249999999,676755786.675014,0.676755786675014
MFH_LOW,1946-1970,1,629.955068677753,74.980625,47234.42477137585,4.723442477137585e-05
MFH_LOW,1971-1990,3,1351.2071458787593,67.2875,90919.35082831701,9.091935082831701e-05
MFH_LOW,1991-2010,3,9874.40020578403,49.336875,487172.0486527409,0.00048717204865274087
MFH_LOW,2011-2020,3,3533.0580508264275,36.515,129009.61472592698,0.00012900961472592698
MFH_LOW,pre-1945,61,62156.87633073877,74.980625,4660561.4353265,0.0046605614353265
MFH_LOW,unknown,733795,470273206.32596236,61.08171250000001,28725092785.255615,28.725092785255615
NON_RESIDENTIAL,1946-1970,14,0.0,80.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,17,0.0,80.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,20,0.0,80.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,11,0.0,80.0,0.0,0.0
NON_RESIDENTIAL,post-2020,5,0.0,80.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,203,0.0,80.0,0.0,0.0
NON_RESIDENTIAL,unknown,2379228,0.0,80.0,0.0,0.0
SFH,1946-1970,2,55.68242975405924,105.18875000000001,5857.1651827923,5.8571651827923e-06
SFH,1991-2010,2,301.70515329025017,59.03,17809.655198723467,1.7809655198723467e-05
SFH,2011-2020,3,304.17145513586036,43.64374999999999,13275.182945085704,1.3275182945085703e-05
SFH,post-2020,2,463.2322221051287,33.386250000000004,15465.586775257356,1.5465586775257355e-05
SFH,pre-1945,35,6667.090212369019,105.18875000000001,701302.8855763319,0.0007013028855763319
SFH,unknown,2852775,416929854.6217871,80.673325,33635117664.10618,33.635117664106176
