nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
FI193,MFH_HIGH,261,152050.5675104758,854998.7159727482,6.825670498084291,11.4,EUBUCCO
FI193,MFH_LOW,13202,5115905.088695326,9861628.830472343,2.166118769883351,8.6,EUBUCCO
FI193,NON_RESIDENTIAL,283055,21675002.336628385,0.0,1.211972231545106,5.8,EUBUCCO
FI193,SFH,113226,13497520.080883922,18635038.543260455,1.5644887216717007,7.2,EUBUCCO
FI194,MFH_HIGH,57,30280.78826047914,178394.06737320998,7.105263157894737,11.2,EUBUCCO
FI194,MFH_LOW,13835,5114095.669274455,9037175.692518217,2.0090928803758583,8.1,EUBUCCO
FI194,NON_RESIDENTIAL,232903,27938222.987275206,0.0,1.2407100810208542,6.0,EUBUCCO
FI194,SFH,93471,12243020.236178411,17061284.630277704,1.5862759572487721,7.1,EUBUCCO
FI195,MFH_HIGH,85,54862.125097167125,310220.7547595346,7.069411764705882,12.4,EUBUCCO
FI195,MFH_LOW,11304,4486201.52251556,8299048.390424911,2.0566790516631284,8.1,EUBUCCO
FI195,NON_RESIDENTIAL,185295,24481818.605415538,0.0,1.2184905151245313,6.1,EUBUCCO
FI195,SFH,89640,10511136.585473925,14063562.305483127,1.5034928603302098,7.0,EUBUCCO
FI196,MFH_HIGH,124,90950.73906824873,499021.00388795,6.816129032258065,11.0,EUBUCCO
FI196,MFH_LOW,14191,5152478.2802211335,9265182.676826352,2.032450144457755,8.1,EUBUCCO
FI196,NON_RESIDENTIAL,212697,21773486.199800417,0.0,1.2263995260864047,5.6,EUBUCCO
FI196,SFH,103098,13052160.425536253,18365821.496799264,1.5940978486488582,6.9,EUBUCCO
FI197,MFH_HIGH,1428,855490.8491425712,5079544.29715167,7.014705882352941,18.6,EUBUCCO
FI197,MFH_LOW,25221,9013073.260303013,18116745.030946326,2.239629673684628,8.7,EUBUCCO
FI197,NON_RESIDENTIAL,361250,33765875.12437825,0.0,1.2185381314878894,6.0,EUBUCCO
FI197,SFH,155543,18498215.07475243,26133469.06173199,1.5966086548414264,7.3,EUBUCCO
FI1B1,MFH_HIGH,4812,3246680.803295795,18712973.638359,6.801974231088944,22.5,EUBUCCO
FI1B1,MFH_LOW,54863,22795229.07012711,45416414.229816705,2.1184040245702933,7.0,EUBUCCO
FI1B1,NON_RESIDENTIAL,389260,48715986.26562846,0.0,1.1172280737810205,4.0,EUBUCCO
FI1B1,SFH,272186,33920804.0101459,40475394.1809844,1.3638023263503634,5.3,EUBUCCO
FI1C1,MFH_HIGH,1299,802920.0074023509,4757116.985887162,7.083602771362587,19.0,EUBUCCO
FI1C1,MFH_LOW,25273,9447897.76866868,16652713.344842836,1.9653385035413287,8.2,EUBUCCO
FI1C1,NON_RESIDENTIAL,302597,34060265.959252626,0.0,1.176921780453871,5.0,EUBUCCO
