building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,252,932440.5587740474,136.03248500000004,126842206.32482225,0.12684220632482224
MFH_HIGH,1971-1990,222,818192.9576398216,98.46709999999999,80565087.77921607,0.08056508777921606
MFH_HIGH,1991-2010,200,774539.3610749872,93.03595999999999,72060013.01539806,0.07206001301539805
MFH_HIGH,2011-2020,331,1636087.5332438613,77.82876800000001,127334677.05252878,0.1273346770525288
MFH_HIGH,post-2020,267,1245200.836541871,66.42337400000001,82710440.87073359,0.08271044087073359
MFH_HIGH,pre-1945,191,968363.5248667926,142.82141000000004,138303044.01404542,0.13830304401404542
MFH_HIGH,unknown,7849,28100751.701094087,107.8539203,3030776234.3398914,3.0307762343398914
MFH_LOW,1946-1970,1259,1634509.9915835673,136.032485,222346455.91244176,0.22234645591244176
MFH_LOW,1971-1990,3208,2173824.6145505104,98.4671,214050205.7034066,0.2140502057034066
MFH_LOW,1991-2010,2791,1947703.7268030734,93.03596000000002,181206486.0187017,0.1812064860187017
MFH_LOW,2011-2020,1200,1423575.5933409533,77.82876800000001,110795134.58459541,0.11079513458459542
MFH_LOW,post-2020,320,531381.9868939026,66.42337400000001,35296184.452316806,0.0352961844523168
MFH_LOW,pre-1945,441,657227.6403277692,142.82141000000001,93866178.28258489,0.0938661782825849
MFH_LOW,unknown,256826,176755210.3114244,107.8539203,19063742365.53811,19.063742365538108
NON_RESIDENTIAL,1946-1970,2400,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,2629,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,6042,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,1673,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,post-2020,384,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,1378,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,unknown,4260490,0.0,130.0,0.0,0.0
SFH,1946-1970,7160,949522.6055617398,194.141392,184341640.37922317,0.18434164037922318
SFH,1971-1990,6595,1195961.236543976,134.127295,160411045.58249867,0.16041104558249866
SFH,1991-2010,9359,1883431.0602291366,122.17878700000003,230115322.33691984,0.23011532233691984
SFH,2011-2020,2977,597455.2875638343,100.90682199999999,60287314.35516267,0.06028731435516267
SFH,post-2020,534,93272.20714725602,84.97547800000002,7925850.386453097,0.007925850386453097
SFH,pre-1945,1854,257092.7302713056,205.18471000000005,52751497.30382605,0.05275149730382605
SFH,unknown,2054532,301099855.49233544,148.29170812,44650611885.643585,44.650611885643585
