nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
FR101,MFH_HIGH,54008,15849770.69157408,104217179.279658,7.336929714116428,20.2,EUBUCCO
FR101,MFH_LOW,29169,5246291.603654234,16901801.020485226,3.7487023895231237,13.7,EUBUCCO
FR101,NON_RESIDENTIAL,23925,11717644.526829483,0.0,3.0674817136886103,12.8,EUBUCCO
FR101,SFH,15538,882176.3205726203,1149717.149257727,1.4380679624147252,7.9,EUBUCCO
FR102,MFH_HIGH,858,570731.2416976448,3735244.281175807,7.891724941724942,18.2,EUBUCCO
FR102,MFH_LOW,34312,9015171.519631991,21482679.494854376,2.8133801585451153,7.3,EUBUCCO
FR102,NON_RESIDENTIAL,327923,49186649.73851975,0.0,1.081712780134361,3.5,EUBUCCO
FR102,SFH,541810,38362811.777596526,50174495.4560085,1.4151639873756483,4.3,EUBUCCO
FR103,MFH_HIGH,2089,1247003.7776177817,7605064.723464772,7.118764959310675,17.8,EUBUCCO
FR103,MFH_LOW,43690,11400091.964338517,28723976.10520354,2.952014190890364,7.9,EUBUCCO
FR103,NON_RESIDENTIAL,96673,26715915.941084385,0.0,1.1624910781707405,4.2,EUBUCCO
FR103,SFH,472575,30474582.035156164,39767897.56506041,1.3656507432682643,4.5,EUBUCCO
FR104,MFH_HIGH,1357,936958.3177472574,6319188.974757795,8.123212969786294,19.9,EUBUCCO
FR104,MFH_LOW,26876,7422720.519632556,19931054.722927596,3.005380264920375,8.1,EUBUCCO
FR104,NON_RESIDENTIAL,135387,28813614.45722333,0.0,1.1316965439813276,3.8,EUBUCCO
FR104,SFH,398036,27053029.39042491,36425985.76885019,1.4423652634435078,4.7,EUBUCCO
FR105,MFH_HIGH,14058,5379156.477536699,36596442.37731144,7.581348698250107,19.3,EUBUCCO
FR105,MFH_LOW,47468,8778917.224132173,26407373.029685188,3.321111064295947,10.1,EUBUCCO
FR105,NON_RESIDENTIAL,44561,14069480.331398355,0.0,1.7064428536163911,5.2,EUBUCCO
FR105,SFH,130551,7100654.8128078375,9940366.349096043,1.4854187252491362,5.8,EUBUCCO
FR106,MFH_HIGH,4890,2569485.388835292,18240392.50498232,8.216134969325154,20.4,EUBUCCO
FR106,MFH_LOW,31902,7953966.103510476,22371190.880450305,3.223929534198483,9.6,EUBUCCO
FR106,NON_RESIDENTIAL,69767,21012498.734923042,0.0,1.238340476156349,4.4,EUBUCCO
FR106,SFH,264582,14397431.915244015,18928981.098398246,1.4023138384319418,4.9,EUBUCCO
FR107,MFH_HIGH,5764,2687502.7562233713,18341206.682903826,7.716950034698126,19.7,EUBUCCO
FR107,MFH_LOW,33893,7278769.11370698,21916848.133262064,3.33582745699702,9.9,EUBUCCO
