nuts_id,building_class,n_buildings,heat_demand_MWh
FR101,MFH_HIGH,54008,14036519.361433344
FR101,MFH_LOW,29169,2299713.332549886
FR101,NON_RESIDENTIAL,23925,0.0
FR101,SFH,15538,195232.93421236586
FR102,MFH_HIGH,858,333176.0238472625
FR102,MFH_LOW,34312,2394807.9860768593
FR102,NON_RESIDENTIAL,327923,0.0
FR102,SFH,541810,6714613.814399684
FR103,MFH_HIGH,2089,733601.9945696078
FR103,MFH_LOW,43690,3386618.915924755
FR103,NON_RESIDENTIAL,96673,0.0
FR103,SFH,472575,5360245.990427664
FR104,MFH_HIGH,1357,581615.4043361576
FR104,MFH_LOW,26876,2243480.146519437
FR104,NON_RESIDENTIAL,135387,0.0
FR104,SFH,398036,4859118.020253962
FR105,MFH_HIGH,14058,3732514.7950055753
FR105,MFH_LOW,47468,3240900.530730163
FR105,NON_RESIDENTIAL,44561,0.0
FR105,SFH,130551,1666423.8579994368
FR106,MFH_HIGH,4890,1745992.434315565
FR106,MFH_LOW,31902,2633372.6470228364
FR106,NON_RESIDENTIAL,69767,0.0
FR106,SFH,264582,3061480.2536455514
FR107,MFH_HIGH,5764,1811794.4224818745
FR107,MFH_LOW,33893,2633647.8249719488
FR107,NON_RESIDENTIAL,69225,0.0
FR107,SFH,206943,2625546.254488165
FR108,MFH_HIGH,1679,603193.7045993106
FR108,MFH_LOW,28972,2010983.8145967147
FR108,NON_RESIDENTIAL,81512,0.0
FR108,SFH,355002,3948426.4332059934
FRB01,MFH_HIGH,156,49703.81628339968
FRB01,MFH_LOW,9061,583143.7688795186
FRB01,NON_RESIDENTIAL,245996,0.0
FRB01,SFH,145165,2824074.1880723345
FRB02,MFH_HIGH,232,83585.59955150698
FRB02,MFH_LOW,11828,766399.7846036544
FRB02,NON_RESIDENTIAL,170561,0.0
FRB02,SFH,238342,3368683.9845511504
FRB03,MFH_HIGH,141,39959.40064324126
FRB03,MFH_LOW,8025,467104.2207060083
FRB03,NON_RESIDENTIAL,213572,0.0
FRB03,SFH,113347,2368950.4691916322
FRB04,MFH_HIGH,664,248640.49838726057
FRB04,MFH_LOW,19949,1291361.7238184956
FRB04,NON_RESIDENTIAL,313198,0.0
FRB04,SFH,220828,3945725.2182500246
FRB05,MFH_HIGH,77,26268.421566660658
FRB05,MFH_LOW,10697,700655.7412027627
FRB05,NON_RESIDENTIAL,245614,0.0
FRB05,SFH,164982,2984408.66680964
