building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,27506,93872904.22637221,117.06160799999996,10988913116.369125,10.988913116369126
MFH_HIGH,1971-1990,26991,107384644.94026324,79.40251199999999,8526610558.484993,8.526610558484993
MFH_HIGH,1991-2010,14664,48751007.89778623,59.00383499999997,2876496426.0846763,2.8764964260846764
MFH_HIGH,2011-2020,4086,16196131.718668785,42.084531000000005,681606607.3943999,0.6816066073943999
MFH_HIGH,post-2020,74,458645.8623706342,36.558468,16767390.082809234,0.016767390082809235
MFH_HIGH,pre-1945,59910,91426125.60767151,166.93262099999995,15262002775.563816,15.262002775563817
MFH_HIGH,unknown,33200,89018432.56485297,105.50008132589994,9391451875.09614,9.39145187509614
MFH_LOW,1946-1970,217715,154071752.9637043,152.12823,23438663071.365593,23.438663071365593
MFH_LOW,1971-1990,223256,154730453.7405571,84.382791,13056587539.324596,13.056587539324596
MFH_LOW,1991-2010,265528,179006139.22493505,63.165437999999995,11307001188.832006,11.307001188832006
MFH_LOW,2011-2020,99183,69969592.00140806,48.01993199999999,3359935049.975359,3.359935049975359
MFH_LOW,post-2020,126,266273.183664056,42.56209199999999,11333143.740242446,0.011333143740242446
MFH_LOW,pre-1945,1056222,377594550.1944787,166.727952,62955566040.28662,62.95556604028662
MFH_LOW,unknown,564319,340904338.0432209,117.13361737649997,39931358294.343636,39.93135829434364
NON_RESIDENTIAL,1946-1970,637123,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,689522,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,679812,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,154854,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,post-2020,903,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,1843576,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,unknown,24224879,0.0,120.0,0.0,0.0
SFH,1946-1970,2326479,287687412.81787187,211.53074199999998,60854731897.42473,60.85473189742473
SFH,1971-1990,4278987,599257429.1734705,90.776032,54398211566.88869,54.39821156688869
SFH,1991-2010,3061044,484899170.39196587,58.57477600000001,28402860288.29524,28.402860288295237
SFH,2011-2020,678332,112057526.11197774,54.617842000000024,6120340256.094876,6.1203402560948765
SFH,post-2020,70,8460.097986457171,41.92836399999997,354718.06785184314,0.00035471806785184314
SFH,pre-1945,5234597,746501471.2853909,211.18962699999994,157653367275.71286,157.65336727571287
SFH,unknown,6207646,442388565.05123085,145.97014457499998,64575522798.85494,64.57552279885495
