nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,3751548.0,14194999.999999998,14.194999999999999
BE2,Vlaams Gewest,1,BE,18013988.0,62349000.0,62.349
BE3,Région wallonne,1,BE,7845677.0,35296000.0,35.296
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2,BE,3751548.0,14194999.999999998,14.194999999999999
BE21,Prov. Antwerpen,2,BE,5617348.0,17744000.0,17.744
BE22,Prov. Limburg (BE),2,BE,614200.0,7698000.0,7.698
BE23,Prov. Oost-Vlaanderen,2,BE,4639177.0,13895000.0,13.895
BE24,Prov. Vlaams-Brabant,2,BE,3420052.0,11226000.0,11.226
BE25,Prov. West-Vlaanderen,2,BE,3723211.0,11786000.0,11.786
BE31,Prov. Brabant Wallon,2,BE,1201987.0,3725000.0,3.725
BE32,Prov. Hainaut,2,BE,817210.0,13010000.0,13.01
BE33,Prov. Liège,2,BE,3440298.0,10954000.0,10.954
BE34,Prov. Luxembourg (BE),2,BE,870905.0,2783000.0,2.783
BE35,Prov. Namur,2,BE,1515277.0,4824000.0,4.824
BE100,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,3,BE,3751548.0,14194999.999999998,14.194999999999999
BE211,Arr. Antwerpen,3,BE,3179546.0,10382999.999999998,10.382999999999997
BE212,Arr. Mechelen,3,BE,1039902.0,3253000.0,3.253
BE213,Arr. Turnhout,3,BE,1397900.0,4108000.0000000005,4.1080000000000005
BE221,BE221,3,BE,0.0,3906000.0,3.906
BE222,BE222,3,BE,0.0,2032000.0,2.032
BE223,Arr. Tongeren,3,BE,614200.0,1760000.0,1.76
BE231,Arr. Aalst,3,BE,903503.0,2620000.0,2.62
BE232,Arr. Dendermonde,3,BE,615122.0,1741000.0,1.741
BE233,Arr. Eeklo,3,BE,263965.0,751000.0,0.751
BE234,Arr. Gent,3,BE,1721059.0,5473000.0,5.473
BE235,Arr. Oudenaarde,3,BE,373228.0,1122000.0,1.122
BE236,Arr. Sint-Niklaas,3,BE,762300.0,2188000.0,2.188
BE241,Arr. Halle-Vilvoorde,3,BE,1869792.0,6335000.0,6.335
BE242,Arr. Leuven,3,BE,1550260.0,4891000.0,4.891
BE251,Arr. Brugge,3,BE,888211.0,2907000.0000000005,2.9070000000000005
BE252,Arr. Diksmuide,3,BE,155005.0,439000.0,0.439
BE253,Arr. Ieper,3,BE,320670.0,968000.0,0.968
BE254,Arr. Kortrijk,3,BE,887001.0,2798000.0,2.798
BE255,Arr. Oostende,3,BE,518155.0,1679000.0,1.679
BE256,Arr. Roeselare,3,BE,469091.0,1411000.0,1.411
BE257,Arr. Tielt,3,BE,278690.0,830000.0000000001,0.8300000000000001
BE258,Arr. Veurne,3,BE,206388.0,754000.0000000001,0.7540000000000001
BE310,Arr. Nivelles,3,BE,1201987.0,3725000.0,3.725
BE321,BE321,3,BE,0.0,798000.0,0.798
BE322,BE322,3,BE,0.0,4316000.0,4.316
BE323,Arr. Mons,3,BE,817210.0,2613000.0,2.613
BE324,BE324,3,BE,0.0,694000.0,0.694
BE325,BE325,3,BE,0.0,1698000.0,1.698
BE326,BE326,3,BE,0.0,1446000.0,1.446
BE327,BE327,3,BE,0.0,1445000.0,1.445
BE331,Arr. Huy,3,BE,347767.0,1038000.0000000001,1.038
BE332,Arr. Liège,3,BE,1966194.0,6341000.0,6.341
BE334,Arr. Waremme,3,BE,247345.0,669000.0,0.669
BE335,Arr. Verviers — communes francophones,3,BE,639816.0,2119000.0,2.119
BE336,Bezirk Verviers — Deutschsprachige Gemeinschaft,3,BE,239176.0,787000.0,0.787
BE341,Arr. Arlon,3,BE,192021.0,570000.0,0.57
BE342,Arr. Bastogne,3,BE,146606.0,460000.0,0.46
BE343,Arr. Marche-en-Famenne,3,BE,175661.0,627000.0,0.627
BE344,Arr. Neufchâteau,3,BE,193961.0,644000.0,0.644
BE345,Arr. Virton,3,BE,162656.0,482000.0,0.482
BE351,Arr. Dinant,3,BE,345739.0,1128000.0,1.128
BE352,Arr. Namur,3,BE,962865.0,3034000.0,3.034
BE353,Arr. Philippeville,3,BE,206673.0,662000.0,0.662
