nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
CH0,Schweiz/Suisse/Svizzera,1,CH,26974051.0,77878000.0,77.878
CH01,Région lémanique,2,CH,5092434.0,15021000.0,15.021
CH02,Espace Mittelland,2,CH,5925303.0,17605000.0,17.605
CH03,Nordwestschweiz,2,CH,3706737.0,10094000.0,10.094
CH04,Zürich,2,CH,4879521.0,13075000.000000002,13.075000000000001
CH05,Ostschweiz,2,CH,3694254.0,11225000.0,11.225
CH06,Zentralschweiz,2,CH,2532303.0,7033000.0,7.033
CH07,Ticino,2,CH,1143499.0,3825000.0,3.825
CH011,Vaud,3,CH,2548313.0,6771000.0,6.771
CH012,Valais,3,CH,1098632.0,4359000.0,4.359
CH013,Genève,3,CH,1445489.0,3891000.0,3.891
CH021,Bern,3,CH,3285245.0,10097000.0,10.097
CH022,Freiburg,3,CH,979933.0,2491999.9999999995,2.4919999999999995
CH023,Solothurn,3,CH,867993.0,2504000.0,2.504
CH024,Neuchâtel,3,CH,564136.0,1815000.0,1.815
CH025,Jura,3,CH,227996.0,697000.0,0.697
CH031,Basel-Stadt,3,CH,660378.0,1935000.0000000002,1.9350000000000003
CH032,Basel-Landschaft,3,CH,909849.0,2648000.0,2.648
CH033,Aargau,3,CH,2136510.0,5511000.0,5.511
CH040,Zürich,3,CH,4879521.0,13075000.000000002,13.075000000000001
CH051,Glarus,3,CH,127549.0,472000.0,0.472
CH052,Schaffhausen,3,CH,263951.0,689000.0,0.689
CH053,Appenzell Ausserrhoden,3,CH,167925.0,530000.0,0.53
CH054,Appenzell Innerrhoden,3,CH,47817.0,148000.0,0.148
CH055,St. Gallen,3,CH,1580874.0,4532000.0,4.532
CH056,Graubünden,3,CH,636257.0,2760000.0,2.76
CH057,Thurgau,3,CH,869881.0,2094000.0,2.094
CH061,Luzern,3,CH,1280379.0,3471000.0,3.471
CH062,Uri,3,CH,110798.0,364000.0,0.364
CH063,Schwyz,3,CH,498653.0,1352000.0,1.352
CH064,Obwalden,3,CH,115841.0,393000.0,0.393
CH065,Nidwalden,3,CH,135949.0,428000.0,0.428
CH066,Zug,3,CH,390683.0,1024999.9999999999,1.025
CH070,Ticino,3,CH,1143499.0,3825000.0,3.825
