nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
ES1,Noroeste,1,ES,12911305.0,14875000.0,14.875
ES2,Noreste,1,ES,13395390.0,16511000.0,16.511
ES3,Comunidad de Madrid,1,ES,19070861.0,29142000.000000007,29.142000000000007
ES4,Centro (ES),1,ES,16407959.0,21573000.0,21.573
ES5,Este,1,ES,40364372.0,50880000.0,50.88
ES6,Sur,1,ES,28733016.0,32562000.0,32.562
ES7,Canarias,1,ES,6110530.0,8041999.999999999,8.042
ES11,Galicia,2,ES,7994375.0,9305000.0,9.305
ES12,Principado de Asturias,2,ES,3176252.0,3610000.0,3.61
ES13,Cantabria,2,ES,1740678.0,1960000.0000000002,1.9600000000000002
ES21,País Vasco,2,ES,6660173.0,7722000.0,7.722
ES22,Comunidad Foral de Navarra,2,ES,1832345.0,2334000.0,2.334
ES23,La Rioja,2,ES,959976.0,1169000.0000000002,1.1690000000000003
ES24,Aragón,2,ES,3942896.0,5286000.0,5.286
ES30,Comunidad de Madrid,2,ES,19070861.0,29142000.000000007,29.142000000000007
ES41,Castilla y León,2,ES,7329940.0,9929000.0,9.929
ES42,Castilla-La Mancha,2,ES,5919860.0,7798000.0,7.798
ES43,Extremadura,2,ES,3158159.0,3846000.0,3.846
ES51,Cataluña,2,ES,22168631.0,29402000.0,29.402
ES52,Comunitat Valenciana,2,ES,14880997.0,17354000.0,17.354
ES53,Illes Balears,2,ES,3314744.0,4124000.0,4.124
ES61,Andalucía,2,ES,24185411.0,27385000.0,27.385
ES62,Región de Murcia,2,ES,4140416.0,4776000.0,4.776
ES63,Ciudad de Ceuta,2,ES,200265.0,191000.0,0.191
ES64,Ciudad de Melilla,2,ES,206924.0,209999.99999999997,0.20999999999999996
ES70,Canarias,2,ES,6110530.0,8041999.999999999,8.042
ES111,A Coruña,3,ES,3324635.0,3780000.0,3.78
ES112,Lugo,3,ES,993278.0,1258000.0,1.258
ES113,Ourense,3,ES,946045.0,1273000.0,1.273
ES114,Pontevedra,3,ES,2730417.0,2994000.0,2.994
ES120,Asturias,3,ES,3176252.0,3610000.0,3.61
ES130,Cantabria,3,ES,1740678.0,1960000.0000000002,1.9600000000000002
ES211,Araba/Álava,3,ES,1009779.0,1206000.0000000002,1.2060000000000002
ES212,Gipuzkoa,3,ES,2164872.0,2443000.0,2.443
ES213,Bizkaia,3,ES,3485522.0,4073000.0000000005,4.073
ES220,Navarra,3,ES,1832345.0,2334000.0,2.334
ES230,La Rioja,3,ES,959976.0,1169000.0000000002,1.1690000000000003
ES241,Huesca,3,ES,658645.0,949000.0,0.949
ES242,Teruel,3,ES,396774.0,624000.0,0.624
ES243,Zaragoza,3,ES,2887477.0,3712999.9999999995,3.7129999999999996
ES300,Madrid,3,ES,19070861.0,29142000.000000007,29.142000000000007
ES411,Ávila,3,ES,493805.0,714000.0000000001,0.7140000000000001
ES412,Burgos,3,ES,1089460.0,1473000.0,1.473
ES413,León,3,ES,1409253.0,1989000.0,1.989
ES414,Palencia,3,ES,488227.0,656000.0,0.656
ES415,Salamanca,3,ES,1017164.0,1299000.0,1.299
ES416,Segovia,3,ES,459255.0,648000.0,0.648
ES417,Soria,3,ES,271616.0,384000.0,0.384
ES418,Valladolid,3,ES,1567746.0,2038000.0,2.038
ES419,Zamora,3,ES,533414.0,728000.0,0.728
ES421,Albacete,3,ES,1120337.0,1504999.9999999998,1.5049999999999997
ES422,Ciudad Real,3,ES,1432022.0,1946000.0,1.946
ES423,Cuenca,3,ES,584008.0,870000.0,0.87
ES424,Guadalajara,3,ES,769794.0,972000.0,0.972
ES425,Toledo,3,ES,2013699.0,2505000.0,2.505
ES431,Badajoz,3,ES,1960300.0,2391000.0,2.391
ES432,Cáceres,3,ES,1197859.0,1455000.0,1.455
ES511,Barcelona,3,ES,16300843.0,21393000.0,21.393
ES512,Girona,3,ES,2225654.0,3007000.0,3.007
ES513,Lleida,3,ES,1258496.0,1861000.0,1.861
ES514,Tarragona,3,ES,2383638.0,3141000.0,3.141
ES521,Alicante/Alacant,3,ES,5530770.0,6112000.0,6.112
ES522,Castellón/Castelló,3,ES,1745001.0,2145000.0,2.145
ES523,Valencia/València,3,ES,7605226.0,9097000.000000002,9.097000000000001
ES531,Eivissa y Formentera,3,ES,460857.0,454000.0,0.454
ES532,Mallorca,3,ES,2575438.0,3344000.0,3.344
ES533,Menorca,3,ES,278449.0,326000.0,0.326
ES611,Almería,3,ES,2055831.0,2338000.0,2.338
ES612,Cádiz,3,ES,3528651.0,3636000.0,3.636
ES613,Córdoba,3,ES,2224388.0,2592000.0,2.592
ES614,Granada,3,ES,2700599.0,3419000.0,3.419
ES615,Huelva,3,ES,1495914.0,1627000.0,1.627
ES616,Jaén,3,ES,1819619.0,2289000.0,2.289
ES617,Málaga,3,ES,4892531.0,5275000.0,5.275
ES618,Sevilla,3,ES,5467878.0,6209000.0,6.209
ES620,Murcia,3,ES,4140416.0,4776000.0,4.776
ES630,Ceuta,3,ES,200265.0,191000.0,0.191
ES640,Melilla,3,ES,206924.0,209999.99999999997,0.20999999999999996
ES703,El Hierro,3,ES,32191.0,38999.99999999999,0.03899999999999999
ES704,Fuerteventura,3,ES,335081.0,302000.0,0.302
ES705,Gran Canaria,3,ES,2392089.0,3233000.0,3.233
ES706,La Gomera,3,ES,65930.0,85000.0,0.085
ES707,La Palma,3,ES,234736.0,320000.0,0.32
ES708,Lanzarote,3,ES,426648.0,569000.0,0.569
ES709,Tenerife,3,ES,2623855.0,3493999.999999999,3.493999999999999
