nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
EL3,Αττική,1,GR,11730460.0,17982000.0,17.982
EL4,"Νησιά Αιγαίου, Κρήτη",1,GR,3325805.0,6573000.0,6.573
EL5,Βόρεια Ελλάδα,1,GR,8652767.0,19465000.0,19.465
EL6,Κεντρική Ελλάδα,1,GR,7485199.0,16581000.0,16.581
EL30,Aττική,2,GR,11730460.0,17982000.0,17.982
EL41,Βόρειο Αιγαίο,2,GR,575623.0,1281000.0,1.281
EL42,Νότιο Αιγαίο,2,GR,931810.0,1935000.0,1.935
EL43,Κρήτη,2,GR,1818372.0,3357000.0,3.357
EL51,"Aνατολική Μακεδονία, Θράκη",2,GR,1653097.0,3777000.0,3.777
EL52,Κεντρική Μακεδονία,2,GR,5316242.0,11790000.0,11.79
EL53,Δυτική Μακεδονία,2,GR,734766.0,1786000.0,1.786
EL54,Ήπειρος,2,GR,948662.0,2112000.0,2.112
EL61,Θεσσαλία,2,GR,1979590.0,3966000.0,3.966
EL62,Ιόνια Νησιά,2,GR,595723.0,1382000.0,1.382
EL63,Δυτική Ελλάδα,2,GR,1867586.0,3845000.0,3.845
EL64,Στερεά Ελλάδα,2,GR,1472334.0,3390000.0,3.39
EL65,Πελοπόννησος,2,GR,1569966.0,3998000.0,3.998
EL301,Βόρειος Τομέας Αθηνών,3,GR,1815408.0,2917000.0,2.917
EL302,Δυτικός Τομέας Αθηνών,3,GR,1443889.0,2500000.0,2.5
EL303,Κεντρικός Τομέας Αθηνών,3,GR,3345977.0,4582000.0,4.582
EL304,Νότιος Τομέας Αθηνών,3,GR,1651863.0,2505000.0,2.505
EL305,Ανατολική Αττική,3,GR,1437506.0,2532000.0000000005,2.5320000000000005
EL306,Δυτική Αττική,3,GR,440886.0,895000.0,0.895
EL307,"Πειραιάς, Νήσοι",3,GR,1594931.0,2051000.0,2.051
EL411,"Λέσβος, Λήμνος",3,GR,290680.0,644000.0000000001,0.6440000000000001
EL412,"Ικαρία, Σάμος",3,GR,131585.0,277000.0,0.277
EL413,Χίος,3,GR,153358.0,360000.0,0.36
EL421,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",3,GR,580942.0,1009000.0,1.009
EL422,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",3,GR,350868.0,926000.0,0.926
EL431,Ηράκλειο,3,GR,884399.0,1510999.9999999998,1.5109999999999997
EL432,Λασίθι,3,GR,231932.0,527000.0,0.527
EL433,Ρέθυμνο,3,GR,246198.0,460000.00000000006,0.4600000000000001
EL434,Χανιά,3,GR,455843.0,859000.0,0.859
EL511,Έβρος,3,GR,394703.0,932000.0,0.932
EL512,Ξάνθη,3,GR,306865.0,620000.0,0.62
EL513,Ροδόπη,3,GR,312669.0,634000.0,0.634
EL514,Δράμα,3,GR,255112.0,627000.0,0.627
EL515,"Θάσος, Καβάλα",3,GR,383748.0,964000.0,0.964
EL521,Ημαθία,3,GR,373120.0,764000.0000000001,0.7640000000000001
EL522,Θεσσαλονίκη,3,GR,3297126.0,6607000.0,6.607
EL523,Κιλκίς,3,GR,205122.0,485000.0,0.485
EL524,Πέλλα,3,GR,362217.0,742000.0,0.742
EL525,Πιερία,3,GR,336168.0,836000.0,0.836
EL526,Σέρρες,3,GR,451624.0,1026000.0,1.026
EL527,Χαλκιδική,3,GR,290865.0,1330000.0,1.33
EL531,"Γρεβενά, Κοζάνη",3,GR,473255.0,1143000.0,1.143
EL532,Καστοριά,3,GR,134472.0,308000.0,0.308
EL533,Φλώρινα,3,GR,127039.0,335000.0,0.335
EL541,"Άρτα, Πρέβεζα",3,GR,350760.0,665000.0,0.665
EL542,Θεσπρωτία,3,GR,119735.0,267000.0,0.267
EL543,Ιωάννινα,3,GR,478167.0,1180000.0,1.18
EL611,"Καρδίτσα, Τρίκαλα",3,GR,649966.0,1337000.0,1.337
EL612,Λάρισα,3,GR,756577.0,1441000.0,1.441
EL613,"Μαγνησία, Σποράδες",3,GR,573047.0,1188000.0,1.188
EL621,Ζάκυνθος,3,GR,114094.0,194000.0,0.194
EL622,Κέρκυρα,3,GR,299852.0,789000.0,0.789
EL623,"Ιθάκη, Κεφαλληνία",3,GR,114966.0,231000.0,0.231
EL624,Λευκάδα,3,GR,66811.0,168000.0,0.168
EL631,Αιτωλοακαρνανία,3,GR,556187.0,1080000.0,1.08
EL632,Αχαΐα,3,GR,904033.0,1942000.0,1.942
EL633,Ηλεία,3,GR,407366.0,823000.0,0.823
EL641,Βοιωτία,3,GR,298607.0,613000.0,0.613
EL642,Εύβοια,3,GR,612762.0,1383000.0,1.383
EL643,Ευρυτανία,3,GR,51406.0,165000.0,0.165
EL644,Φθιώτιδα,3,GR,404016.0,908000.0000000001,0.9080000000000001
EL645,Φωκίδα,3,GR,105543.0,321000.0,0.321
EL651,"Αργολίδα, Αρκαδία",3,GR,494139.0,1344000.0,1.344
EL652,Κορινθία,3,GR,393661.0,915000.0,0.915
EL653,"Λακωνία, Μεσσηνία",3,GR,682166.0,1739000.0,1.739
