nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
HR0,Hrvatska,1,HR,3666009.0,18226000.0,18.226
HR03,Jadranska Hrvatska,2,HR,3666009.0,6541000.0,6.541
HR04,HR04,2,HR,0.0,11685000.0,11.685
HR031,Primorsko-goranska županija,3,HR,793136.0,1447000.0,1.447
HR032,Ličko-senjska županija,3,HR,125434.0,347000.0,0.347
HR033,Zadarska županija,3,HR,444960.0,885000.0,0.885
HR034,Šibensko-kninska županija,3,HR,280038.0,581000.0000000001,0.5810000000000001
HR035,Splitsko-dalmatinska županija,3,HR,1154529.0,1764000.0,1.764
HR036,Istarska županija,3,HR,558240.0,1031000.0,1.031
HR037,Dubrovačko-neretvanska županija,3,HR,309672.0,486000.0,0.486
HR041,HR041,3,HR,0.0,4147000.0,4.147
HR042,HR042,3,HR,0.0,1145000.0,1.145
HR043,HR043,3,HR,0.0,488000.0,0.488
HR044,HR044,3,HR,0.0,633000.0,0.633
HR045,HR045,3,HR,0.0,418000.0,0.418
HR046,HR046,3,HR,0.0,368000.0,0.368
HR047,HR047,3,HR,0.0,439000.0,0.439
HR048,HR048,3,HR,0.0,290000.0,0.29
HR049,HR049,3,HR,0.0,275000.0,0.275
HR04A,HR04A,3,HR,0.0,504000.0,0.504
HR04B,HR04B,3,HR,0.0,1156000.0,1.156
HR04C,HR04C,3,HR,0.0,604000.0,0.604
HR04D,HR04D,3,HR,0.0,528000.0,0.528
HR04E,HR04E,3,HR,0.0,690000.0,0.69
