nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
HU1,Közép-Magyarország,1,HU,0.0,25298000.0,25.298
HU2,Dunántúl,1,HU,8582852.0,20069000.0,20.069
HU3,Alföld és Észak,1,HU,10980767.0,26613000.0,26.613
HU10,HU10,2,HU,0.0,25298000.0,25.298
HU21,Közép-Dunántúl,2,HU,3111662.0,6998000.0,6.998
HU22,Nyugat-Dunántúl,2,HU,2883037.0,6794000.0,6.794
HU23,Dél-Dunántúl,2,HU,2588153.0,6277000.000000001,6.277000000000001
HU31,Észak-Magyarország,2,HU,3209537.0,7904000.0,7.904
HU32,Észak-Alföld,2,HU,4083730.0,9617000.0,9.617
HU33,Dél-Alföld,2,HU,3687500.0,9092000.0,9.092
HU101,HU101,3,HU,0.0,16811000.0,16.811
HU102,HU102,3,HU,0.0,8487000.0,8.487
HU211,Fejér,3,HU,1230052.0,2661000.0,2.661
HU212,Komárom-Esztergom,3,HU,889373.0,1940000.0,1.94
HU213,Veszprém,3,HU,992237.0,2397000.0,2.397
HU221,Győr-Moson-Sopron,3,HU,1364117.0,3067000.0000000005,3.0670000000000006
HU222,Vas,3,HU,731970.0,1792000.0,1.792
HU223,Zala,3,HU,786950.0,1935000.0,1.935
HU231,Baranya,3,HU,1082864.0,2500000.0000000005,2.5000000000000004
HU232,Somogy,3,HU,875382.0,2175000.0,2.175
HU233,Tolna,3,HU,629907.0,1602000.0000000005,1.6020000000000005
HU311,Borsod-Abaúj-Zemplén,3,HU,1809676.0,4377000.0,4.377
HU312,Heves,3,HU,855350.0,2158000.0,2.158
HU313,Nógrád,3,HU,544511.0,1369000.0,1.369
HU321,Hajdú-Bihar,3,HU,1522818.0,3492000.0,3.492
HU322,Jász-Nagykun-Szolnok,3,HU,1076430.0,2508000.0,2.508
HU323,Szabolcs-Szatmár-Bereg,3,HU,1484482.0,3617000.0,3.617
HU331,Bács-Kiskun,3,HU,1503217.0,3656000.0,3.656
HU332,Békés,3,HU,983151.0,2565000.0,2.565
HU333,Csongrád,3,HU,1201132.0,2871000.0,2.871
