nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
LT0,Lietuva,1,LT,0.0,17294000.0,17.294
LT00,LT00,2,LT,0.0,17294000.0,17.294
LT001,LT001,3,LT,0.0,878000.0,0.878
LT002,LT002,3,LT,0.0,3366000.0,3.366
LT003,LT003,3,LT,0.0,1816000.0,1.816
LT004,LT004,3,LT,0.0,889000.0,0.889
LT005,LT005,3,LT,0.0,1447000.0,1.447
LT006,LT006,3,LT,0.0,1702000.0,1.702
LT007,LT007,3,LT,0.0,626000.0,0.626
LT008,LT008,3,LT,0.0,830000.0,0.83
LT009,LT009,3,LT,0.0,904000.0,0.904
LT00A,LT00A,3,LT,0.0,4836000.0,4.836
