nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
NL1,Noord-Nederland,1,NL,3300883.0,15672000.0,15.672
NL2,Oost-Nederland,1,NL,10806496.0,31742000.0,31.742
NL3,West-Nederland,1,NL,14766341.0,79343000.0,79.343
NL4,Zuid-Nederland,1,NL,11143963.0,33891000.0,33.891
NL11,Groningen,2,NL,1826338.0,5447000.0,5.447
NL12,Friesland (NL),2,NL,0.0,5829000.0,5.829
NL13,Drenthe,2,NL,1474545.0,4396000.0,4.396
NL21,Overijssel,2,NL,3429762.0,10224000.0,10.224
NL22,Gelderland,2,NL,6152938.0,18341000.0,18.341
NL23,Flevoland,2,NL,1223796.0,3177000.0,3.177
NL31,Utrecht,2,NL,3992258.0,12868000.0,12.868
NL32,Noord-Holland,2,NL,3762671.0,29392000.0,29.392
NL33,Zuid-Holland,2,NL,5827673.0,33813000.0,33.813
NL34,Zeeland,2,NL,1183739.0,3270000.0,3.27
NL41,Noord-Brabant,2,NL,7688781.0,23165000.0,23.165
NL42,Limburg (NL),2,NL,3455182.0,10726000.000000002,10.726000000000003
NL111,Oost-Groningen,3,NL,416256.0,1294000.0,1.294
NL112,Delfzijl en omgeving,3,NL,142446.0,459000.0,0.459
NL113,Overig Groningen,3,NL,1267636.0,3694000.0,3.694
NL121,NL121,3,NL,0.0,3026000.0,3.026
NL122,NL122,3,NL,0.0,918000.0,0.918
NL123,NL123,3,NL,0.0,1885000.0,1.885
NL131,Noord-Drenthe,3,NL,575557.0,1749000.0,1.749
NL132,Zuidoost-Drenthe,3,NL,503332.0,1441000.0,1.441
NL133,Zuidwest-Drenthe,3,NL,395656.0,1206000.0,1.206
NL211,Noord-Overijssel,3,NL,1093208.0,3309000.0000000005,3.3090000000000006
NL212,Zuidwest-Overijssel,3,NL,468224.0,1347000.0,1.347
NL213,Twente,3,NL,1868330.0,5568000.0,5.568
NL221,Veluwe,3,NL,2001679.0,6123000.0,6.123
NL224,Zuidwest-Gelderland,3,NL,704126.0,2049000.0,2.049
NL225,Achterhoek,3,NL,1196667.0,3535000.0,3.535
NL226,Arnhem/Nijmegen,3,NL,2250466.0,6634000.000000001,6.634000000000001
NL230,Flevoland,3,NL,1223796.0,3177000.0,3.177
NL310,Utrecht,3,NL,3992258.0,12868000.0,12.868
NL321,Kop van Noord-Holland,3,NL,1134267.0,3155000.0,3.155
NL322,NL322,3,NL,0.0,2100000.0,2.1
NL323,IJmond,3,NL,604371.0,1602999.9999999998,1.6029999999999998
NL324,Agglomeratie Haarlem,3,NL,713940.0,2136999.9999999995,2.1369999999999996
NL325,Zaanstreek,3,NL,520901.0,1362000.0,1.362
NL326,NL326,3,NL,0.0,16444000.0,16.444
NL327,Het Gooi en Vechtstreek,3,NL,789192.0,2591000.0,2.591
NL332,Agglomeratie ’s-Gravenhage,3,NL,2734810.0,8480000.0,8.48
NL333,Delft en Westland,3,NL,693568.0,1980000.0000000002,1.9800000000000002
NL337,Agglomeratie Leiden en Bollenstreek,3,NL,1291501.0,3650000.0000000005,3.6500000000000004
NL338,NL338,3,NL,0.0,2558000.0,2.558
NL339,NL339,3,NL,0.0,13649000.0,13.649
NL33A,Zuidoost-Zuid-Holland,3,NL,1107794.0,3496000.0,3.496
NL341,Zeeuwsch-Vlaanderen,3,NL,330812.0,951000.0000000001,0.9510000000000001
NL342,Overig Zeeland,3,NL,852927.0,2319000.0,2.319
NL411,West-Noord-Brabant,3,NL,1915664.0,5796000.0,5.796
NL412,Midden-Noord-Brabant,3,NL,1458727.0,4197000.0,4.197
NL413,Noordoost-Noord-Brabant,3,NL,1952462.0,5973000.000000001,5.973000000000001
NL414,Zuidoost-Noord-Brabant,3,NL,2361928.0,7199000.0,7.199
NL421,Noord-Limburg,3,NL,844912.0,2540000.0,2.54
NL422,Midden-Limburg,3,NL,723862.0,2156000.0000000005,2.1560000000000006
NL423,Zuid-Limburg,3,NL,1886408.0,6030000.000000001,6.030000000000001
