nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
RO1,Macroregiunea Unu,1,RO,13645374.0,18971000.0,18.971
RO2,Macroregiunea Doi,1,RO,15728018.0,20416000.0,20.416
RO3,Macroregiunea Trei,1,RO,15158748.0,20753000.0,20.753
RO4,Macroregiunea Patru,1,RO,10142117.0,14113000.0,14.113
RO11,Nord-Vest,2,RO,7191021.0,9709000.0,9.709
RO12,Centru,2,RO,6454353.0,9262000.0,9.262
RO21,Nord-Est,2,RO,8925721.0,11691000.0,11.691
RO22,Sud-Est,2,RO,6802297.0,8725000.0,8.725
RO31,Sud-Muntenia,2,RO,7960474.0,10353000.0,10.353
RO32,Bucureşti-Ilfov,2,RO,7198274.0,10400000.0,10.4
RO41,Sud-Vest Oltenia,2,RO,5317293.0,7070000.0,7.07
RO42,Vest,2,RO,4824824.0,7043000.0,7.043
RO111,Bihor,3,RO,1557165.0,2018000.0,2.018
RO112,Bistriţa-Năsăud,3,RO,799817.0,1007000.0,1.007
RO113,Cluj,3,RO,2033853.0,2780999.9999999995,2.7809999999999997
RO114,Maramureş,3,RO,1278459.0,1883000.0,1.883
RO115,Satu Mare,3,RO,929665.0,1229000.0,1.229
RO116,Sălaj,3,RO,592062.0,791000.0,0.791
RO121,Alba,3,RO,928093.0,1361999.9999999998,1.3619999999999999
RO122,Braşov,3,RO,1572239.0,2320000.0000000005,2.3200000000000003
RO123,Covasna,3,RO,555770.0,783000.0,0.783
RO124,Harghita,3,RO,813033.0,1257000.0,1.257
RO125,Mureş,3,RO,1462031.0,1984000.0000000002,1.9840000000000002
RO126,Sibiu,3,RO,1123187.0,1556000.0,1.556
RO211,Bacău,3,RO,1716149.0,2166000.0,2.166
RO212,Botoşani,3,RO,1021433.0,1412000.0,1.412
RO213,Iaşi,3,RO,2085691.0,2658000.0,2.658
RO214,Neamţ,3,RO,1327338.0,1761000.0,1.761
RO215,Suceava,3,RO,1718798.0,2398000.0,2.398
RO216,Vaslui,3,RO,1056312.0,1296000.0,1.296
RO221,Brăila,3,RO,828867.0,957999.9999999999,0.9579999999999999
RO222,Buzău,3,RO,1169163.0,1577000.0,1.577
RO223,Constanţa,3,RO,1879641.0,2394000.0,2.394
RO224,Galaţi,3,RO,1422059.0,1823999.9999999998,1.8239999999999998
RO225,Tulcea,3,RO,551014.0,763000.0,0.763
RO226,Vrancea,3,RO,951553.0,1209000.0,1.209
RO311,Argeş,3,RO,1602416.0,2206000.0,2.206
RO312,Călăraşi,3,RO,767355.0,883000.0000000001,0.8830000000000001
RO313,Dâmboviţa,3,RO,1287181.0,1668999.9999999998,1.6689999999999998
RO314,Giurgiu,3,RO,725200.0,926000.0,0.926
RO315,Ialomiţa,3,RO,672280.0,854000.0,0.854
RO316,Prahova,3,RO,1956488.0,2595000.0,2.595
RO317,Teleorman,3,RO,949554.0,1220000.0,1.22
RO321,Bucureşti,3,RO,5675329.0,8847000.0,8.847
RO322,Ilfov,3,RO,1522945.0,1553000.0,1.553
RO411,Dolj,3,RO,1693704.0,2282000.0,2.282
RO412,Gorj,3,RO,868968.0,1159000.0,1.159
RO413,Mehedinţi,3,RO,676530.0,880000.0,0.88
RO414,Olt,3,RO,1092839.0,1415000.0,1.415
RO415,Vâlcea,3,RO,985252.0,1334000.0,1.334
RO421,Arad,3,RO,1140979.0,1644000.0,1.644
RO422,Caraş-Severin,3,RO,677774.0,1200000.0,1.2
RO423,Hunedoara,3,RO,1107278.0,1420000.0,1.42
RO424,Timiş,3,RO,1898793.0,2779000.0,2.779
