nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
UKC,North East (England),1,UK,6.999999999999999,20530000.0,20.53
UKD,North West (England),1,UK,20.0,52589000.0,52.589
UKE,Yorkshire and the Humber,1,UK,10.999999999999998,39849000.0,39.849
UKF,East Midlands (England),1,UK,10.999999999999998,33650000.0,33.65
UKG,West Midlands (England),1,UK,13.999999999999998,41256000.0,41.256
UKH,East of England,1,UK,15.999999999999998,41993000.0,41.993
UKI,London,1,UK,21.0,53329000.0,53.329
UKJ,South East (England),1,UK,21.0,61661000.0,61.661
UKK,South West (England),1,UK,11.999999999999998,39072000.0,39.072
UKL,Wales,1,UK,11.999999999999998,24492000.0,24.492
UKM,Scotland,1,UK,22.999999999999996,46952000.0,46.952
UKN,Northern Ireland,1,UK,4.999999999999999,12367000.0,12.367
UKC1,Tees Valley and Durham,2,UK,3.9999999999999996,9062000.0,9.062
UKC2,Northumberland and Tyne and Wear,2,UK,2.9999999999999996,11468000.0,11.468
UKD1,Cumbria,2,UK,1.9999999999999998,3970000.0,3.97
UKD3,Greater Manchester,2,UK,4.999999999999999,19058000.0,19.058
UKD4,Lancashire,2,UK,5.999999999999999,10444000.0,10.444
UKD6,Cheshire,2,UK,2.9999999999999996,7581000.000000001,7.581000000000001
UKD7,Merseyside,2,UK,3.9999999999999996,11536000.0,11.536
UKE1,East Yorkshire and Northern Lincolnshire,2,UK,2.9999999999999996,6668000.0,6.668
UKE2,North Yorkshire,2,UK,1.9999999999999998,6428000.0,6.428
UKE3,South Yorkshire,2,UK,1.9999999999999998,9820000.0,9.82
UKE4,West Yorkshire,2,UK,3.9999999999999996,16933000.0,16.933
UKF1,Derbyshire and Nottinghamshire,2,UK,5.999999999999999,15926000.0,15.926
UKF2,"Leicestershire, Rutland and Northamptonshire",2,UK,3.9999999999999996,12432000.0,12.432
UKF3,Lincolnshire,2,UK,0.9999999999999999,5292000.0,5.292
UKG1,"Herefordshire, Worcestershire and Warwickshire",2,UK,2.9999999999999996,9838000.0,9.838
UKG2,Shropshire and Staffordshire,2,UK,3.9999999999999996,11845000.0,11.845
UKG3,West Midlands,2,UK,6.999999999999999,19573000.0,19.573
UKH1,East Anglia,2,UK,5.999999999999999,17641000.0,17.641
UKH2,Bedfordshire and Hertfordshire,2,UK,3.9999999999999996,12749000.0,12.749
UKH3,Essex,2,UK,5.999999999999999,11603000.0,11.603
UKI3,Inner London — West,2,UK,3.9999999999999996,7369000.0,7.369
UKI4,Inner London — East,2,UK,4.999999999999999,13538000.0,13.538
UKI5,Outer London — East and North East,2,UK,3.9999999999999996,11456000.000000002,11.456000000000001
UKI6,Outer London — South,2,UK,2.9999999999999996,8370000.0,8.37
UKI7,Outer London — West and North West,2,UK,4.999999999999999,12596000.0,12.596
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2,UK,3.9999999999999996,18811000.0,18.811
UKJ2,"Surrey, East and West Sussex",2,UK,5.999999999999999,18660000.0,18.66
UKJ3,Hampshire and Isle of Wight,2,UK,5.999999999999999,12954000.0,12.954
UKJ4,Kent,2,UK,4.999999999999999,11236000.0,11.236
UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",2,UK,4.999999999999999,17877000.0,17.877
UKK2,Dorset and Somerset,2,UK,2.9999999999999996,9337000.0,9.337
UKK3,Cornwall and Isles of Scilly,2,UK,0.9999999999999999,3738000.0,3.738
UKK4,Devon,2,UK,2.9999999999999996,8120000.000000001,8.120000000000001
UKL1,West Wales and The Valleys,2,UK,7.999999999999999,15296000.0,15.296
UKL2,East Wales,2,UK,3.9999999999999996,9196000.0,9.196
UKM2,UKM2,2,UK,7.999999999999999,18195000.0,18.195
UKM3,UKM3,2,UK,7.999999999999999,19765000.0,19.765
UKM5,North Eastern Scotland,2,UK,0.9999999999999999,4688000.0,4.688
UKM6,Highlands and Islands,2,UK,5.999999999999999,4304000.0,4.304
UKN0,Northern Ireland,2,UK,4.999999999999999,12367000.0,12.367
UKC11,Hartlepool and Stockton-on-Tees,3,UK,0.9999999999999999,2149000.0,2.149
UKC12,South Teesside,3,UK,0.9999999999999999,2161000.0,2.161
UKC13,Darlington,3,UK,0.9999999999999999,880000.0,0.88
UKC14,Durham CC,3,UK,0.9999999999999999,3872000.0,3.872
UKC21,Northumberland,3,UK,0.9999999999999999,2570000.0,2.57
UKC22,Tyneside,3,UK,0.9999999999999999,6762000.000000001,6.762000000000001
UKC23,Sunderland,3,UK,0.9999999999999999,2136000.0,2.136
UKD11,West Cumbria,3,UK,0.9999999999999999,1757999.9999999998,1.7579999999999998
UKD12,East Cumbria,3,UK,0.9999999999999999,2212000.0,2.212
UKD33,Manchester,3,UK,0.9999999999999999,3594000.0000000005,3.5940000000000003
UKD34,Greater Manchester South West,3,UK,0.9999999999999999,3191000.0,3.191
UKD35,Greater Manchester South East,3,UK,0.9999999999999999,3532000.0,3.532
UKD36,Greater Manchester North West,3,UK,0.9999999999999999,4202000.0,4.202
UKD37,Greater Manchester North East,3,UK,0.9999999999999999,4539000.000000001,4.539000000000001
UKD41,Blackburn with Darwen,3,UK,0.9999999999999999,999000.0,0.999
UKD42,Blackpool,3,UK,0.9999999999999999,1039000.0,1.039
UKD44,Lancaster and Wyre,3,UK,0.9999999999999999,1736000.0,1.736
UKD45,Mid Lancashire,3,UK,0.9999999999999999,2764000.0000000005,2.7640000000000007
UKD46,East Lancashire,3,UK,0.9999999999999999,2369000.0,2.369
UKD47,Chorley and West Lancashire,3,UK,0.9999999999999999,1537000.0000000002,1.5370000000000001
UKD61,Warrington,3,UK,0.9999999999999999,1727000.0,1.727
UKD62,Cheshire East,3,UK,0.9999999999999999,3128000.0,3.128
UKD63,Cheshire West and Chester,3,UK,0.9999999999999999,2726000.000000001,2.726000000000001
UKD71,East Merseyside,3,UK,0.9999999999999999,3357000.0,3.357
UKD72,Liverpool,3,UK,0.9999999999999999,3746000.0,3.746
UKD73,Sefton,3,UK,0.9999999999999999,2086000.0,2.086
UKD74,Wirral,3,UK,0.9999999999999999,2347000.0000000005,2.3470000000000004
UKE11,"Kingston upon Hull, City of",3,UK,0.9999999999999999,1792000.0,1.792
UKE12,East Riding of Yorkshire,3,UK,0.9999999999999999,2502000.0,2.502
UKE13,North and North East Lincolnshire,3,UK,0.9999999999999999,2374000.0,2.374
UKE21,York,3,UK,0.9999999999999999,1650000.0,1.65
UKE22,North Yorkshire CC,3,UK,0.9999999999999999,4778000.0,4.778
UKE31,"Barnsley, Doncaster and Rotherham",3,UK,0.9999999999999999,5609000.0,5.609
UKE32,Sheffield,3,UK,0.9999999999999999,4211000.000000001,4.211000000000001
UKE41,Bradford,3,UK,0.9999999999999999,3630000.0,3.63
UKE42,Leeds,3,UK,0.9999999999999999,6189000.000000001,6.189000000000001
UKE44,Calderdale and Kirklees,3,UK,0.9999999999999999,4620000.0,4.62
UKE45,Wakefield,3,UK,0.9999999999999999,2494000.0,2.494
UKF11,Derby,3,UK,0.9999999999999999,1888000.0,1.888
UKF12,East Derbyshire,3,UK,0.9999999999999999,2103000.0000000005,2.1030000000000006
UKF13,South and West Derbyshire,3,UK,0.9999999999999999,3714000.0000000005,3.7140000000000004
UKF14,Nottingham,3,UK,0.9999999999999999,2470000.0,2.47
UKF15,North Nottinghamshire,3,UK,0.9999999999999999,3335000.0,3.335
UKF16,South Nottinghamshire,3,UK,0.9999999999999999,2416000.0,2.416
UKF21,Leicester,3,UK,0.9999999999999999,2179000.0,2.179
UKF22,Leicestershire CC and Rutland,3,UK,0.9999999999999999,5103000.0,5.103
UKF24,West Northamptonshire,3,UK,0.9999999999999999,2866000.0000000005,2.8660000000000005
UKF25,North Northamptonshire,3,UK,0.9999999999999999,2284000.0,2.284
UKF30,Lincolnshire,3,UK,0.9999999999999999,5292000.0,5.292
UKG11,"Herefordshire, County of",3,UK,0.9999999999999999,1367000.0000000002,1.3670000000000002
UKG12,Worcestershire,3,UK,0.9999999999999999,4203000.0,4.203
UKG13,Warwickshire,3,UK,0.9999999999999999,4268000.0,4.268
UKG21,Telford and Wrekin,3,UK,0.9999999999999999,1232999.9999999998,1.2329999999999999
UKG22,Shropshire CC,3,UK,0.9999999999999999,2334000.0,2.334
UKG23,Stoke-on-Trent,3,UK,0.9999999999999999,1932000.0000000002,1.9320000000000002
UKG24,Staffordshire CC,3,UK,0.9999999999999999,6346000.0,6.346
UKG31,Birmingham,3,UK,0.9999999999999999,7645000.0,7.645
UKG32,Solihull,3,UK,0.9999999999999999,1647000.0,1.647
UKG33,Coventry,3,UK,0.9999999999999999,2221000.0,2.221
UKG36,Dudley,3,UK,0.9999999999999999,2219000.0,2.219
UKG37,Sandwell,3,UK,0.9999999999999999,2125000.0,2.125
UKG38,Walsall,3,UK,0.9999999999999999,1870000.0,1.87
UKG39,Wolverhampton,3,UK,0.9999999999999999,1846000.0,1.846
UKH11,Peterborough,3,UK,0.9999999999999999,1395000.0000000002,1.3950000000000002
UKH12,Cambridgeshire CC,3,UK,0.9999999999999999,4704000.0,4.704
UKH14,Suffolk,3,UK,0.9999999999999999,5385000.0,5.385
UKH15,Norwich and East Norfolk,3,UK,0.9999999999999999,2526000.0000000005,2.5260000000000002
UKH16,North and West Norfolk,3,UK,0.9999999999999999,1789999.9999999998,1.7899999999999998
UKH17,Breckland and South Norfolk,3,UK,0.9999999999999999,1841000.0,1.841
UKH21,Luton,3,UK,0.9999999999999999,1369000.0,1.369
UKH23,Hertfordshire,3,UK,0.9999999999999999,8389000.0,8.389
UKH24,Bedford,3,UK,0.9999999999999999,1167000.0,1.167
UKH25,Central Bedfordshire,3,UK,0.9999999999999999,1824000.0,1.824
UKH31,Southend-on-Sea,3,UK,0.9999999999999999,1200000.0,1.2
UKH32,Thurrock,3,UK,0.9999999999999999,1028000.0000000001,1.028
UKH34,Essex Haven Gateway,3,UK,0.9999999999999999,3080000.0,3.08
UKH35,West Essex,3,UK,0.9999999999999999,1969000.0000000002,1.9690000000000003
UKH36,Heart of Essex,3,UK,0.9999999999999999,2020000.0000000002,2.02
UKH37,Essex Thames Gateway,3,UK,0.9999999999999999,2306000.0,2.306
UKI31,Camden and City of London,3,UK,0.9999999999999999,1577000.0,1.577
UKI32,Westminster,3,UK,0.9999999999999999,1511000.0000000002,1.5110000000000003
UKI33,Kensington & Chelsea and Hammersmith & Fulham,3,UK,0.9999999999999999,2215000.0,2.215
UKI34,Wandsworth,3,UK,0.9999999999999999,2066000.0,2.066
UKI41,Hackney and Newham,3,UK,0.9999999999999999,3503000.0,3.503
UKI42,Tower Hamlets,3,UK,0.9999999999999999,1658000.0,1.658
UKI43,Haringey and Islington,3,UK,0.9999999999999999,2913000.0000000005,2.9130000000000003
UKI44,Lewisham and Southwark,3,UK,0.9999999999999999,3555000.0,3.555
UKI45,Lambeth,3,UK,0.9999999999999999,1909000.0,1.909
UKI51,Bexley and Greenwich,3,UK,0.9999999999999999,3170000.0,3.17
UKI52,Barking & Dagenham and Havering,3,UK,0.9999999999999999,2756000.000000001,2.756000000000001
UKI53,Redbridge and Waltham Forest,3,UK,0.9999999999999999,3503000.0,3.503
UKI54,Enfield,3,UK,0.9999999999999999,2027000.0000000002,2.027
UKI61,Bromley,3,UK,0.9999999999999999,2122000.0,2.122
UKI62,Croydon,3,UK,0.9999999999999999,2476000.0000000005,2.4760000000000004
UKI63,"Merton, Kingston upon Thames and Sutton",3,UK,0.9999999999999999,3772000.0,3.772
UKI71,Barnet,3,UK,0.9999999999999999,2314000.0,2.314
UKI72,Brent,3,UK,0.9999999999999999,1986000.0000000002,1.9860000000000002
UKI73,Ealing,3,UK,0.9999999999999999,2151000.0,2.151
UKI74,Harrow and Hillingdon,3,UK,0.9999999999999999,3333000.0,3.333
