nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
AT11,Burgenland,2,AT,904412.0,2705000.0,2.705
AT12,Niederösterreich,2,AT,5178704.0,15908000.0,15.908
AT13,Wien,2,AT,6284606.0,16816000.0,16.816
AT21,Kärnten,2,AT,1764227.0,5485000.0,5.485
AT22,Steiermark,2,AT,3864772.0,11741000.0,11.741
AT31,Oberösterreich,2,AT,4548959.0,13673000.0,13.673
AT32,Salzburg,2,AT,1693726.0,5381000.0,5.381
AT33,Tirol,2,AT,2301825.0,7129000.0,7.129
AT34,Vorarlberg,2,AT,1206637.0,3524000.0,3.524
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2,BE,3751548.0,14194999.999999998,14.194999999999999
BE21,Prov. Antwerpen,2,BE,5617348.0,17744000.0,17.744
BE22,Prov. Limburg (BE),2,BE,614200.0,7698000.0,7.698
BE23,Prov. Oost-Vlaanderen,2,BE,4639177.0,13895000.0,13.895
BE24,Prov. Vlaams-Brabant,2,BE,3420052.0,11226000.0,11.226
BE25,Prov. West-Vlaanderen,2,BE,3723211.0,11786000.0,11.786
BE31,Prov. Brabant Wallon,2,BE,1201987.0,3725000.0,3.725
BE32,Prov. Hainaut,2,BE,817210.0,13010000.0,13.01
BE33,Prov. Liège,2,BE,3440298.0,10954000.0,10.954
BE34,Prov. Luxembourg (BE),2,BE,870905.0,2783000.0,2.783
BE35,Prov. Namur,2,BE,1515277.0,4824000.0,4.824
BG31,Северозападен,2,BG,2055902.0,3177000.0,3.177
BG32,Северен централен,2,BG,2101792.0,3012000.0,3.012
BG33,Североизточен,2,BG,2426692.0,3384000.0,3.384
BG34,Югоизточен,2,BG,2726851.0,3838000.0,3.838
BG41,Югозападен,2,BG,5841385.0,8669000.0,8.669
BG42,Южен централен,2,BG,3710103.0,4760000.0,4.76
CH01,Région lémanique,2,CH,5092434.0,15021000.0,15.021
CH02,Espace Mittelland,2,CH,5925303.0,17605000.0,17.605
CH03,Nordwestschweiz,2,CH,3706737.0,10094000.0,10.094
CH04,Zürich,2,CH,4879521.0,13075000.000000002,13.075000000000001
CH05,Ostschweiz,2,CH,3694254.0,11225000.0,11.225
CH06,Zentralschweiz,2,CH,2532303.0,7033000.0,7.033
CH07,Ticino,2,CH,1143499.0,3825000.0,3.825
CY00,Κύπρος,2,CY,2613329.0,3147000.0,3.147
CZ01,Praha,2,CZ,4277307.0,14497999.999999998,14.497999999999998
CZ02,Střední Čechy,2,CZ,4049815.0,9852000.0,9.852
CZ03,Jihozápad,2,CZ,3610834.0,9404000.0,9.404
CZ04,Severozápad,2,CZ,3309555.0,8285000.0,8.285
CZ05,Severovýchod,2,CZ,4414042.0,11573000.0,11.573
CZ06,Jihovýchod,2,CZ,4913481.0,12687000.0,12.687
CZ07,Střední Morava,2,CZ,3466187.0,8950000.0,8.95
CZ08,Moravskoslezsko,2,CZ,3529131.0,9392000.0,9.392
DE11,Stuttgart,2,DE,12881209.0,37860000.0,37.86
DE12,Karlsruhe,2,DE,8972174.0,26046000.0,26.046
DE13,Freiburg,2,DE,7196063.0,20545000.0,20.545
DE14,Tübingen,2,DE,5783147.0,17591000.0,17.591
DE21,Oberbayern,2,DE,15092533.0,45203000.0,45.203
DE22,Niederbayern,2,DE,3824417.0,11893000.0,11.893
DE23,Oberpfalz,2,DE,3470584.0,10945000.0,10.945
DE24,Oberfranken,2,DE,3378334.0,11198000.0,11.198
DE25,Mittelfranken,2,DE,5741440.0,17272000.0,17.272
DE26,Unterfranken,2,DE,4155276.0,13034000.0,13.034
DE27,Schwaben,2,DE,5946465.0,17866000.0,17.866
DE30,Berlin,2,DE,12743420.0,32727000.0,32.727
DE40,Brandenburg,2,DE,8393031.0,24154000.0,24.154
DE50,Bremen,2,DE,2329166.0,6772000.0,6.772
DE60,Hamburg,2,DE,6307077.0,18874000.0,18.874
DE71,Darmstadt,2,DE,12893338.0,38454000.0,38.454
DE72,Gießen,2,DE,3278201.0,10454000.0,10.454
DE73,Kassel,2,DE,3852781.0,12927000.0,12.927
DE80,Mecklenburg-Vorpommern,2,DE,5396998.0,15024000.0,15.024
DE91,Braunschweig,2,DE,4136514.0,15965000.0,15.965
DE92,Hannover,2,DE,6961406.0,21341000.0,21.341
DE93,Lüneburg,2,DE,5421639.0,16478000.0,16.478
DE94,Weser-Ems,2,DE,7994633.0,23542000.0,23.542
DEA1,Düsseldorf,2,DE,17308162.0,47721000.0,47.721
DEA2,Köln,2,DE,14591631.0,41845000.0,41.845
DEA3,Münster,2,DE,8348308.0,23470000.0,23.47
DEA4,Detmold,2,DE,6485301.0,19568000.0,19.568
DEA5,Arnsberg,2,DE,11710075.0,34418000.0,34.418
DEB1,Koblenz,2,DE,4302375.0,15044000.0,15.044
DEB2,Trier,2,DE,1698023.0,5246000.0,5.246
DEB3,Rheinhessen-Pfalz,2,DE,6627617.0,19185000.0,19.185
DEC0,Saarland,2,DE,3287729.0,10493000.0,10.493
