nuts_id,country,building_type,heat_2015_MWh,hp_feasibility,dh_feasibility
AT111,AT,MFH_HIGH,14053.79033831852,0.5,0.8
AT111,AT,OTHER,249889.6517465893,0.6,0.4
AT111,AT,SFH,106056.55791509215,0.9,0.3
AT112,AT,MFH_HIGH,112852.48158532052,0.5,0.8
AT112,AT,OTHER,954919.1763890143,0.6,0.4
AT112,AT,SFH,347228.342025665,0.9,0.3
AT113,AT,MFH_HIGH,53239.40118253869,0.5,0.8
AT113,AT,OTHER,621943.8107122093,0.6,0.4
AT113,AT,SFH,244816.78810525208,0.9,0.3
AT121,AT,MFH_HIGH,203343.65461494596,0.5,0.8
AT121,AT,OTHER,1490179.458111799,0.6,0.4
AT121,AT,SFH,513476.8872732546,0.9,0.3
AT122,AT,MFH_HIGH,318709.3580294325,0.5,0.8
AT122,AT,OTHER,1733876.6672082478,0.6,0.4
AT122,AT,SFH,519413.97476231976,0.9,0.3
AT123,AT,MFH_HIGH,191285.0542620199,0.5,0.8
AT123,AT,OTHER,1003014.8077977764,0.6,0.4
AT123,AT,SFH,291700.1379402037,0.9,0.3
AT124,AT,MFH_HIGH,177234.92512385896,0.5,0.8
AT124,AT,OTHER,1568902.435956309,0.6,0.4
AT124,AT,SFH,577862.6389198315,0.9,0.3
AT125,AT,MFH_HIGH,57732.45262671392,0.5,0.8
AT125,AT,OTHER,847434.4322908643,0.6,0.4
AT125,AT,SFH,353833.1150824218,0.9,0.3
AT126,AT,MFH_HIGH,269956.928720634,0.5,0.8
AT126,AT,OTHER,1953571.6725490217,0.6,0.4
AT126,AT,SFH,675471.3987303445,0.9,0.3
AT127,AT,MFH_HIGH,477636.1144377911,0.5,0.8
AT127,AT,OTHER,2129594.5708582834,0.6,0.4
AT127,AT,SFH,553769.3147039255,0.9,0.3
AT130,AT,MFH_HIGH,5026830.235021893,0.5,0.8
AT130,AT,OTHER,11317853.424065089,0.6,0.4
AT130,AT,SFH,471316.3409130182,0.9,0.3
AT211,AT,MFH_HIGH,479114.27928170754,0.5,0.8
AT211,AT,OTHER,1877028.9944687376,0.6,0.4
AT211,AT,SFH,423856.7262495547,0.9,0.3
AT212,AT,MFH_HIGH,132481.73854356483,0.5,0.8
AT212,AT,OTHER,922353.367078356,0.6,0.4
AT212,AT,SFH,302164.8943780793,0.9,0.3
AT213,AT,MFH_HIGH,132742.13412250823,0.5,0.8
AT213,AT,OTHER,911566.8412530012,0.6,0.4
AT213,AT,SFH,303691.02462449047,0.9,0.3
AT221,AT,MFH_HIGH,850478.5669865115,0.5,0.8
AT221,AT,OTHER,2694463.961947901,0.6,0.4
AT221,AT,SFH,450057.4710655875,0.9,0.3
AT222,AT,MFH_HIGH,108882.72027619348,0.5,0.8
AT222,AT,OTHER,584478.5494921829,0.6,0.4
AT222,AT,SFH,166638.73023162366,0.9,0.3
AT223,AT,MFH_HIGH,314281.2769628991,0.5,0.8
AT223,AT,OTHER,1191075.0647109577,0.6,0.4
AT223,AT,SFH,262643.6583261432,0.9,0.3
AT224,AT,MFH_HIGH,173896.7348369511,0.5,0.8
AT224,AT,OTHER,1593278.9122052535,0.6,0.4
AT224,AT,SFH,588824.3529577951,0.9,0.3
AT225,AT,MFH_HIGH,145299.65078292217,0.5,0.8
AT225,AT,OTHER,1131435.1695392588,0.6,0.4
AT225,AT,SFH,398265.1796778191,0.9,0.3
