nuts_id,country,building_type,heat_2015_MWh,hp_feasibility,dh_feasibility
AT111,AT,MFH_HIGH,163564.3902416204,0.408,0.9
AT111,AT,OTHER,0.0,0.49,0.476
AT111,AT,SFH,320893.3635312272,0.735,0.357
AT112,AT,MFH_HIGH,672541.8201740519,0.409,0.9
AT112,AT,OTHER,0.0,0.491,0.474
AT112,AT,SFH,1077268.7551084235,0.737,0.355
AT113,AT,MFH_HIGH,678611.7301895511,0.389,0.9
AT113,AT,OTHER,0.0,0.467,0.517
AT113,AT,SFH,666025.5960988103,0.7,0.388
AT121,AT,MFH_HIGH,929140.6803144276,0.401,0.9
AT121,AT,OTHER,0.0,0.481,0.491
AT121,AT,SFH,1192691.0637683992,0.722,0.368
AT122,AT,MFH_HIGH,1049832.6742903143,0.409,0.9
AT122,AT,OTHER,0.0,0.491,0.474
AT122,AT,SFH,1404838.5405326786,0.736,0.355
AT123,AT,MFH_HIGH,664930.1878731084,0.404,0.9
AT123,AT,OTHER,0.0,0.485,0.484
AT123,AT,SFH,796748.3108086549,0.727,0.363
AT124,AT,MFH_HIGH,1219205.5132298216,0.396,0.9
AT124,AT,OTHER,0.0,0.476,0.501
AT124,AT,SFH,1245117.7216312794,0.713,0.376
AT125,AT,MFH_HIGH,777514.0541858732,0.399,0.9
AT125,AT,OTHER,0.0,0.479,0.495
AT125,AT,SFH,984552.643723318,0.719,0.371
AT126,AT,MFH_HIGH,1210735.383175189,0.416,0.9
AT126,AT,OTHER,0.0,0.499,0.46
AT126,AT,SFH,2054994.2360754483,0.748,0.345
AT127,AT,MFH_HIGH,1245789.487075016,0.41,0.9
AT127,AT,OTHER,0.0,0.492,0.472
AT127,AT,SFH,1461917.345386048,0.738,0.354
AT130,AT,MFH_HIGH,8619242.795802983,0.368,0.9
AT130,AT,OTHER,0.0,0.441,0.563
AT130,AT,SFH,946494.2220566235,0.662,0.422
AT211,AT,MFH_HIGH,943866.4467768454,0.41,0.9
AT211,AT,OTHER,0.0,0.492,0.472
AT211,AT,SFH,1239791.7464569395,0.738,0.354
AT212,AT,MFH_HIGH,533357.123066113,0.406,0.9
AT212,AT,OTHER,0.0,0.488,0.48
AT212,AT,SFH,850751.3733791502,0.732,0.36
AT213,AT,MFH_HIGH,489449.8674857764,0.406,0.9
AT213,AT,OTHER,0.0,0.487,0.48
AT213,AT,SFH,800691.3442583121,0.731,0.36
AT221,AT,MFH_HIGH,1860356.2790076777,0.392,0.9
AT221,AT,OTHER,0.0,0.471,0.51
AT221,AT,SFH,1396030.2281899247,0.706,0.383
AT222,AT,MFH_HIGH,325932.6287854983,0.412,0.9
AT222,AT,OTHER,0.0,0.494,0.469
AT222,AT,SFH,540383.7929170271,0.741,0.352
AT223,AT,MFH_HIGH,618232.5759879897,0.408,0.9
AT223,AT,OTHER,0.0,0.49,0.476
AT223,AT,SFH,736542.7737084277,0.735,0.357
AT224,AT,MFH_HIGH,2013741.1697373088,0.387,0.9
AT224,AT,OTHER,0.0,0.465,0.521
AT224,AT,SFH,1616077.1133846042,0.697,0.391
AT225,AT,MFH_HIGH,763195.1774973401,0.408,0.9
AT225,AT,OTHER,0.0,0.49,0.475
AT225,AT,SFH,1352478.5967224592,0.735,0.356
AT226,AT,MFH_HIGH,389945.8935003021,0.408,0.9
AT226,AT,OTHER,0.0,0.49,0.476
AT226,AT,SFH,582629.8316136829,0.735,0.357
AT311,AT,MFH_HIGH,1125357.9878603208,0.392,0.9
AT311,AT,OTHER,0.0,0.47,0.51
AT311,AT,SFH,1506542.1426907256,0.706,0.383
AT312,AT,MFH_HIGH,1958511.9660962457,0.4,0.9
AT312,AT,OTHER,0.0,0.48,0.494
AT312,AT,SFH,1869971.6132906168,0.719,0.37
AT313,AT,MFH_HIGH,902635.6410582882,0.391,0.9
AT313,AT,OTHER,0.0,0.469,0.513
AT313,AT,SFH,940882.4751542856,0.704,0.385
AT314,AT,MFH_HIGH,653770.4665130958,0.397,0.9
AT314,AT,OTHER,0.0,0.476,0.501
AT314,AT,SFH,684349.3315347303,0.714,0.376
AT315,AT,MFH_HIGH,1137157.418546541,0.391,0.9
AT315,AT,OTHER,0.0,0.47,0.512
AT315,AT,SFH,1219266.7800059344,0.705,0.384
AT321,AT,MFH_HIGH,97087.57218644928,0.406,0.9
AT321,AT,OTHER,0.0,0.488,0.48
AT321,AT,SFH,132278.36683417106,0.731,0.36
AT322,AT,MFH_HIGH,775257.855974967,0.394,0.9
AT322,AT,OTHER,0.0,0.473,0.506
AT322,AT,SFH,804651.8965692556,0.71,0.379
AT323,AT,MFH_HIGH,1307247.37071277,0.391,0.9
AT323,AT,OTHER,0.0,0.469,0.512
AT323,AT,SFH,1137778.9709699184,0.704,0.384
AT331,AT,MFH_HIGH,205821.27005045663,0.384,0.9
AT331,AT,OTHER,0.0,0.461,0.527
AT331,AT,SFH,157894.62148861834,0.692,0.395
AT332,AT,MFH_HIGH,1318041.638081684,0.379,0.9
AT332,AT,OTHER,0.0,0.455,0.538
AT332,AT,SFH,744716.7209690321,0.683,0.403
AT333,AT,MFH_HIGH,274611.7317587736,0.389,0.9
AT333,AT,OTHER,0.0,0.467,0.516
AT333,AT,SFH,237771.44232040783,0.701,0.387
AT334,AT,MFH_HIGH,527883.119001938,0.392,0.9
AT334,AT,OTHER,0.0,0.47,0.511
AT334,AT,SFH,545847.8235401942,0.705,0.383
AT335,AT,MFH_HIGH,1515089.4409353926,0.381,0.9
AT335,AT,OTHER,0.0,0.458,0.533
AT335,AT,SFH,1035194.4381543888,0.687,0.4
AT341,AT,MFH_HIGH,341021.56137402635,0.401,0.9
AT341,AT,OTHER,0.0,0.481,0.492
AT341,AT,SFH,523547.0442228893,0.721,0.369
AT342,AT,MFH_HIGH,861703.3485245246,0.402,0.9
AT342,AT,OTHER,0.0,0.483,0.488
AT342,AT,SFH,1165224.0996633123,0.724,0.366
BE100,BE,MFH_HIGH,6025437.55468984,0.363,0.9
BE100,BE,OTHER,0.0,0.435,0.573
BE100,BE,SFH,1456494.0258709125,0.653,0.43
BE211,BE,MFH_HIGH,5014257.844142362,0.394,0.9
BE211,BE,OTHER,0.0,0.472,0.507
BE211,BE,SFH,5634679.117414701,0.708,0.38
BE212,BE,MFH_HIGH,1318238.643175218,0.421,0.898
BE212,BE,OTHER,0.0,0.505,0.449
BE212,BE,SFH,2930971.569342884,0.757,0.337
BE213,BE,MFH_HIGH,1492410.1473527346,0.438,0.824
BE213,BE,OTHER,0.0,0.526,0.412
BE213,BE,SFH,4575117.976298086,0.788,0.309
BE221,BE,MFH_HIGH,1174322.444276275,0.438,0.825
BE221,BE,OTHER,0.0,0.526,0.412
BE221,BE,SFH,3866743.676330796,0.788,0.309
BE222,BE,MFH_HIGH,687188.2560035915,0.441,0.81
BE222,BE,OTHER,0.0,0.53,0.405
BE222,BE,SFH,2357973.1502968376,0.795,0.304
BE223,BE,MFH_HIGH,664587.8906746763,0.434,0.84
BE223,BE,OTHER,0.0,0.521,0.42
BE223,BE,SFH,1948399.7776941643,0.782,0.315
BE231,BE,MFH_HIGH,1229677.3779163528,0.427,0.874
BE231,BE,OTHER,0.0,0.512,0.437
BE231,BE,SFH,2809180.4870786746,0.768,0.328
BE232,BE,MFH_HIGH,767733.4492086349,0.438,0.826
BE232,BE,OTHER,0.0,0.525,0.413
BE232,BE,SFH,1988532.3650816544,0.788,0.31
BE233,BE,MFH_HIGH,293614.46688299964,0.442,0.808
BE233,BE,OTHER,0.0,0.53,0.404
BE233,BE,SFH,890913.8758176377,0.795,0.303
BE234,BE,MFH_HIGH,2782998.063303805,0.405,0.9
BE234,BE,OTHER,0.0,0.485,0.484
BE234,BE,SFH,4430796.786454752,0.728,0.363
BE235,BE,MFH_HIGH,512235.6576734161,0.425,0.879
BE235,BE,OTHER,0.0,0.51,0.439
BE235,BE,SFH,1261615.7573848793,0.766,0.329
BE236,BE,MFH_HIGH,965284.230491362,0.433,0.847
BE236,BE,OTHER,0.0,0.519,0.424
BE236,BE,SFH,2138458.16869541,0.779,0.318
BE241,BE,MFH_HIGH,1809508.3309161912,0.431,0.856
BE241,BE,OTHER,0.0,0.517,0.428
BE241,BE,SFH,5251022.058200163,0.775,0.321
BE242,BE,MFH_HIGH,1552017.270392569,0.43,0.86
BE242,BE,OTHER,0.0,0.516,0.43
BE242,BE,SFH,4652817.91719393,0.773,0.323
BE251,BE,MFH_HIGH,1608551.75308856,0.409,0.9
BE251,BE,OTHER,0.0,0.491,0.473
BE251,BE,SFH,2463071.7772188494,0.737,0.355
BE252,BE,MFH_HIGH,183597.49631367257,0.435,0.836
BE252,BE,OTHER,0.0,0.522,0.418
BE252,BE,SFH,523525.6967843007,0.784,0.313
BE253,BE,MFH_HIGH,445812.5710094041,0.427,0.87
BE253,BE,OTHER,0.0,0.513,0.435
BE253,BE,SFH,1086643.3483233703,0.769,0.326
BE254,BE,MFH_HIGH,1161296.1084126288,0.429,0.862
BE254,BE,OTHER,0.0,0.515,0.431
BE254,BE,SFH,2713551.839537105,0.773,0.323
BE255,BE,MFH_HIGH,915358.7907256396,0.407,0.9
BE255,BE,OTHER,0.0,0.489,0.477
BE255,BE,SFH,1160271.2060846775,0.733,0.358
BE256,BE,MFH_HIGH,620686.6449219617,0.427,0.872
BE256,BE,OTHER,0.0,0.512,0.436
BE256,BE,SFH,1474104.2992905264,0.768,0.327
BE257,BE,MFH_HIGH,368284.4788710093,0.435,0.839
BE257,BE,OTHER,0.0,0.522,0.419
BE257,BE,SFH,1012327.2536724592,0.782,0.315
BE258,BE,MFH_HIGH,509419.4586226836,0.41,0.9
BE258,BE,OTHER,0.0,0.493,0.471
BE258,BE,SFH,572703.0367856716,0.739,0.353
BE310,BE,MFH_HIGH,1084627.9794452374,0.438,0.824
BE310,BE,OTHER,0.0,0.526,0.412
BE310,BE,SFH,3527171.1065204684,0.789,0.309
BE321,BE,MFH_HIGH,232812.0314112244,0.452,0.767
BE321,BE,OTHER,0.0,0.542,0.383
BE321,BE,SFH,1033357.9170026812,0.813,0.288
BE322,BE,MFH_HIGH,983483.0193008704,0.445,0.796
BE322,BE,OTHER,0.0,0.534,0.398
BE322,BE,SFH,3628896.510118654,0.801,0.298
BE323,BE,MFH_HIGH,576506.9451824068,0.458,0.739
BE323,BE,OTHER,0.0,0.55,0.37
BE323,BE,SFH,2492496.963321025,0.824,0.277
BE324,BE,MFH_HIGH,170904.09180984204,0.456,0.747
BE324,BE,OTHER,0.0,0.548,0.373
BE324,BE,SFH,713659.6741612722,0.821,0.28
BE325,BE,MFH_HIGH,457747.3783459565,0.448,0.783
BE325,BE,OTHER,0.0,0.537,0.391
BE325,BE,SFH,1729313.7192652717,0.806,0.294
BE326,BE,MFH_HIGH,311708.24344322714,0.457,0.745
BE326,BE,OTHER,0.0,0.548,0.373
BE326,BE,SFH,1636242.0096041022,0.822,0.28
BE327,BE,MFH_HIGH,495086.3415544206,0.438,0.826
BE327,BE,OTHER,0.0,0.525,0.413
BE327,BE,SFH,1514557.103476484,0.788,0.31
BE331,BE,MFH_HIGH,233946.9723455861,0.443,0.804
BE331,BE,OTHER,0.0,0.531,0.402
BE331,BE,SFH,1080363.371750898,0.797,0.301
BE332,BE,MFH_HIGH,2534819.779733348,0.397,0.9
BE332,BE,OTHER,0.0,0.476,0.5
BE332,BE,SFH,3840587.63102876,0.714,0.375
BE334,BE,MFH_HIGH,149545.3252823724,0.457,0.741
BE334,BE,OTHER,0.0,0.549,0.371
BE334,BE,SFH,840790.7192558835,0.823,0.278
BE335,BE,MFH_HIGH,1057139.022234641,0.389,0.9
BE335,BE,OTHER,0.0,0.467,0.517
BE335,BE,SFH,1522519.2839093795,0.7,0.388
BE336,BE,MFH_HIGH,398642.1667266078,0.4,0.9
BE336,BE,OTHER,0.0,0.48,0.493
BE336,BE,SFH,711584.310168662,0.72,0.37
BE341,BE,MFH_HIGH,353781.1343782245,0.388,0.9
BE341,BE,OTHER,0.0,0.466,0.519
BE341,BE,SFH,431837.9501015481,0.699,0.389
BE342,BE,MFH_HIGH,275930.58902645955,0.402,0.9
BE342,BE,OTHER,0.0,0.482,0.49
BE342,BE,SFH,506437.7125987764,0.723,0.368
BE343,BE,MFH_HIGH,291056.7047123425,0.409,0.9
BE343,BE,OTHER,0.0,0.49,0.475
BE343,BE,SFH,644402.4485644611,0.736,0.356
BE344,BE,MFH_HIGH,388543.7119916584,0.408,0.9
BE344,BE,OTHER,0.0,0.489,0.477
BE344,BE,SFH,698566.0225136867,0.734,0.358
BE345,BE,MFH_HIGH,360086.4867781813,0.396,0.9
BE345,BE,OTHER,0.0,0.475,0.502
BE345,BE,SFH,511109.3188463961,0.713,0.376
BE351,BE,MFH_HIGH,442417.7357828667,0.419,0.9
BE351,BE,OTHER,0.0,0.503,0.452
BE351,BE,SFH,1172013.4990013016,0.755,0.339
BE352,BE,MFH_HIGH,867258.7674613686,0.425,0.878
BE352,BE,OTHER,0.0,0.511,0.439
BE352,BE,SFH,2665697.35442128,0.766,0.329
BE353,BE,MFH_HIGH,161252.53657514683,0.448,0.783
BE353,BE,OTHER,0.0,0.537,0.392
BE353,BE,SFH,773298.2127264696,0.806,0.294
BG311,BG,MFH_HIGH,100472.7291453862,0.475,0.667
BG311,BG,OTHER,0.0,0.57,0.334
BG311,BG,SFH,547637.8589708965,0.855,0.25
BG312,BG,MFH_HIGH,145348.06963756625,0.469,0.692
BG312,BG,OTHER,0.0,0.563,0.346
BG312,BG,SFH,804442.4886895687,0.844,0.26
BG313,BG,MFH_HIGH,202349.1103071489,0.469,0.693
BG313,BG,OTHER,0.0,0.563,0.346
BG313,BG,SFH,908692.240682818,0.844,0.26
BG314,BG,MFH_HIGH,397864.9279346821,0.444,0.801
BG314,BG,OTHER,0.0,0.532,0.4
BG314,BG,SFH,1032710.5451413678,0.798,0.3
BG315,BG,MFH_HIGH,237015.72618886657,0.454,0.758
BG315,BG,OTHER,0.0,0.544,0.379
BG315,BG,SFH,705736.2607677535,0.816,0.284
BG321,BG,MFH_HIGH,511894.7254072136,0.431,0.854
BG321,BG,OTHER,0.0,0.517,0.427
