building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,5,22992.340101677342,111.7752,2569973.4133330057,0.0025699734133330055
MFH_HIGH,pre-1945,12,33934.715882980105,123.21120000000002,4181137.065601039,0.004181137065601039
MFH_HIGH,unknown,1636,5351377.752407939,89.69083585941321,472129403.7622472,0.4721294037622472
MFH_LOW,1946-1970,13,17135.33560928275,105.2508153846154,1819330.84113754,0.0018193308411375401
MFH_LOW,1971-1990,3,6093.373123531324,90.42800000000001,551011.5448146907,0.0005510115448146907
MFH_LOW,1991-2010,1,870.2982006519867,77.46720000000002,67419.56476954761,6.74195647695476e-05
MFH_LOW,2011-2020,3,2548.123544110348,45.446400000000004,115803.04183505652,0.00011580304183505651
MFH_LOW,post-2020,2,994.1078999803059,33.85792,33658.425748901194,3.3658425748901197e-05
MFH_LOW,pre-1945,168,186387.081270998,122.06760000000003,22887943.925857946,0.022887943925857947
MFH_LOW,unknown,175668,62082741.73862684,92.95245565277229,5770399605.761828,5.7703996057618285
NON_RESIDENTIAL,1946-1970,29,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,28,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,34,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,22,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,post-2020,57,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,335,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,unknown,1304765,0.0,130.0,0.0,0.0
SFH,1946-1970,7,783.8141563820584,112.91805714285715,92024.4776111198,9.20244776111198e-05
SFH,1971-1990,3,288.0351162673518,98.24173333333334,28156.498438395975,2.8156498438395975e-05
SFH,1991-2010,1,97.77028401435837,74.98940000000002,7331.7349360663275,7.331734936066327e-06
SFH,2011-2020,2,131.15286815528378,46.827600000000004,6223.5212019583705,6.22352120195837e-06
SFH,pre-1945,62,7908.3062240678955,119.7485677419355,939845.4356303802,0.0009398454356303802
SFH,unknown,1425765,118352867.289675,97.25994653092621,11489748409.639763,11.489748409639763
