nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
IE041,MFH_LOW,8652,2696223.7556485855,3893779.551217799,1.6778663892741563,10.0,EUBUCCO
IE041,NON_RESIDENTIAL,300545,35291862.72939667,0.0,1.230526210717197,5.4,EUBUCCO
IE041,SFH,189235,22470509.22983014,27127623.53846916,1.4229830633867944,8.2,EUBUCCO
IE042,MFH_HIGH,11,14223.482310047351,76864.39568443294,6.363636363636363,23.3,EUBUCCO
IE042,MFH_LOW,12721,4034213.3386471393,6102556.732681744,1.7391321436993947,11.9,EUBUCCO
IE042,NON_RESIDENTIAL,286737,30378246.65240515,0.0,1.2579342742652675,7.1,EUBUCCO
IE042,SFH,211956,25619358.986610897,32265340.002235524,1.4862976278095454,9.1,EUBUCCO
IE051,MFH_HIGH,10,12014.295403699854,65820.08309221486,6.24,21.4,EUBUCCO
IE051,MFH_LOW,11714,3676686.506823149,5504009.053702315,1.7600051220761483,12.5,EUBUCCO
IE051,NON_RESIDENTIAL,198719,29369040.547264874,0.0,1.3089981330421347,7.9,EUBUCCO
IE051,SFH,154693,16907696.782457843,20679717.747615565,1.4554621088219892,10.2,EUBUCCO
IE052,MFH_LOW,12850,3936880.938047372,5254460.269530284,1.6038365758754862,9.0,EUBUCCO
IE052,NON_RESIDENTIAL,196346,31804727.49059079,0.0,1.2904128426349404,5.0,EUBUCCO
IE052,SFH,187100,20022020.809012793,23744074.897592444,1.4164254409406736,7.7,EUBUCCO
IE053,MFH_HIGH,21,22268.374389115044,123324.71010039722,7.190476190476191,22.1,EUBUCCO
IE053,MFH_LOW,26060,7535496.860262079,12554530.23854422,2.0401304681504224,11.4,EUBUCCO
IE053,NON_RESIDENTIAL,313673,44895633.32889504,0.0,1.5651790240154557,6.8,EUBUCCO
IE053,SFH,217118,25705852.021037694,34352312.31379035,1.589899041074439,9.7,EUBUCCO
IE061,MFH_HIGH,458,561765.5913406223,3102164.218407036,6.500218340611354,20.4,EUBUCCO
IE061,MFH_LOW,72235,9194121.983204473,20364262.862533,2.330487990586281,9.4,EUBUCCO
IE061,NON_RESIDENTIAL,112012,25559166.096541144,0.0,1.324787522765418,3.8,EUBUCCO
IE061,SFH,352169,25394523.377534214,40299782.06362588,1.8953238359991937,9.0,EUBUCCO
IE062,MFH_HIGH,3,1229.281573894342,9118.436546554076,9.333333333333334,20.0,EUBUCCO
IE062,MFH_LOW,19661,5377818.085580122,8395170.9602422,1.8463455571944458,10.7,EUBUCCO
IE062,NON_RESIDENTIAL,185712,32282196.256124265,0.0,1.2427893727922805,5.3,EUBUCCO
IE062,SFH,241902,25379020.03115673,35704304.07275759,1.7037680548321221,9.0,EUBUCCO
IE063,MFH_HIGH,1,629.9985709138534,3212.9927116606523,6.0,20.7,EUBUCCO
IE063,MFH_LOW,10151,3139233.5940832063,4684841.573223046,1.7394049847305686,12.0,EUBUCCO
IE063,NON_RESIDENTIAL,155814,22380549.419051725,0.0,1.2397660030549245,6.2,EUBUCCO
IE063,SFH,102696,12387495.22395652,16397777.829828063,1.5896412713250758,10.2,EUBUCCO
