nuts_id,building_class,n_buildings,heat_demand_MWh
ITC11,MFH_HIGH,10126,2637840.6382186553
ITC11,MFH_LOW,104343,7186404.530561814
ITC11,NON_RESIDENTIAL,108983,0.0
ITC11,SFH,586101,8121961.319265379
ITC12,MFH_HIGH,320,49544.06478553283
ITC12,MFH_LOW,14285,855837.7867124175
ITC12,NON_RESIDENTIAL,24622,0.0
ITC12,SFH,96406,1312057.9724205958
ITC13,MFH_HIGH,346,98773.32053750876
ITC13,MFH_LOW,13092,799462.5624926457
ITC13,NON_RESIDENTIAL,14501,0.0
ITC13,SFH,112101,1424181.072856108
ITC14,MFH_HIGH,85,20123.618596354445
ITC14,MFH_LOW,11471,686513.3048834178
ITC14,NON_RESIDENTIAL,22036,0.0
ITC14,SFH,137950,1533429.2748432648
ITC15,MFH_HIGH,409,130633.05554447697
ITC15,MFH_LOW,23576,1531517.624513782
ITC15,NON_RESIDENTIAL,28407,0.0
ITC15,SFH,155394,2191668.403481678
ITC16,MFH_HIGH,627,169786.41044171102
ITC16,MFH_LOW,54922,3477906.8407142097
ITC16,NON_RESIDENTIAL,75187,0.0
ITC16,SFH,350438,4912351.391452955
ITC17,MFH_HIGH,274,62732.87005371821
ITC17,MFH_LOW,19798,1257742.6236561828
ITC17,NON_RESIDENTIAL,18782,0.0
ITC17,SFH,108373,1644144.337877334
ITC18,MFH_HIGH,655,174293.3875812785
ITC18,MFH_LOW,30947,2075790.9721996104
ITC18,NON_RESIDENTIAL,41440,0.0
ITC18,SFH,214829,3031368.296915172
ITC20,MFH_HIGH,89,60165.29853227961
ITC20,MFH_LOW,10301,918362.2410921671
ITC20,NON_RESIDENTIAL,16195,0.0
ITC20,SFH,42555,817504.3416954277
ITC31,MFH_HIGH,981,244043.62371130867
ITC31,MFH_LOW,21954,1226416.9958958563
ITC31,NON_RESIDENTIAL,14925,0.0
ITC31,SFH,96387,1118843.3444667885
ITC32,MFH_HIGH,2509,603589.4597626956
ITC32,MFH_LOW,20937,1448123.8749160245
ITC32,NON_RESIDENTIAL,12362,0.0
ITC32,SFH,91103,1311841.8499987873
ITC33,MFH_HIGH,10239,2197755.485485647
ITC33,MFH_LOW,37315,2383043.268840741
ITC33,NON_RESIDENTIAL,19526,0.0
ITC33,SFH,147863,1800326.2078896128
ITC34,MFH_HIGH,1042,259236.27757002405
ITC34,MFH_LOW,14142,849619.2382384412
ITC34,NON_RESIDENTIAL,8526,0.0
ITC34,SFH,74707,1034062.3566538277
ITC41,MFH_HIGH,527,124914.48814464487
ITC41,MFH_LOW,37002,2511689.5504334047
ITC41,NON_RESIDENTIAL,51582,0.0
ITC41,SFH,320701,3875515.688397881
ITC42,MFH_HIGH,148,40081.693130348795
ITC42,MFH_LOW,30893,2068158.777309081
ITC42,NON_RESIDENTIAL,34575,0.0
ITC42,SFH,219914,2811010.4419386033
ITC43,MFH_HIGH,82,36082.23371993945
ITC43,MFH_LOW,15875,1159131.388956382
ITC43,NON_RESIDENTIAL,19864,0.0
ITC43,SFH,108611,1337113.017879858
ITC44,MFH_HIGH,72,13007.263103935155
ITC44,MFH_LOW,9386,518847.49016933393
ITC44,NON_RESIDENTIAL,36713,0.0
ITC44,SFH,139204,1609592.9607312556
ITC46,MFH_HIGH,324,125165.13379214975
ITC46,MFH_LOW,56419,3893584.261057014
ITC46,NON_RESIDENTIAL,65681,0.0
ITC46,SFH,337340,4237785.02408073
ITC47,MFH_HIGH,417,267504.0653720647
ITC47,MFH_LOW,69658,5099876.056941467
