building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,114,427260.0969649477,98.95456249999998,42279335.96887396,0.04227933596887396
MFH_HIGH,1971-1990,41,154457.70181776694,86.0018325,13283645.40006654,0.013283645400066539
MFH_HIGH,1991-2010,4927,9076374.094225349,69.81092000000001,633630025.7820385,0.6336300257820384
MFH_HIGH,2011-2020,15,252900.68249012379,47.143642500000006,11922659.363320405,0.011922659363320405
MFH_HIGH,post-2020,5,34163.95187617029,36.133821999999995,1234474.1559101033,0.0012344741559101033
MFH_HIGH,pre-1945,150,684353.9388887425,115.14547499999998,78800259.36146523,0.07880025936146523
MFH_HIGH,unknown,92395,319887300.4609116,90.68424439500001,29008738133.854107,29.008738133854106
MFH_LOW,1946-1970,1027,853508.4800029341,118.3836575,101041455.57001296,0.10104145557001296
MFH_LOW,1971-1990,1005,904069.8118831903,98.95456250000001,89461832.70435838,0.08946183270435838
MFH_LOW,1991-2010,258634,126001809.97385782,76.287285,9612335987.991533,9.612335987991534
MFH_LOW,2011-2020,134,149077.19275118774,50.38182500000001,7510781.03668161,0.00751078103668161
MFH_LOW,post-2020,60,95422.88061933291,38.724368,3695190.7447231147,0.0036951907447231144
MFH_LOW,pre-1945,2382,2738085.9997285716,134.57456999999997,368476746.03649276,0.3684767460364928
MFH_LOW,unknown,3486415,2502269034.4414096,105.24958928,263362788143.02057,263.36278814302057
NON_RESIDENTIAL,1946-1970,629,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,613,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,227499,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,297,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,post-2020,254,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,3578,0.0,110.0,0.0,0.0
NON_RESIDENTIAL,unknown,7067376,0.0,110.0,0.0,0.0
SFH,1946-1970,1694,212129.40824764047,160.48003,34042533.7994636,0.0340425337994636
SFH,1971-1990,2113,260643.01289315283,128.098205,33387902.097404726,0.03338790209740473
SFH,1991-2010,1009659,98804452.620223,92.47819750000001,9137257683.292376,9.137257683292376
SFH,2011-2020,121,15207.340254927583,56.85819,864661.841609321,0.0008646618416093209
SFH,post-2020,33,5689.253957257753,43.905460000000005,249789.312050222,0.000249789312050222
SFH,pre-1945,1813,215681.4972140643,186.38549,40199901.54217701,0.04019990154217701
SFH,unknown,13414458,1408311412.4862154,139.36708010000004,196272249429.71057,196.27224942971057
