nuts_id,building_class,n_buildings,heat_demand_MWh
LT011,MFH_HIGH,1381,1051622.6922452732
LT011,MFH_LOW,20012,1782955.017040904
LT011,NON_RESIDENTIAL,330461,0.0
LT011,SFH,168235,2130338.035309642
LT021,MFH_HIGH,54,27659.024235575107
LT021,MFH_LOW,3753,291343.81182805856
LT021,NON_RESIDENTIAL,122868,0.0
LT021,SFH,62985,702386.3459558316
LT022,MFH_HIGH,627,347285.4415988174
LT022,MFH_LOW,15342,1345009.251342141
LT022,NON_RESIDENTIAL,258575,0.0
LT022,SFH,144964,1778676.1472756553
LT023,MFH_HIGH,166,196137.55402048753
LT023,MFH_LOW,10654,878473.9004094733
LT023,NON_RESIDENTIAL,118873,0.0
LT023,SFH,96638,1148500.257598219
LT024,MFH_HIGH,14,6099.051693119308
LT024,MFH_LOW,3751,266273.94811670395
LT024,NON_RESIDENTIAL,112635,0.0
LT024,SFH,51020,602704.2677335531
LT025,MFH_HIGH,41,29442.419362099914
LT025,MFH_LOW,5390,413496.8685951312
LT025,NON_RESIDENTIAL,170941,0.0
LT025,SFH,83281,926324.4434425618
LT026,MFH_HIGH,149,96355.24608078247
LT026,MFH_LOW,7228,534410.7436695907
LT026,NON_RESIDENTIAL,165676,0.0
LT026,SFH,92756,1077964.3336429999
LT027,MFH_HIGH,1,893.136735956936
LT027,MFH_LOW,3298,188992.04300281612
LT027,NON_RESIDENTIAL,88074,0.0
LT027,SFH,38325,464366.11745089956
LT028,MFH_HIGH,8,2602.95725038468
LT028,MFH_LOW,4067,284407.9848558994
LT028,NON_RESIDENTIAL,67689,0.0
LT028,SFH,43616,567907.3350016922
LT029,MFH_HIGH,32,18525.788468907544
LT029,MFH_LOW,3176,251079.8580249249
LT029,NON_RESIDENTIAL,166879,0.0
LT029,SFH,61680,702035.0456051212
