nuts_id,building_class,n_buildings,heat_demand_MWh
LV003,MFH_HIGH,53,53760.20584419299
LV003,MFH_LOW,6797,1165082.4311581254
LV003,NON_RESIDENTIAL,130750,0.0
LV003,SFH,57779,1572413.8614423869
LV005,MFH_HIGH,73,73913.88081097329
LV005,MFH_LOW,6909,1208680.1240465941
LV005,NON_RESIDENTIAL,212234,0.0
LV005,SFH,101881,2472832.738385668
LV006,MFH_HIGH,1620,1732365.508742409
LV006,MFH_LOW,10372,2985620.0710177384
LV006,NON_RESIDENTIAL,46644,0.0
LV006,SFH,28107,778090.7607561471
LV007,MFH_HIGH,104,93897.66300447157
LV007,MFH_LOW,13770,1710759.6397562039
LV007,NON_RESIDENTIAL,210127,0.0
LV007,SFH,117056,3224161.81310018
LV008,MFH_HIGH,2,857.3726459920737
LV008,MFH_LOW,7193,841300.0501183133
LV008,NON_RESIDENTIAL,147032,0.0
LV008,SFH,57305,1641026.2744723444
LV009,MFH_HIGH,42,38275.796020951784
LV009,MFH_LOW,5296,762717.4935693757
LV009,NON_RESIDENTIAL,151772,0.0
LV009,SFH,55244,1500628.3932738758
