building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,1,11974.118279568225,25.563398,306099.1512796778,0.0003060991512796778
MFH_HIGH,pre-1945,2,17073.6229719938,25.563398,436459.81933502026,0.0004364598193350203
MFH_HIGH,unknown,715,9162936.51635238,23.466568496000004,215022677.38548276,0.21502267738548275
MFH_LOW,pre-1945,17,80423.02603212188,25.563398,2055885.8228234926,0.0020558858228234924
MFH_LOW,unknown,14492,30206447.577873036,23.466568496000004,708841671.1069909,0.7088416711069909
NON_RESIDENTIAL,1946-1970,4,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,1,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,2,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,1,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,40,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,unknown,100694,0.0,120.0,0.0,0.0
SFH,pre-1945,16,1474.535774380142,31.417864,46326.76442260998,4.632676442260998e-05
SFH,unknown,27292,2240413.043340985,28.395962656000002,63618685.11272593,0.06361868511272593
