nuts_id,building_class,n_buildings,heat_demand_MWh
NL111,MFH_HIGH,7,2545.268409189128
NL111,MFH_LOW,3840,381820.6846114139
NL111,NON_RESIDENTIAL,45934,0.0
NL111,SFH,61883,1016781.4323023589
NL112,MFH_LOW,1353,177189.49267211105
NL112,NON_RESIDENTIAL,19547,0.0
NL112,SFH,21119,327722.86711200967
NL113,MFH_HIGH,91,81270.04233595553
NL113,MFH_LOW,19052,1365254.7639130673
NL113,NON_RESIDENTIAL,110862,0.0
NL113,SFH,130469,1988732.47980318
NL124,MFH_HIGH,10,11452.079450435327
NL124,MFH_LOW,9286,958318.1658178
NL124,NON_RESIDENTIAL,106638,0.0
NL124,SFH,145614,2126077.3047323115
NL125,MFH_HIGH,1,2432.154389232173
NL125,MFH_LOW,4779,573417.8587325513
NL125,NON_RESIDENTIAL,44704,0.0
NL125,SFH,68411,1003368.770631639
NL126,MFH_HIGH,14,13571.188276825918
NL126,MFH_LOW,5045,542259.2370006886
NL126,NON_RESIDENTIAL,70892,0.0
NL126,SFH,87042,1274506.287949708
NL131,MFH_HIGH,10,9855.77492254714
NL131,MFH_LOW,5368,499602.65042288357
NL131,NON_RESIDENTIAL,78382,0.0
NL131,SFH,90724,1334986.4493761042
NL132,MFH_HIGH,4,3866.2718923721222
NL132,MFH_LOW,4393,430229.1572573438
NL132,NON_RESIDENTIAL,67577,0.0
NL132,SFH,78347,1194365.727284193
NL133,MFH_LOW,4103,389604.3835187015
NL133,NON_RESIDENTIAL,50501,0.0
NL133,SFH,59409,847171.3389494343
NL211,MFH_HIGH,7,19805.55117465507
NL211,MFH_LOW,10804,806062.9522240846
NL211,NON_RESIDENTIAL,138889,0.0
NL211,SFH,154379,2122919.682058528
NL212,MFH_HIGH,4,3834.049027019177
NL212,MFH_LOW,4196,355782.8532298571
NL212,NON_RESIDENTIAL,54121,0.0
NL212,SFH,59847,837230.9996010321
NL213,MFH_HIGH,125,108633.78583941403
NL213,MFH_LOW,11432,1061756.8445610125
NL213,NON_RESIDENTIAL,206301,0.0
NL213,SFH,249428,3724525.747217001
NL221,MFH_HIGH,32,26217.7911615623
NL221,MFH_LOW,12770,1177147.9289482168
NL221,NON_RESIDENTIAL,257407,0.0
NL221,SFH,303332,4040245.4067879156
NL224,MFH_HIGH,5,4786.6468902179095
NL224,MFH_LOW,6042,580633.9546013651
NL224,NON_RESIDENTIAL,89045,0.0
