nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
PL213,MFH_HIGH,1832,1358435.89270331,9255846.37956957,8.293231441048036,24.3,EUBUCCO
PL213,MFH_LOW,16047,5510180.847821416,17133149.970068593,3.2552938243908516,12.6,EUBUCCO
PL213,NON_RESIDENTIAL,69700,12724384.171599615,0.0,1.3167632711621233,4.1,EUBUCCO
PL213,SFH,47200,5007276.258594287,6918098.697621339,1.5782012711864408,7.0,EUBUCCO
PL214,MFH_HIGH,12,10567.737323024088,53895.46034742285,6.0,18.95,EUBUCCO
PL214,MFH_LOW,10887,2504564.4012373295,4591398.173197105,2.1864333608891338,10.2,EUBUCCO
PL214,NON_RESIDENTIAL,329437,31863011.259099506,0.0,1.1110464216223435,4.5,EUBUCCO
PL214,SFH,241173,26657545.755161293,35188444.842714496,1.5359787372549993,6.9,EUBUCCO
PL217,MFH_HIGH,57,54759.58653283676,496358.3775910022,10.63859649122807,18.6,EUBUCCO
PL217,MFH_LOW,5702,1721771.3018821902,3323730.6723835682,2.1638547877937566,8.6,EUBUCCO
PL217,NON_RESIDENTIAL,189212,17516728.901581984,0.0,1.0730577341817644,4.3,EUBUCCO
PL217,SFH,128515,14275131.16914222,16877317.079895344,1.3776438548029413,6.5,EUBUCCO
PL218,MFH_HIGH,18,6291.464679992438,55376.975889183814,11.11111111111111,34.4,EUBUCCO
PL218,MFH_LOW,7323,1920734.9243351812,3676538.604449513,2.2012972825344805,9.9,EUBUCCO
PL218,NON_RESIDENTIAL,205429,17764638.439334128,0.0,1.103699575035657,4.6,EUBUCCO
PL218,SFH,142039,16124638.170923378,19956769.04006902,1.4455072198480698,7.0,EUBUCCO
PL219,MFH_HIGH,8,6665.288650848249,34297.02276071013,6.625,16.65,EUBUCCO
PL219,MFH_LOW,14746,2611131.9736571074,5134310.2997618085,2.306347484063475,10.8,EUBUCCO
PL219,NON_RESIDENTIAL,138782,10475167.251282128,0.0,1.2021767952616333,5.0,EUBUCCO
PL219,SFH,100269,10982508.438986858,14671817.327179248,1.5560522195294657,7.5,EUBUCCO
PL21A,MFH_HIGH,30,11117.301558096078,76438.6355457455,8.2,24.2,EUBUCCO
PL21A,MFH_LOW,7904,2274978.148293744,5140840.880504974,2.426771255060729,10.7,EUBUCCO
PL21A,NON_RESIDENTIAL,171012,16619243.070414767,0.0,1.1262221364582603,4.4,EUBUCCO
PL21A,SFH,130345,14733347.589326533,19683022.17403899,1.5531174958763283,7.1,EUBUCCO
PL224,MFH_HIGH,63,48261.20902972945,394256.172572654,10.025396825396825,33.2,EUBUCCO
PL224,MFH_LOW,7135,2561475.732729768,5882288.771762285,2.412655921513665,10.0,EUBUCCO
PL224,NON_RESIDENTIAL,187919,19474354.70991233,0.0,1.0755761790984415,4.1,EUBUCCO
PL224,SFH,152406,16095011.449487668,19305700.957626145,1.3746584780126767,6.1,EUBUCCO
PL225,MFH_HIGH,192,88934.52626666897,735171.9076241549,9.363541666666666,33.7,EUBUCCO
PL225,MFH_LOW,12584,3150474.7019997807,7092096.818700117,2.487913223140496,10.7,EUBUCCO
PL225,NON_RESIDENTIAL,173182,17732680.76349118,0.0,1.1751019159035003,4.4,EUBUCCO
PL225,SFH,167356,18429065.635652773,24125065.930776894,1.525103969980162,7.1,EUBUCCO
PL227,MFH_HIGH,180,108933.86884988364,897771.2803415451,9.056111111111111,32.75,EUBUCCO
PL227,MFH_LOW,8767,2592670.0366027225,6296289.88689273,2.6569636135508152,10.8,EUBUCCO
PL227,NON_RESIDENTIAL,157312,14766249.350980993,0.0,1.1544440347843774,4.3,EUBUCCO
PL227,SFH,117540,13208246.633382928,17622170.544348866,1.5539552492768418,7.2,EUBUCCO
PL228,MFH_HIGH,68,24153.37799799342,214660.58220987997,10.258823529411766,32.8,EUBUCCO
PL228,MFH_LOW,9936,2704496.039889173,7035875.017196596,2.954861111111111,12.8,EUBUCCO
PL228,NON_RESIDENTIAL,106729,10970096.577871364,0.0,1.1135642608850453,4.0,EUBUCCO
PL228,SFH,75816,7768747.046702893,9960517.450548036,1.4679526748971194,6.6,EUBUCCO
PL229,MFH_HIGH,458,127766.27722172986,1108302.3427834066,10.192139737991265,34.5,EUBUCCO
PL229,MFH_LOW,13882,3128211.7192171067,8669683.071337348,3.238992940498487,12.75,EUBUCCO
PL229,NON_RESIDENTIAL,86206,12446813.540091697,0.0,1.1266976776558477,4.0,EUBUCCO
PL229,SFH,56925,5549175.990639124,7229663.443407657,1.4586719367588932,6.4,EUBUCCO
PL22A,MFH_HIGH,986,425044.5603732449,3759640.057445878,10.00233265720081,32.1,EUBUCCO
PL22A,MFH_LOW,18314,5092131.363701695,15265126.077622786,3.367068909031342,13.3,EUBUCCO
