nuts_id,building_class,n_buildings,heat_demand_MWh
RO111,MFH_HIGH,248,79636.55827267979
RO111,MFH_LOW,25019,1185595.799362911
RO111,NON_RESIDENTIAL,187832,0.0
RO111,SFH,181986,2003950.6666016786
RO112,MFH_HIGH,9,4553.605397308112
RO112,MFH_LOW,11469,506343.3873098219
RO112,NON_RESIDENTIAL,74118,0.0
RO112,SFH,124043,1176852.6261760881
RO113,MFH_HIGH,315,154099.53046388627
RO113,MFH_LOW,13689,850522.3668338432
RO113,NON_RESIDENTIAL,137595,0.0
RO113,SFH,212376,2008838.2381600458
RO114,MFH_HIGH,58,22598.55921279431
RO114,MFH_LOW,12557,601955.656363179
RO114,NON_RESIDENTIAL,145426,0.0
RO114,SFH,182830,1930431.6895240168
RO115,MFH_HIGH,6,1331.041452119813
RO115,MFH_LOW,17913,723683.1878566262
RO115,NON_RESIDENTIAL,97816,0.0
RO115,SFH,110300,1391272.7598098193
RO116,MFH_HIGH,11,3075.9503503961273
RO116,MFH_LOW,9359,360094.3501348084
RO116,NON_RESIDENTIAL,101736,0.0
RO116,SFH,82506,980562.288714749
RO121,MFH_HIGH,12,8862.737640410003
RO121,MFH_LOW,11896,597652.0769408712
RO121,NON_RESIDENTIAL,132531,0.0
RO121,SFH,126662,1225223.733674978
RO122,MFH_HIGH,474,188474.87785578554
RO122,MFH_LOW,19840,1078279.6670275028
RO122,NON_RESIDENTIAL,105567,0.0
RO122,SFH,103914,1332318.2345465822
RO123,MFH_HIGH,31,9383.14467837459
RO123,MFH_LOW,7513,370686.0913426461
RO123,NON_RESIDENTIAL,68883,0.0
RO123,SFH,60030,733525.6209642651
RO124,MFH_HIGH,64,21475.21581679285
RO124,MFH_LOW,8110,413676.10849910125
RO124,NON_RESIDENTIAL,113302,0.0
RO124,SFH,138872,1414788.7173717134
RO125,MFH_HIGH,185,71424.96323788527
RO125,MFH_LOW,14637,687503.6263266427
RO125,NON_RESIDENTIAL,143275,0.0
RO125,SFH,206247,1888315.7329469982
RO126,MFH_HIGH,180,54432.97239878103
RO126,MFH_LOW,17124,876274.764198531
RO126,NON_RESIDENTIAL,91087,0.0
RO126,SFH,95033,1068573.4021419322
RO211,MFH_HIGH,80,46938.84469988774
RO211,MFH_LOW,18359,837269.8131308428
RO211,NON_RESIDENTIAL,247965,0.0
RO211,SFH,162548,1995490.5780903532
RO212,MFH_HIGH,51,25504.674335365966
RO212,MFH_LOW,8054,435804.1505175084
RO212,NON_RESIDENTIAL,173560,0.0
RO212,SFH,134754,1402398.719997594
RO213,MFH_HIGH,556,250844.29979618097
RO213,MFH_LOW,14595,892177.7938121905
RO213,NON_RESIDENTIAL,245997,0.0
RO213,SFH,196767,2239721.373258624
RO214,MFH_HIGH,148,44746.93575642763
RO214,MFH_LOW,18243,762445.1201612572
RO214,NON_RESIDENTIAL,217622,0.0
RO214,SFH,141251,1774490.4052413912
RO215,MFH_HIGH,50,11409.317535765538
RO215,MFH_LOW,33545,1346771.004757391
RO215,NON_RESIDENTIAL,315730,0.0
RO215,SFH,209297,2625688.8310391987
RO216,MFH_HIGH,1,908.3175853962713
RO216,MFH_LOW,8340,369485.7322352899
RO216,NON_RESIDENTIAL,173395,0.0
RO216,SFH,107266,1250260.4346395717
RO221,MFH_HIGH,66,44870.09068390083
RO221,MFH_LOW,9598,643819.7560727351
RO221,NON_RESIDENTIAL,89891,0.0
RO221,SFH,66699,807038.8836880669
RO222,MFH_HIGH,230,73523.24441169121
RO222,MFH_LOW,13927,654797.98424032
RO222,NON_RESIDENTIAL,198084,0.0
RO222,SFH,117402,1548102.754479828
RO223,MFH_HIGH,676,233901.28873813036
RO223,MFH_LOW,18590,1147633.6378851614
RO223,NON_RESIDENTIAL,132511,0.0
RO223,SFH,135390,1774102.2441004347
RO224,MFH_HIGH,97,41664.86780796447
RO224,MFH_LOW,16094,893871.2418502427
RO224,NON_RESIDENTIAL,183005,0.0
RO224,SFH,96880,1346836.5701919917
RO225,MFH_HIGH,8,2833.6363924936386
RO225,MFH_LOW,6500,308358.82778317895
RO225,NON_RESIDENTIAL,83630,0.0
RO225,SFH,81704,949228.449667054
RO226,MFH_HIGH,122,30020.232561988374
RO226,MFH_LOW,14292,609262.3471756246
RO226,NON_RESIDENTIAL,167719,0.0
RO226,SFH,94245,1315787.0555211504
RO311,MFH_HIGH,202,87231.35015587173
RO311,MFH_LOW,12888,690346.694593871
RO311,NON_RESIDENTIAL,231879,0.0
RO311,SFH,215312,2083326.8680689903
RO312,MFH_HIGH,7,1454.019105044133
RO312,MFH_LOW,6873,319551.1880800653
RO312,NON_RESIDENTIAL,134144,0.0
