building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,46,319520.7138550068,88.99755,28436560.70734666,0.02843656070734666
MFH_HIGH,1971-1990,157,913995.8101134663,84.51285000000001,77244390.80074786,0.07724439080074785
MFH_HIGH,1991-2010,35,240561.5420023034,56.25924,13533809.526277669,0.013533809526277668
MFH_HIGH,2011-2020,316,2173008.8740360965,48.63525,105684829.84096406,0.10568482984096407
MFH_HIGH,post-2020,221,1981176.6697770979,39.66585,78585056.6068779,0.0785850566068779
MFH_HIGH,pre-1945,36,162155.67673075572,93.48225000000001,15158677.511063691,0.015158677511063692
MFH_HIGH,unknown,11263,60475591.48116569,77.54362619999999,4689496660.039418,4.689496660039418
MFH_LOW,1946-1970,253,472366.90641143813,92.48225000000001,43685554.33046922,0.04368555433046922
MFH_LOW,1971-1990,348,567853.1257367473,79.02815,44876381.99869253,0.044876381998692524
MFH_LOW,1991-2010,134,204409.11402719008,53.46536,10928806.868744764,0.010928806868744765
MFH_LOW,2011-2020,166,278816.43602923723,45.3929,12656286.599031562,0.012656286599031561
MFH_LOW,post-2020,59,147726.29912722736,38.665850000000006,5711962.923108503,0.005711962923108503
MFH_LOW,pre-1945,345,426536.871006525,101.45164999999999,43272869.34944912,0.04327286934944912
MFH_LOW,unknown,626844,412182814.6732931,76.04133980000002,31342933470.2923,31.3429334702923
NON_RESIDENTIAL,1946-1970,155,0.0,100.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,124,0.0,100.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,466,0.0,100.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,343,0.0,100.0,0.0,0.0
NON_RESIDENTIAL,post-2020,152,0.0,100.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,1208,0.0,100.0,0.0,0.0
NON_RESIDENTIAL,unknown,6501493,0.0,100.0,0.0,0.0
SFH,1946-1970,8,1761.0258155059566,115.1481,202778.77670646145,0.00020277877670646144
SFH,1971-1990,16,2958.5986697004287,90.48225000000001,267700.6644815016,0.0002677006644815016
SFH,1991-2010,38,8457.860226623025,63.57405,537700.4289403436,0.0005377004289403435
SFH,2011-2020,119,25700.056997462474,51.46535999999999,1322662.6853949253,0.0013226626853949253
SFH,post-2020,192,41284.528488584605,41.15055,1698881.0537959253,0.0016988810537959254
SFH,pre-1945,149,32763.25811129948,121.87514999999998,3993026.9968033405,0.003993026996803341
SFH,unknown,5500394,697909836.3708249,89.73778979999997,62628886195.59747,62.628886195597474
