nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
SE110,MFH_HIGH,4042,4742502.669781475,28001865.79899844,7.5020039584364175,22.7,EUBUCCO
SE110,MFH_LOW,51441,24558777.53160468,59778966.84368616,2.530048016173869,8.2,EUBUCCO
SE110,NON_RESIDENTIAL,220274,34590811.81086992,0.0,1.3040218092012676,4.7,EUBUCCO
SE110,SFH,376089,38567501.96541117,49906596.79686926,1.4418486049844585,5.9,EUBUCCO
SE121,MFH_HIGH,322,302172.1088930624,1619251.5903998942,6.551552795031055,19.25,EUBUCCO
SE121,MFH_LOW,15793,7010159.835664747,14961405.675455071,2.2614892673969478,8.4,EUBUCCO
SE121,NON_RESIDENTIAL,108149,13895791.71545871,0.0,1.2327363174879102,6.4,EUBUCCO
SE121,SFH,90149,11094075.926060766,14618982.486343382,1.487567249775372,7.4,EUBUCCO
SE122,MFH_HIGH,65,62317.71420665164,339062.6759541408,7.375384615384615,18.4,EUBUCCO
SE122,MFH_LOW,9702,4167949.5395142,9118706.414368719,2.373500309214595,8.2,EUBUCCO
SE122,NON_RESIDENTIAL,125612,16474501.351014044,0.0,1.2613770977295162,6.0,EUBUCCO
SE122,SFH,74489,8858513.537386512,11678425.387018953,1.492315643920579,6.9,EUBUCCO
SE123,MFH_HIGH,289,234682.69802482316,1350377.1245381131,6.987543252595156,21.4,EUBUCCO
SE123,MFH_LOW,11768,5435567.850515558,11832536.053714212,2.33662474507138,8.3,EUBUCCO
SE123,NON_RESIDENTIAL,256235,30945537.667903807,0.0,1.2291751712295353,4.8,EUBUCCO
SE123,SFH,94403,11526991.092128059,14202589.6056307,1.420666716100124,6.5,EUBUCCO
SE124,MFH_HIGH,122,84741.50254800824,432354.5423260399,6.0704918032786885,17.15,EUBUCCO
SE124,MFH_LOW,7896,3216225.526524876,6977178.152975653,2.3343465045592704,8.3,EUBUCCO
SE124,NON_RESIDENTIAL,184535,21716696.38655679,0.0,1.225131275909719,5.0,EUBUCCO
SE124,SFH,72153,8534400.977790777,10732874.966836743,1.4338669216803182,6.8,EUBUCCO
SE125,MFH_HIGH,134,133200.0991005745,752051.589182949,7.324626865671642,20.0,EUBUCCO
SE125,MFH_LOW,9276,4153355.2211091737,9465309.555809705,2.4545062526951273,8.5,EUBUCCO
