nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
SI031,MFH_HIGH,145,62512.5583965165,395322.47284125333,7.620689655172414,19.5,EUBUCCO
SI031,MFH_LOW,7734,2468697.770920525,3383731.3128477675,1.626144297905353,7.7,EUBUCCO
SI031,NON_RESIDENTIAL,64590,8604519.856364375,0.0,1.1203700263198637,4.5,EUBUCCO
SI031,SFH,46920,6359739.781099509,7393682.712611174,1.343989769820972,7.0,EUBUCCO
SI032,MFH_HIGH,812,547044.2716682195,3526775.834635833,7.259975369458129,19.7,EUBUCCO
SI032,MFH_LOW,13767,4003269.0150606004,7383267.989143948,2.165831335803007,9.0,EUBUCCO
SI032,NON_RESIDENTIAL,118326,13875576.38435881,0.0,1.1040641955276103,4.2,EUBUCCO
SI032,SFH,103227,13714336.379162474,16103542.700133737,1.3611971674077517,7.2,EUBUCCO
SI033,MFH_HIGH,205,88288.72838461968,512093.1759276987,6.68780487804878,18.0,EUBUCCO
SI033,MFH_LOW,2889,901921.0755815633,1821228.754352003,2.3517133956386296,10.2,EUBUCCO
SI033,NON_RESIDENTIAL,24562,2952905.068032956,0.0,1.1433515186059766,4.6,EUBUCCO
SI033,SFH,20639,2845278.9587677503,3647258.323398353,1.4661078540626968,8.0,EUBUCCO
SI034,MFH_HIGH,594,305020.2180353085,2018831.8754122218,7.655723905723906,19.3,EUBUCCO
SI034,MFH_LOW,8395,2741691.6815722836,5088250.0897462135,2.1034782608695655,9.4,EUBUCCO
SI034,NON_RESIDENTIAL,92057,11676362.10408576,0.0,1.1316086772325842,4.4,EUBUCCO
SI034,SFH,90434,12065366.69253998,14256388.10441006,1.3619092376760953,7.7,EUBUCCO
SI035,MFH_HIGH,183,101091.08624692845,649918.4138961637,7.524590163934426,19.8,EUBUCCO
SI035,MFH_LOW,1566,504521.591471572,1041622.1493731954,2.347956577266922,9.9,EUBUCCO
SI035,NON_RESIDENTIAL,19290,1779667.7932578663,0.0,1.1282789009849663,4.4,EUBUCCO
SI035,SFH,15551,2078647.8004722372,2526448.4082205906,1.3988682399845669,8.2,EUBUCCO
SI036,MFH_HIGH,123,50076.87601711443,296051.8695433278,7.08130081300813,19.4,EUBUCCO
SI036,MFH_LOW,2835,881527.7255600431,1536033.6371506709,2.0191181657848323,9.2,EUBUCCO
SI036,NON_RESIDENTIAL,42479,4714649.371199489,0.0,1.1213540808399445,4.4,EUBUCCO
SI036,SFH,40472,5124781.652376848,6045216.105346915,1.356814587863214,7.2,EUBUCCO
SI037,MFH_HIGH,217,90213.96902717793,502805.7438492857,6.589861751152074,18.1,EUBUCCO
SI037,MFH_LOW,4775,1513556.0271596676,2670010.911644173,2.062785340314136,9.2,EUBUCCO
SI037,NON_RESIDENTIAL,64769,7494451.38323655,0.0,1.1004863437755716,4.8,EUBUCCO
SI037,SFH,77030,9416039.144484384,10881972.150148029,1.3191431909645592,7.4,EUBUCCO
SI038,MFH_HIGH,116,43274.81120023171,242175.48409102805,6.5,18.299999999999997,EUBUCCO
SI038,MFH_LOW,3019,941493.6921177838,1525247.0306795803,1.9181848294137132,9.1,EUBUCCO
SI038,NON_RESIDENTIAL,19738,2485312.125484606,0.0,1.103931502685176,4.7,EUBUCCO
SI038,SFH,19159,2718389.5948746516,3223164.858684281,1.364058666945039,7.7,EUBUCCO
SI041,MFH_HIGH,1932,1249583.845994141,8923607.434056772,7.64927536231884,18.65,EUBUCCO
SI041,MFH_LOW,16401,5356140.547341057,10950419.645564197,2.386665447228827,9.6,EUBUCCO
SI041,NON_RESIDENTIAL,110538,15008101.181348674,0.0,1.178329624201632,4.3,EUBUCCO
SI041,SFH,116746,15485874.029577708,19375986.499937855,1.4474919911602966,8.0,EUBUCCO
SI042,MFH_HIGH,595,307937.7337977636,1952237.9157213094,7.54235294117647,18.0,EUBUCCO
SI042,MFH_LOW,8773,2814661.7306051026,5625480.018286648,2.3270716972529355,10.2,EUBUCCO
SI042,NON_RESIDENTIAL,50484,7135577.617825407,0.0,1.1902860312178116,4.7,EUBUCCO
SI042,SFH,54891,7396140.0630990155,9745543.585895067,1.4925397606164945,8.4,EUBUCCO
SI043,MFH_HIGH,221,117322.02350699824,731847.8474214278,7.0588235294117645,17.8,EUBUCCO
SI043,MFH_LOW,6288,1816835.8159243944,3348304.5737681147,2.171008269720102,9.5,EUBUCCO
SI043,NON_RESIDENTIAL,32564,4048858.604492944,0.0,1.1679738361380667,5.4,EUBUCCO
SI043,SFH,49543,5839309.827961369,7608932.619505713,1.460212340794865,7.7,EUBUCCO
SI044,MFH_HIGH,358,217630.26396248478,1415786.9938638702,6.988826815642458,18.9,EUBUCCO
SI044,MFH_LOW,5225,1333703.4375307867,2839279.9358630064,2.6065454545454547,9.1,EUBUCCO
SI044,NON_RESIDENTIAL,35030,3799399.408243337,0.0,1.0958321438766772,4.6,EUBUCCO
SI044,SFH,34184,3927175.473596326,4667733.567799024,1.3605049145799204,7.0,EUBUCCO
