nuts_id,building_class,n_buildings,heat_demand_MWh
SI031,MFH_HIGH,145,40574.673112760436
SI031,MFH_LOW,7734,347295.692383625
SI031,NON_RESIDENTIAL,64590,0.0
SI031,SFH,46920,730058.3487561728
SI032,MFH_HIGH,812,361248.4543949198
SI032,MFH_LOW,13767,757800.8213144412
SI032,NON_RESIDENTIAL,118326,0.0
SI032,SFH,103227,1590072.0332758825
SI033,MFH_HIGH,205,52559.656088373624
SI033,MFH_LOW,2889,186960.4830371367
SI033,NON_RESIDENTIAL,24562,0.0
SI033,SFH,20639,360142.51886526117
SI034,MFH_HIGH,594,207206.64531349667
SI034,MFH_LOW,8395,522391.88179931324
SI034,NON_RESIDENTIAL,92057,0.0
SI034,SFH,90434,1407715.7433537317
SI035,MFH_HIGH,183,66705.61125521916
SI035,MFH_LOW,1566,106919.27883966255
SI035,NON_RESIDENTIAL,19290,0.0
SI035,SFH,15551,249461.76847254197
SI036,MFH_HIGH,123,30385.846129131583
SI036,MFH_LOW,2835,157666.8057312256
SI036,NON_RESIDENTIAL,42479,0.0
SI036,SFH,40472,596905.242763565
SI037,MFH_HIGH,217,51606.42285088476
SI037,MFH_LOW,4775,274041.64293733187
SI037,NON_RESIDENTIAL,64769,0.0
SI037,SFH,77030,1074495.894928885
SI038,MFH_HIGH,116,24856.140943102437
SI038,MFH_LOW,3019,156546.62696315703
SI038,NON_RESIDENTIAL,19738,0.0
SI038,SFH,19159,318251.66230519436
SI041,MFH_HIGH,1932,905899.4042353783
SI041,MFH_LOW,16401,1116854.2828027725
SI041,NON_RESIDENTIAL,110538,0.0
SI041,SFH,116746,1913117.9106856468
SI042,MFH_HIGH,595,200371.6477320965
SI042,MFH_LOW,8773,577508.3953817181
SI042,NON_RESIDENTIAL,50484,0.0
SI042,SFH,54891,962295.1824676223
SI043,MFH_HIGH,221,74381.4236501254
SI043,MFH_LOW,6288,343444.2853682768
SI043,NON_RESIDENTIAL,32564,0.0
SI043,SFH,49543,751311.0398293274
SI044,MFH_HIGH,358,145311.98811050667
SI044,MFH_LOW,5225,291455.6498801399
SI044,NON_RESIDENTIAL,35030,0.0
SI044,SFH,34184,460894.63212370855
