nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
SK010,MFH_HIGH,2771,1490932.5970246007,11544073.292884113,9.376542764345002,27.8,EUBUCCO
SK010,MFH_LOW,12196,4309586.103882702,8697008.140012182,2.231600524762217,9.5,EUBUCCO
SK010,NON_RESIDENTIAL,183881,24844049.59224821,0.0,1.3195169702144323,3.6,EUBUCCO
SK010,SFH,132562,14826963.243684286,17321625.899772603,1.3467766026463088,6.8,EUBUCCO
SK021,MFH_HIGH,384,222924.77681322096,1518817.973542208,8.188802083333334,25.15,EUBUCCO
SK021,MFH_LOW,12461,4391341.457818525,6584186.651115248,1.6189471149987964,7.5,EUBUCCO
SK021,NON_RESIDENTIAL,307559,31828910.99011503,0.0,1.1627993328109405,3.5,EUBUCCO
SK021,SFH,164571,21170254.219707627,23785152.112997387,1.3091468120142675,6.7,EUBUCCO
SK022,MFH_HIGH,1015,540133.6554483138,3750022.8499259134,8.252019704433497,26.2,EUBUCCO
SK022,MFH_LOW,8906,3037919.5555147366,6000897.734554906,2.1551650572647656,9.4,EUBUCCO
SK022,NON_RESIDENTIAL,284429,28680867.708118424,0.0,1.2434287642961865,4.2,EUBUCCO
SK022,SFH,163007,17881545.487991687,21676245.641879696,1.3957185887722612,7.2,EUBUCCO
SK023,MFH_HIGH,549,269213.97700032603,1886986.4666253203,8.44335154826958,25.5,EUBUCCO
SK023,MFH_LOW,15957,5541065.402496549,8504657.533993155,1.6683148461490254,7.8,EUBUCCO
SK023,NON_RESIDENTIAL,388158,39729129.60190097,0.0,1.1689762931589713,3.7,EUBUCCO
SK023,SFH,208421,26207820.69165678,30309385.57505183,1.3461081177040701,6.9,EUBUCCO
SK031,MFH_HIGH,818,470732.2905885436,3322434.8363595423,8.439608801955991,26.4,EUBUCCO
SK031,MFH_LOW,8983,2996093.0201036064,5813483.511788896,2.139274184570856,9.8,EUBUCCO
SK031,NON_RESIDENTIAL,340928,32704646.50581788,0.0,1.2050820114510983,4.1,EUBUCCO
SK031,SFH,193152,22108669.682918657,26864587.977998428,1.402458685387674,7.5,EUBUCCO
SK032,MFH_HIGH,617,372566.02578219137,2709249.035949829,8.77034035656402,28.0,EUBUCCO
SK032,MFH_LOW,12351,4405398.137311337,7947501.638874887,1.9246295846490162,9.0,EUBUCCO
SK032,NON_RESIDENTIAL,332934,34385920.78144423,0.0,1.185370974427364,4.0,EUBUCCO
SK032,SFH,180600,20450915.224755343,24496926.358056154,1.3910282392026578,7.0,EUBUCCO
SK041,MFH_HIGH,978,600098.3635148071,3419540.3668305525,7.007668711656442,26.1,EUBUCCO
SK041,MFH_LOW,22684,5157760.038884286,11024624.396830097,2.3723549638511727,10.3,EUBUCCO
SK041,NON_RESIDENTIAL,362638,34455921.15406281,0.0,1.1511319828589393,4.1,EUBUCCO
SK041,SFH,161048,19750888.743752368,27914030.94741374,1.6310224280959715,7.3,EUBUCCO
SK042,MFH_HIGH,1290,982498.8019294544,6848814.015518779,8.454341085271318,27.0,EUBUCCO
SK042,MFH_LOW,16533,4434480.760328575,8948828.530799484,2.217788665094054,8.9,EUBUCCO
SK042,NON_RESIDENTIAL,317075,34104205.38100305,0.0,1.1211662855791216,3.8,EUBUCCO
SK042,SFH,153609,19075033.353519112,25801901.46619599,1.557147042165498,6.8,EUBUCCO
