nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
UKC11,MFH_HIGH,19,11245.620048151526,87482.65030649528,9.24736842105263,21.6,EUBUCCO
UKC11,MFH_LOW,7416,3047113.401989336,4939763.3142049005,1.7765507011866235,6.05,EUBUCCO
UKC11,NON_RESIDENTIAL,17154,5787300.23315905,0.0,1.3570304302203569,4.2,EUBUCCO
UKC11,SFH,64412,6875064.736103785,8248994.743398498,1.4342529342358568,5.2,EUBUCCO
UKC12,MFH_HIGH,22,19644.43129445261,116965.21514710752,8.695454545454545,18.65,EUBUCCO
UKC12,MFH_LOW,8161,3485550.6702927453,5919807.103599821,1.8623575542212965,7.7,EUBUCCO
UKC12,NON_RESIDENTIAL,14510,4538038.63173785,0.0,1.3365334252239836,4.1,EUBUCCO
UKC12,SFH,56860,6143665.035668017,7397345.694964014,1.4251195919803026,5.5,EUBUCCO
UKC13,MFH_HIGH,4,6072.201583506382,26884.024495066376,5.35,13.4,EUBUCCO
UKC13,MFH_LOW,2717,1189025.3163291658,2154063.4092509206,1.9239602502760396,7.2,EUBUCCO
UKC13,NON_RESIDENTIAL,6968,2393576.9826946435,0.0,1.2779563719862228,4.4,EUBUCCO
UKC13,SFH,23268,2492058.8950720564,2951297.6813311526,1.3994584837545125,5.2,EUBUCCO
UKC14,MFH_HIGH,11,14906.013033395651,67327.89793085452,5.7,15.0,EUBUCCO
UKC14,MFH_LOW,15530,5359071.961106461,8523671.155494709,1.8692015453960078,8.3,EUBUCCO
UKC14,NON_RESIDENTIAL,41724,11048060.916344933,0.0,1.2495853705301505,4.5,EUBUCCO
UKC14,SFH,158591,13879881.72839996,17478584.11349223,1.5239477650055804,6.4,EUBUCCO
UKC21,MFH_LOW,8993,3478568.646651242,5053168.937575204,1.682686533970866,8.7,EUBUCCO
UKC21,NON_RESIDENTIAL,37511,10148829.457865184,0.0,1.3225693796486364,5.4,EUBUCCO
UKC21,SFH,140614,11454157.905649504,13541005.674575608,1.3933143214758132,6.9,EUBUCCO
UKC22,MFH_HIGH,127,128222.02647081963,915247.9604597129,9.744881889763779,22.8,EUBUCCO
UKC22,MFH_LOW,15195,8423534.55661721,16301256.015877819,2.0123922342875944,8.0,EUBUCCO
UKC22,NON_RESIDENTIAL,19834,10355830.918482497,0.0,1.4919885045880812,5.0,EUBUCCO
UKC22,SFH,183879,16921958.294643465,20356856.12546032,1.415002800754844,6.7,EUBUCCO
UKC23,MFH_HIGH,11,12787.119511002154,59961.34855517058,5.627272727272727,18.0,EUBUCCO
UKC23,MFH_LOW,5706,3295035.321749686,5666630.301572574,1.7794076410795652,5.4,EUBUCCO
UKC23,NON_RESIDENTIAL,8316,4478349.011529173,0.0,1.40503848003848,4.3,EUBUCCO
UKC23,SFH,53531,5587100.715980215,6527244.76312766,1.370674936018382,5.2,EUBUCCO
UKD11,MFH_HIGH,2,2087.4800116434244,10539.89640271493,5.8,18.25,EUBUCCO
UKD11,MFH_LOW,6084,2850934.5718963267,4531269.761397764,1.7616699539776464,7.4,EUBUCCO
UKD11,NON_RESIDENTIAL,41166,9257916.132999914,0.0,1.2974736432978673,3.6,EUBUCCO
UKD11,SFH,58445,6360297.270866149,7546648.554276877,1.3785918384806228,5.4,EUBUCCO
UKD12,MFH_HIGH,3,2569.9079052242173,14536.429224904674,8.299999999999999,20.1,EUBUCCO
UKD12,MFH_LOW,8318,3266691.0469175507,5044841.193482509,1.7268934840105794,8.3,EUBUCCO
UKD12,NON_RESIDENTIAL,56561,12991289.878409253,0.0,1.2665175651066989,4.3,EUBUCCO
UKD12,SFH,84132,8893469.580369651,10527546.931938345,1.3798697285218466,5.7,EUBUCCO
UKD33,MFH_HIGH,329,353205.6733282188,2606659.8104184587,9.417325227963527,23.0,EUBUCCO
UKD33,MFH_LOW,11124,4250852.6900425,8127248.067021881,2.1564545127651926,7.8,EUBUCCO
UKD33,NON_RESIDENTIAL,11625,6676834.879738731,0.0,1.9413333333333334,5.3,EUBUCCO
UKD33,SFH,77023,6771691.404346848,8938906.797648204,1.5714228217545407,5.6,EUBUCCO
UKD34,MFH_HIGH,147,148109.7789890634,1260292.9332951345,11.262585034013604,27.7,EUBUCCO
UKD34,MFH_LOW,9650,3898347.641470941,6587160.421470816,1.9048601036269432,6.6,EUBUCCO
UKD34,NON_RESIDENTIAL,20395,7978250.209556316,0.0,1.3992253003187056,4.1,EUBUCCO
UKD34,SFH,88670,9364414.720575333,11825930.216628099,1.497710612382993,5.3,EUBUCCO
UKD35,MFH_HIGH,42,28934.00726786888,221239.25506356303,9.57857142857143,24.85,EUBUCCO
UKD35,MFH_LOW,9545,3762672.6267864676,5922376.239395868,1.7681299109481403,6.2,EUBUCCO
UKD35,NON_RESIDENTIAL,22716,6287993.656265371,0.0,1.3841037154428597,4.1,EUBUCCO
UKD35,SFH,105355,11343825.08926153,13806781.935291665,1.4401793934791896,5.2,EUBUCCO
UKD36,MFH_HIGH,25,16048.825015042834,128822.60281600626,13.175999999999998,20.6,EUBUCCO
UKD36,MFH_LOW,6788,2485386.9912459883,4209924.370276837,2.00082498526812,7.3,EUBUCCO
UKD36,NON_RESIDENTIAL,36215,8325893.533710221,0.0,1.2743890653044319,4.0,EUBUCCO
UKD36,SFH,207055,15383149.39618356,19714881.23812517,1.521191470865229,5.2,EUBUCCO
UKD37,MFH_HIGH,16,7957.580512306704,97432.08640789853,14.33125,35.55,EUBUCCO
UKD37,MFH_LOW,11803,4986153.000801787,7910684.356536419,1.7816995679064647,6.4,EUBUCCO
UKD37,NON_RESIDENTIAL,30128,9513909.176790366,0.0,1.3579261816250663,4.2,EUBUCCO
UKD37,SFH,127878,12479099.53851818,15260504.851955974,1.4566704202442955,5.2,EUBUCCO
UKD41,MFH_HIGH,1,417.88993741835344,4972.890255278406,14.0,34.4,EUBUCCO
UKD41,MFH_LOW,3253,1546329.8080867345,2554227.645652407,1.8512142637565325,6.1,EUBUCCO
UKD41,NON_RESIDENTIAL,9390,2875133.9827049184,0.0,1.2861874334398298,4.3,EUBUCCO
UKD41,SFH,27364,2544180.583090804,3180297.8370776945,1.5081859377284024,6.9,EUBUCCO
UKD42,MFH_HIGH,24,17764.803177727797,89590.84427323191,5.729166666666667,19.65,EUBUCCO
UKD42,MFH_LOW,3273,1465291.0836654082,3155065.769186453,2.270088603727467,6.6,EUBUCCO
UKD42,NON_RESIDENTIAL,10152,2211776.15799537,0.0,1.4219661150512215,3.6,EUBUCCO
UKD42,SFH,22942,2746980.6352359103,3425829.6309077507,1.4236858164065906,5.0,EUBUCCO
UKD44,MFH_HIGH,19,16195.615685658564,95324.7229230981,7.105263157894737,20.8,EUBUCCO
UKD44,MFH_LOW,4998,1696857.2861507304,3053819.0872709323,2.11796718687475,8.2,EUBUCCO
UKD44,NON_RESIDENTIAL,37733,6511036.6977386465,0.0,1.2672965308880821,4.0,EUBUCCO
UKD44,SFH,74310,7269432.9657562105,8807302.989506505,1.4542807159197955,5.7,EUBUCCO
UKD45,MFH_HIGH,12,11910.058792652602,74714.50119701945,9.325000000000001,24.25,EUBUCCO
UKD45,MFH_LOW,7694,3050442.881221839,4964071.150503941,1.8150766831297116,7.6,EUBUCCO
UKD45,NON_RESIDENTIAL,46036,10798288.208748564,0.0,1.2434572942914242,4.2,EUBUCCO
UKD45,SFH,115042,11128147.29220979,13622400.157559773,1.4622172771683384,6.5,EUBUCCO
UKD46,MFH_HIGH,2,1734.514907969207,8639.971181496372,5.8,17.450000000000003,EUBUCCO
UKD46,MFH_LOW,8943,4403679.57924336,7710511.698371058,1.9333668791233365,8.2,EUBUCCO
UKD46,NON_RESIDENTIAL,18930,6262451.108419912,0.0,1.2928367670364502,4.6,EUBUCCO
UKD46,SFH,53101,5657259.806996025,6902276.285631436,1.4442986007796463,7.7,EUBUCCO
UKD47,MFH_HIGH,12,9675.717724027907,73343.257923069,7.133333333333333,19.45,EUBUCCO
UKD47,MFH_LOW,9405,3786357.522187669,6246567.06555902,1.825847953216374,6.7,EUBUCCO
UKD47,NON_RESIDENTIAL,45512,10630622.708583206,0.0,1.24261513447003,3.7,EUBUCCO
UKD47,SFH,139036,13893937.768477917,16696219.424638161,1.4098931212060186,6.2,EUBUCCO
UKD61,MFH_HIGH,10,12076.045696162977,77144.94885703517,7.55,21.299999999999997,EUBUCCO
UKD61,MFH_LOW,3402,1204788.935572453,2244149.7469238276,2.087801293356849,8.1,EUBUCCO
UKD61,NON_RESIDENTIAL,14653,4591891.687408901,0.0,1.2715211901999592,4.1,EUBUCCO
UKD61,SFH,64521,5476109.35870464,7496585.283636606,1.6620697137366127,7.5,EUBUCCO
UKD62,MFH_HIGH,5,3152.782750544556,23491.399223525026,10.059999999999999,21.5,EUBUCCO
UKD62,MFH_LOW,7759,2924405.2321768505,4712036.767321327,1.786441551746359,7.1,EUBUCCO
UKD62,NON_RESIDENTIAL,44309,10940425.246297745,0.0,1.2228802274932857,4.1,EUBUCCO
UKD62,SFH,116775,11963941.011237446,15159202.530020341,1.5200333975594091,6.5,EUBUCCO
UKD63,MFH_HIGH,16,8102.750803272462,66550.26181033818,10.18125,30.5,EUBUCCO
UKD63,MFH_LOW,6681,1539205.7813590067,2593368.58732568,2.0206855261188448,8.4,EUBUCCO
UKD63,NON_RESIDENTIAL,40996,10462572.636578972,0.0,1.2560664455068788,4.1,EUBUCCO
UKD63,SFH,140104,10463442.214267403,13862880.282522807,1.5834801290469935,6.8,EUBUCCO
UKD71,MFH_HIGH,16,9360.898827994517,50702.49994145638,6.375,20.75,EUBUCCO
UKD71,MFH_LOW,7376,2982568.3004178926,4400792.874294741,1.6624186550976139,5.8,EUBUCCO
UKD71,NON_RESIDENTIAL,26204,9372035.740753729,0.0,1.302713326209739,3.9,EUBUCCO
UKD71,SFH,115746,10423736.463050993,12803279.452940838,1.4715972906191144,5.7,EUBUCCO
