building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,47,251819.1120206918,117.92500000000001,29695768.78504008,0.02969576878504008
MFH_HIGH,1971-1990,11,41078.39125766036,99.86250000000001,4102190.846968108,0.004102190846968108
MFH_HIGH,1991-2010,13,128171.49387347586,80.35500000000002,10299220.390203156,0.010299220390203156
MFH_HIGH,2011-2020,9,178000.9306492309,67.35000000000001,11988362.679225702,0.011988362679225702
MFH_HIGH,post-2020,4,53841.00833148447,58.68000000000001,3159390.368891509,0.0031593903688915087
MFH_HIGH,pre-1945,29,173184.08883019033,132.37500000000003,22925243.758896455,0.022925243758896454
MFH_HIGH,unknown,8799,50483358.529281326,110.39655,5573188614.045733,5.573188614045733
MFH_LOW,1946-1970,125,186927.89366157295,123.15000000000002,23020170.104422707,0.023020170104422706
MFH_LOW,1971-1990,106,112180.98495285399,105.08750000000002,11788819.256233048,0.011788819256233048
MFH_LOW,1991-2010,354,186888.3466020459,83.41249999999998,15588824.210943155,0.015588824210943155
MFH_LOW,2011-2020,337,226064.08786258168,68.96250000000002,15589944.659223285,0.015589944659223285
MFH_LOW,post-2020,156,71903.45048835174,58.125000000000014,4179388.059635445,0.004179388059635445
MFH_LOW,pre-1945,1210,1098443.0844443063,144.82500000000005,159082019.70464665,0.15908201970464664
MFH_LOW,unknown,2301740,965335565.4035959,117.69512500000005,113615290037.1219,113.61529003712191
NON_RESIDENTIAL,1946-1970,193,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,234,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,492,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,584,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,post-2020,331,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,1896,0.0,120.0,0.0,0.0
NON_RESIDENTIAL,unknown,7765986,0.0,120.0,0.0,0.0
SFH,1946-1970,905,83787.92230854009,135.60000000000002,11361642.265038036,0.011361642265038037
SFH,1971-1990,560,75998.09399877198,113.92500000000005,8658082.8588101,0.0086580828588101
SFH,1991-2010,2408,303779.5266650096,88.6375,26926257.794769794,0.026926257794769794
SFH,2011-2020,2436,281873.6254243162,70.57500000000003,19893231.114321128,0.019893231114321126
SFH,post-2020,1408,156403.75626015602,59.73750000000004,9343169.389591075,0.009343169389591075
SFH,pre-1945,3243,379921.0664859549,164.50000000000003,62497015.4369396,0.0624970154369396
SFH,unknown,14768310,1913331758.4735558,130.25350000000006,249218158202.33527,249.21815820233527
