n_person,building,unit,geo,2021
1,NRES,NR,AT,56779
1,NRES,NR,AT1,21754
1,NRES,NR,AT11,1492
1,NRES,NR,AT111,164
1,NRES,NR,AT112,735
1,NRES,NR,AT113,593
1,NRES,NR,AT12,7712
1,NRES,NR,AT121,1209
1,NRES,NR,AT122,1153
1,NRES,NR,AT123,827
1,NRES,NR,AT124,1186
1,NRES,NR,AT125,491
1,NRES,NR,AT126,1299
1,NRES,NR,AT127,1547
1,NRES,NR,AT13,12550
1,NRES,NR,AT130,12550
1,NRES,NR,AT2,11858
1,NRES,NR,AT21,3994
1,NRES,NR,AT211,2084
1,NRES,NR,AT212,1052
1,NRES,NR,AT213,858
1,NRES,NR,AT22,7864
1,NRES,NR,AT221,3277
1,NRES,NR,AT222,673
1,NRES,NR,AT223,933
1,NRES,NR,AT224,1446
1,NRES,NR,AT225,1020
1,NRES,NR,AT226,515
1,NRES,NR,AT3,23167
1,NRES,NR,AT31,8624
1,NRES,NR,AT311,1614
1,NRES,NR,AT312,3354
1,NRES,NR,AT313,1116
1,NRES,NR,AT314,1011
1,NRES,NR,AT315,1529
1,NRES,NR,AT32,5021
1,NRES,NR,AT321,229
1,NRES,NR,AT322,1856
1,NRES,NR,AT323,2936
1,NRES,NR,AT33,6990
1,NRES,NR,AT331,403
1,NRES,NR,AT332,2240
1,NRES,NR,AT333,400
1,NRES,NR,AT334,1170
1,NRES,NR,AT335,2777
1,NRES,NR,AT34,2532
1,NRES,NR,AT341,888
1,NRES,NR,AT342,1644
1,NRES,NR,ATZ,0
1,NRES,NR,ATZZ,0
1,NRES,NR,ATZZZ,0
1,NRES,NR,BE,25858
1,NRES,NR,BE1,3449
1,NRES,NR,BE10,3449
1,NRES,NR,BE100,3449
1,NRES,NR,BE2,15758
1,NRES,NR,BE21,4686
1,NRES,NR,BE211,2713
1,NRES,NR,BE212,882
1,NRES,NR,BE213,1091
1,NRES,NR,BE22,1976
1,NRES,NR,BE223,471
1,NRES,NR,BE224,942
1,NRES,NR,BE225,563
1,NRES,NR,BE23,2947
1,NRES,NR,BE231,638
1,NRES,NR,BE232,451
1,NRES,NR,BE233,287
1,NRES,NR,BE234,1015
1,NRES,NR,BE235,207
1,NRES,NR,BE236,349
1,NRES,NR,BE24,3366
1,NRES,NR,BE241,1873
1,NRES,NR,BE242,1493
1,NRES,NR,BE25,2783
1,NRES,NR,BE251,724
1,NRES,NR,BE252,48
1,NRES,NR,BE253,252
1,NRES,NR,BE254,637
1,NRES,NR,BE255,489
1,NRES,NR,BE256,348
1,NRES,NR,BE257,208
1,NRES,NR,BE258,77
1,NRES,NR,BE3,6651
1,NRES,NR,BE31,658
1,NRES,NR,BE310,658
1,NRES,NR,BE32,2070
1,NRES,NR,BE323,452
1,NRES,NR,BE328,435
1,NRES,NR,BE329,100
1,NRES,NR,BE32A,171
1,NRES,NR,BE32B,596
1,NRES,NR,BE32C,141
1,NRES,NR,BE32D,175
1,NRES,NR,BE33,1941
1,NRES,NR,BE331,226
1,NRES,NR,BE332,989
1,NRES,NR,BE334,109
1,NRES,NR,BE335,424
1,NRES,NR,BE336,193
1,NRES,NR,BE34,699
