# Ireland climate + retrofit-state national assumptions
# Mirror of ie.yaml.
#
parameter,value,unit,source
hdd_ie_2018_2022_avg,2560,degree-days/yr,Eurostat nrg_chdd_a (JRC AGRI4CAST) 2018-2022 mean estimate
hdd_proxy_2018_2022_avg,2560,degree-days/yr,direct TABULA country (proxy = self)
tabula_reference_hdd,2600,degree-days/yr,"Dublin Airport (DEAP / IE TABULA convention)"
climate_multiplier,0.9846,dimensionless,"2560 / 2600 (near-identity national mean vs Dublin reference)"
retrofit_share_original,0.72,fraction,"modelling assumption (SEAI Retrofit Plan annual reports 2019-2023)"
retrofit_share_standard,0.20,fraction,"modelling assumption (Better Energy Homes + One Stop Shop standard packages)"
retrofit_share_advanced,0.08,fraction,"modelling assumption (Warmer Homes deep + B2 upgrades 2023 ~13850/47953)"
retrofit_factor_standard,0.55,multiplier,"IE TABULA usual refurbishment (Energy Action 2012, provisional)"
retrofit_factor_advanced,0.25,multiplier,"IE TABULA advanced refurbishment / NZEB-equivalent (provisional)"
dhw_intensity_sfh,15.0,kWh/m2/yr,"IE TABULA / DEAP convention DHW assumption"
dhw_intensity_mfh,15.0,kWh/m2/yr,"IE TABULA / DEAP convention DHW assumption"
non_residential_intensity,110,kWh/m2/yr,"estimate (SEAI Commercial Public Services 2022 tertiary heating)"
