# Romania climate + retrofit-state national assumptions
# Mirror of ro.yaml.
#
parameter,value,unit,source
hdd_ro_2018_2022_avg,2805,degree-days/yr,Eurostat nrg_chdd_a (JRC AGRI4CAST) 2018-2022 mean estimate (NEEDS_VERIFY)
hdd_proxy_2018_2022_avg,3260,degree-days/yr,"Czech Republic (proxy; same period)"
tabula_reference_hdd,3400,degree-days/yr,"CZ TABULA reference (CSN 73 0540 Praha-Ruzyne)"
climate_multiplier,0.8250,dimensionless,"2805 / 3400 (RO actual vs CZ TABULA reference)"
retrofit_share_original,0.80,fraction,"modelling assumption (PNRT cumulative ~3500-4500 blocks by 2020; Renovate Europe 0.3pct/yr rate)"
retrofit_share_standard,0.15,fraction,"modelling assumption (PNRT facade + windows packages, partial-depth)"
retrofit_share_advanced,0.05,fraction,"modelling assumption (PNRR Component C5 deep renovations 2021-2026)"
retrofit_factor_standard,0.60,multiplier,"CZ TABULA standard refurbishment (proxy)"
retrofit_factor_advanced,0.32,multiplier,"CZ TABULA advanced refurbishment (proxy)"
dhw_intensity_sfh,12.0,kWh/m2/yr,"CZ TABULA proxy DHW (RO household sizes slightly larger; ~0.95 scaling)"
dhw_intensity_mfh,15.0,kWh/m2/yr,"CZ TABULA proxy DHW"
non_residential_intensity,100,kWh/m2/yr,"estimate (RO tertiary; CZ tertiary x 0.85 for mild climate)"
