# Slovenia climate + retrofit-state national assumptions
#
# Legacy national-parameters file consumed by 03_heat_intensity.py
# (load_national_params). The authoritative source is si.yaml; this file
# mirrors the values for documentation. All values are numeric.
#
# Slovenia is a DIRECT TABULA country: no proxy, climate_multiplier = 1.0.
# Sources: Eurostat nrg_chdd_a (HDD); Slovenian TABULA / ZRMK (retrofit
# factors, DHW, refurbishment-state subtypes). See si.yaml and
# literature/slovenia/classification_methodology.md.
#
parameter,value,unit,source
hdd_si_2018_2022_avg,2693.30,degree-days/yr,Eurostat nrg_chdd_a (JRC AGRI4CAST)
hdd_proxy_2018_2022_avg,2693.30,degree-days/yr,direct TABULA country (proxy = self)
climate_multiplier,1.0,dimensionless,direct Slovenian TABULA
retrofit_share_original,0.55,fraction,modelling assumption (ZRMK refurbishment-state subtypes)
retrofit_share_standard,0.32,fraction,modelling assumption (ZRMK medium-refurbished)
retrofit_share_advanced,0.13,fraction,modelling assumption (ZRMK full-refurbished)
retrofit_factor_standard,0.65,multiplier,Slovenian TABULA standard refurbishment (provisional)
retrofit_factor_advanced,0.40,multiplier,Slovenian TABULA advanced refurbishment (provisional)
dhw_intensity_sfh,20.0,kWh/m2/yr,Slovenian TABULA (provisional)
dhw_intensity_mfh,18.0,kWh/m2/yr,Slovenian TABULA (provisional)
non_residential_intensity,110,kWh/m2/yr,estimate (Slovenian non-residential space heating)
