# TABULA Czechia synthetical-average residential building intensities
#
# Source: EPISCOPE follow-up project (IEE 2013-2016). The PRIMARY EPISCOPE
#   scientific report for the Czech national residential typology is authored
#   by STU-K (CZ_TABULA_ScientificReport_STU-K.pdf), with SEVEn as secondary
#   stakeholder. Lupisek et al. (2016) and CTU Prague / UCEEB are a separate
#   companion good-practice deliverable, not the primary scientific report.
#   (Attribution corrected 2026-05-22 per literature/tabula_intensity_verification.md.)
#   - Country page: episcope.eu/building-typology/country/cz
#   - CZ_TABULA_ScientificReport_STU-K.pdf (primary EPISCOPE scientific report).
#   - Lupisek A. et al. (2016). Building typology of the Czech residential
#     stock. EPISCOPE companion deliverable (CTU Prague / UCEEB).
#   - CSN 73 0540 (Czech thermal-protection standard); PENB (Prukaz
#     energeticke narocnosti budovy) reference climate.
#
# Czechia IS a TABULA country -- this is the DIRECT national typology, used
# without a proxy (tabula.source_country = CZ in cz.yaml). It is ALSO used as
# the climate-corrected PROXY for Slovakia (sk.yaml, multiplier 0.9382) --
# Slovakia is slightly milder than the Czech reference climate.
#
# CLIMATE ZONE: the Czech EPISCOPE brochure calibrates intensities to the
# Czech reference climate (CSN 73 0540; Praha-Ruzyne long-term mean,
# ~3400 HDD at base 15 C). This is essentially the national mean (2018-2022
# actual ~3331), so the multiplier in cz.yaml is near-unity (~0.980). For
# Slovakia the multiplier is HDD_SK / 3400 (not HDD_SK / HDD_CZ_actual) --
# see literature/climate_reference_hdd_audit.md for the methodology.
#
# IMPORTANT -- VALUES ARE RESEARCH-SYNTHESISED BEST ESTIMATES, NEEDS_VERIFY
# ------------------------------------------------------------------------
# The full per-class per-period numeric matrix of the Czech EPISCOPE is held
# in the TABULA WebTool (interactive, not machine-extractable) and the
# Lupisek 2016 brochure (PDF). The sh_intensity values below are best
# estimates bracketing the German TABULA (DIN reference) and the Polish
# TABULA (EK-derived), informed by:
#   - the Czech panelove domy stock structure (VVU-ETA, T-06B, P1.11 series)
#   - the CSN 73 0540 thermal-protection requirements by period
#   - the PENB energy-certificate methodology
# Verify against the TABULA WebTool (country CZ) or Lupisek 2016 brochure
# numeric appendix before reporting. Treat as +/-20-30 pct uncertainty.
#
# Building class mapping (Czech TABULA -> our 4-class scheme):
#   SFH       <- CZ TABULA SFH (rodinny dum, detached single-family)
#   MFH_LOW   <- CZ TABULA MFH (bytovy dum, multi-family up to ~5 floors)
#   MFH_HIGH  <- CZ TABULA AB / panelovy dum (large-panel apartment block,
#                6+ floors; VVU-ETA, T-06B, P1.11 series)
#   NON_RES   <- not in TABULA; handled separately in 03_heat_intensity.py
#
# Cohort mapping (Czech TABULA periods -> our 6 cohorts):
#   pre-1945    <- CSN 73 0540 pre-thermal-code; cinzovni domy / kamenice
#   1946-1970   <- early socialist; T-series first panelak (1953+)
#   1971-1990   <- peak panelovy dum era; first thermal regs 1979
#   1991-2010   <- post-Velvet; CSN 73 0540 1994/2002 thermal updates
#   2011-2020   <- CSN 73 0540-2 2011; PENB-driven new-build
#   post-2020   <- nZEB per EPBD; Czech nZEB definition since 2020
#
# Refurbishment reduction factors (Czech EPISCOPE, typology-averaged):
#   standard "konvencni" refurbishment ~0.60 of existing-state SH need
#   advanced "pasivni"/NZU-deep refurbishment ~0.32 of existing-state SH need
# These inform the retrofit blend in cz.yaml and sk.yaml.
#
# DHW: Czech EPISCOPE / CSN 73 0331-1 convention; SFH ~12, MFH ~14-15.
#
# MFH_HIGH pre-1945 gap: large-panel apartment blocks did not exist in
# Czechoslovakia before ~1953 (T-series first cohort). The pre-1945 MFH_HIGH
# cell is proxied from cinzovni domy (multi-storey rental masonry); flagged.
#
# Citations:
#   Lupisek A. et al. (2016). Building typology of the Czech residential stock.
#     EPISCOPE deliverable; CTU Prague / UCEEB.
#   Loga T., Stein B., Diefenbach N. (2016). Energy & Buildings 132:4-12.
#   CSN 73 0540 (Czech thermal-protection standard).
#
#
building_class,cohort,sh_intensity_kwh_m2_yr,dhw_intensity_kwh_m2_yr,source_note
SFH,pre-1945,245,12,"CZ EPISCOPE SFH pre-1945; uninsulated masonry detached; ESTIMATE pending WebTool"
SFH,1946-1970,230,12,"CZ EPISCOPE SFH 1946-1970; early socialist; pre-CSN thermal; ESTIMATE"
SFH,1971-1990,175,12,"CZ EPISCOPE SFH 1971-1990; first CSN 73 0540 1979; ESTIMATE"
SFH,1991-2010,115,12,"CZ EPISCOPE SFH 1991-2010; CSN 73 0540 1994/2002; ESTIMATE"
SFH,2011-2020,88,12,"CZ EPISCOPE SFH 2011-2020; CSN 73 0540-2 2011; ESTIMATE"
SFH,post-2020,65,12,"EXTRAPOLATED -- nZEB per EPBD recast; FLAGGED"
MFH_LOW,pre-1945,195,14,"CZ EPISCOPE MFH pre-1945; cinzovni dum / urban masonry; ESTIMATE pending WebTool"
MFH_LOW,1946-1970,175,14,"CZ EPISCOPE MFH 1946-1970; early socialist masonry; ESTIMATE"
MFH_LOW,1971-1990,145,14,"CZ EPISCOPE MFH 1971-1990; mid-rise apartment blocks; ESTIMATE"
MFH_LOW,1991-2010,88,14,"CZ EPISCOPE MFH 1991-2010; CSN 73 0540 1994/2002; ESTIMATE"
MFH_LOW,2011-2020,70,14,"CZ EPISCOPE MFH 2011-2020; CSN 73 0540-2 2011; ESTIMATE"
MFH_LOW,post-2020,55,14,"EXTRAPOLATED -- nZEB per EPBD recast; FLAGGED"
MFH_HIGH,pre-1945,175,15,"CZ pre-1945 large multi-storey rental; pre-panelak; FLAGGED limitation"
MFH_HIGH,1946-1970,165,15,"CZ EPISCOPE AB 1946-1970; T-series first panelak (1953+); ESTIMATE"
MFH_HIGH,1971-1990,155,15,"CZ EPISCOPE AB 1971-1990; peak panelove domy (VVU-ETA; T-06B; P1.11); ESTIMATE"
MFH_HIGH,1991-2010,92,15,"CZ EPISCOPE AB 1991-2010; post-Velvet new-build; ESTIMATE"
MFH_HIGH,2011-2020,75,15,"CZ EPISCOPE AB 2011-2020; CSN 73 0540-2 2011; ESTIMATE"
MFH_HIGH,post-2020,55,15,"EXTRAPOLATED -- nZEB per EPBD recast; FLAGGED"
