# TABULA Denmark synthetical-average residential building intensities
#
# Source: IEE TABULA project (2009-2012). Danish national typology by SBi
# (Statens Byggeforskningsinstitut, now Aalborg University BUILD). Lead:
# Kim Bjarne Wittchen, Jesper Kragh. Publication: SBi 2012:01.
#   - Country page: episcope.eu/building-typology/country/dk/
#   - DK TABULA Scientific Report (SBi):
#     episcope.eu/fileadmin/tabula/public/docs/scientific/DK_TABULA_ScientificReport_SBi.pdf
#   - 27 building types, 9 age bands, Real-Example + Synthetic-Average models.
#
# Denmark IS a TABULA country -- direct national typology.
#
# CLIMATE: DK TABULA uses Danish DRY 2010 (København) reference, ~2900 HDD15.
# National 2018-2022 mean ~2769 HDD (within 5pct). No Option B needed;
# climate_multiplier ~0.955 (near-identity).
#
# IMPORTANT -- VALUES ARE RESEARCH-SYNTHESISED, NEEDS_VERIFY.
# The full per-class per-period matrix is held in the TABULA WebTool and SBi
# 2012:01. Values below estimated from SBi published intensity ranges.
#
# Cohort mapping (DK TABULA 9 periods -> our 6 cohorts):
#   pre-1850 / 1851-1930 / 1931-1950 / 1951-1960 / 1961-1972 / 1973-1978
#   / 1979-1998 / 1999-2006 / 2007+
#
# Refurbishment factors: DK TABULA standard ~0.50; advanced (BR18-equiv) ~0.30.
#
# DHW: stock-uniform ~15 kWh/m2 useful.
#
# Citations: Wittchen K.B., Kragh J. (2012). SBi 2012:01. Aalborg University.
#
#
building_class,cohort,sh_intensity_kwh_m2_yr,dhw_intensity_kwh_m2_yr,source_note
SFH,pre-1945,255,15,"DK SFH pre-1945; uninsulated brick parcelhuse; ESTIMATE"
SFH,1946-1970,225,15,"DK SFH 1946-1972; postwar parcelhuse; ESTIMATE"
SFH,1971-1990,165,15,"DK SFH 1973-1998; post-oil-crisis BR-S Wechselberg 1985 thermal regs; ESTIMATE"
SFH,1991-2010,105,15,"DK SFH 1999-2006; BR06 thermal updates; ESTIMATE"
SFH,2011-2020,55,15,"DK SFH 2007+; BR10/BR15/BR18 NZEB-track; ESTIMATE"
SFH,post-2020,38,15,"BR18 / BR23 NZEB 30 kWh/m2 frame; ESTIMATE"
MFH_LOW,pre-1945,205,15,"DK MFH pre-1945; Copenhagen + Aarhus urban karreer; ESTIMATE"
MFH_LOW,1946-1970,175,15,"DK MFH postwar; DH-connected blocks; ESTIMATE"
MFH_LOW,1971-1990,140,15,"DK MFH 1973-1998; post-oil-crisis thermal regs; ESTIMATE"
MFH_LOW,1991-2010,90,15,"DK MFH 1999-2006; ESTIMATE"
MFH_LOW,2011-2020,50,15,"DK MFH 2007+; BR18 NZEB-track; ESTIMATE"
MFH_LOW,post-2020,35,15,"BR18/BR23 NZEB; ESTIMATE"
MFH_HIGH,pre-1945,195,15,"DK high-rise pre-1945; Copenhagen karreer; ESTIMATE"
MFH_HIGH,1946-1970,170,15,"DK high-rise 1946-1972; Brondby Strand etc; ESTIMATE"
MFH_HIGH,1971-1990,135,15,"DK high-rise 1973-1998; thermal regs era; ESTIMATE"
MFH_HIGH,1991-2010,90,15,"DK high-rise 1999-2006; ESTIMATE"
MFH_HIGH,2011-2020,50,15,"DK high-rise 2007+; BR18 NZEB-track; ESTIMATE"
MFH_HIGH,post-2020,35,15,"BR18/BR23 NZEB; ESTIMATE"
