# TABULA Hungary residential building intensities (HU-DIRECT, replaces DE proxy)
#
# Source: Hungarian EPISCOPE/TABULA national residential building typology
#   brochure, the definitive national dataset:
#   - Csoknyai T., Hrabovszky-Horvath S., Seprodi-Egeresi M., Szendro G. (2014).
#     "Lakoepulet tipologia Magyarorszagon / National Typology of Residential
#     Buildings in Hungary." BME (Budapest University of Technology and
#     Economics), 2014-10-13.
#     https://episcope.eu/fileadmin/tabula/public/docs/brochure/HU_TABULA_TypologyBrochure_BME.pdf
#   Cross-validation typology references (not used for the numeric values here,
#   which come straight from the BME brochure charts):
#   - Csoknyai T. et al. (2016). "Building stock characteristics and energy
#     performance of residential buildings in Eastern-European countries."
#     Energy & Buildings 132:39-52. DOI 10.1016/j.enbuild.2016.06.062
#   - Hrabovszky-Horvath S. et al. (2013). Energy & Buildings 62:475-485.
#
# Values: net/useful space-heating energy need (futesi energiaigeny, q_h_nd,
#   kWh/m2/yr, EN ISO 13790 / TABULA reference calculation) of the EXISTING /
#   non-refurbished reference building, at the heated reference floor area.
#   Read numerically off each archetype's "Heat transfer during heating season"
#   chart in the BME brochure (page numbers cited per cell in source_note).
#   These are the TABULA reference example buildings; the brochure notes (p.10)
#   that envelope areas/U-values "are not necessarily representative in a
#   statistical sense", so the bottom-up total is reported as-is and reconciled
#   against Hotmaps WITHOUT calibration.
#
# Hungary IS a TABULA country (via BME). This file replaces the previous
# transitional German proxy (de_intensities.csv x HDD_HU/HDD_DE). With HU-direct
# values calibrated to the Hungarian reference climate, NO climate multiplier is
# applied (hu.yaml: tabula.source_country = HU, climate_multiplier = 1.0).
#
# COHORT MAPPING (BME brochure periods -> our 6-cohort scheme). The brochure
# uses pre-1944 / 1945-1979 / 1980-1989 / 1990-2005 / post-2006 (Table 1, p.11);
# mapped to our cohorts by midpoint proximity:
#   pre-1945   <- BME pre-1944
#   1946-1970  <- BME 1945-1979
#   1971-1990  <- BME 1980-1989   (1980s panel/SFH era dominates this band)
#   1991-2010  <- BME 1990-2005
#   2011-2020  <- BME post-2006
#   post-2020  <- BME post-2006   (EXTRAPOLATED; brochure has no post-2020 build; FLAGGED)
#
# CLASS MAPPING (BME archetypes -> our 4-class scheme):
#   SFH       <- mean of BME SFH>80 m2 (SFH.0x) and SFH<80 m2 (SFH.0x.Bel80)
#                where both exist; single SFH value otherwise.
#   MFH_LOW   <- BME multi-family (MFH.0x), the smaller/traditional blocks.
#   MFH_HIGH  <- BME panel/industrialised block (AB.0x.Ind / AB.05). Where the
#                brochure has no large block for a period (pre-1944, and post-1990
#                except new-build), MFH is used as a fallback (FLAGGED in note).
#   NON_RES   <- not in TABULA; handled separately in 03_heat_intensity.py.
#
# DHW: the BME brochure does not separate a per-class area-specific DHW need in
# text-extractable form, so DHW is carried at the central-European DE-TABULA
# values (DHW is occupancy/usage-driven and roughly invariant across the
# central-European stock): 11.0 SFH, 14.6 MFH_LOW, 16.5 MFH_HIGH (new-build
# 11.6/14.0/16.1). Replacing these with an HU-specific DHW figure is a flagged
# future refinement; it affects ~5-16 kWh/m2/yr, second-order vs space heat.
#
# NOTE on direction: the BME old-SFH values (~285-306 existing) are HIGHER than
# German TABULA SFH for the oldest cohorts but the HU MFH/panel values are LOWER,
# and the HU stock is MFH/panel-heavy, so the net effect of the switch on the
# bottom-up is not sign-obvious and MUST be re-reconciled in Colab (no local
# classified parquet). See literature/inv_countries_academic_refinements.md
# "Correction 1" and hungary methodology doc.
#
building_class,cohort,sh_intensity_kwh_m2_yr,dhw_intensity_kwh_m2_yr,source_note
SFH,pre-1945,305.6,11.0,"mean BME SFH.01 290.7 (>80) and SFH.01.Bel80 320.5 (<80); pre-1944; brochure p.27/p.35"
SFH,1946-1970,285.1,11.0,"mean BME SFH.02 283.9 and SFH.02.Bel80 286.2; 1945-1979; p.39/p.47"
SFH,1971-1990,212.4,11.0,"BME SFH.03 (1980-1989); p.55"
SFH,1991-2010,105.1,11.0,"BME SFH.04 (1990-2005); p.67"
SFH,2011-2020,73.3,11.6,"BME SFH.05 (post-2006, code level); p.75"
SFH,post-2020,73.3,11.6,"EXTRAPOLATED from BME SFH.05 (post-2006); no post-2020 archetype; FLAGGED; p.75"
MFH_LOW,pre-1945,203.8,14.6,"BME MFH.01 (pre-1944); p.31"
MFH_LOW,1946-1970,136.4,14.6,"BME MFH.02 (1945-1979); p.43"
MFH_LOW,1971-1990,164.8,14.6,"BME MFH.03 (1980-1989); p.59"
MFH_LOW,1991-2010,90.7,14.6,"BME MFH.04 (1990-2005); p.71"
MFH_LOW,2011-2020,58.5,14.0,"BME MFH.05 (post-2006, code level); p.80"
MFH_LOW,post-2020,58.5,14.0,"EXTRAPOLATED from BME MFH.05 (post-2006); FLAGGED; p.80"
MFH_HIGH,pre-1945,203.8,16.5,"FLAGGED: no pre-war large block in BME; proxied to MFH.01 (203.8); p.31"
MFH_HIGH,1946-1970,109.2,16.5,"BME AB.02.Ind panel/industrialised block (1945-1979); p.51"
MFH_HIGH,1971-1990,89.9,16.5,"BME AB.03.Ind panel block (1980-1989); p.63"
MFH_HIGH,1991-2010,90.7,16.5,"FLAGGED: no panel block 1990-2005 in BME; proxied to MFH.04 (90.7); p.71"
MFH_HIGH,2011-2020,51.4,16.1,"BME AB.05 apartment block (post-2006, code level); p.84"
MFH_HIGH,post-2020,51.4,16.1,"EXTRAPOLATED from BME AB.05 (post-2006); FLAGGED; p.84"
