# TABULA Ireland synthetical-average residential building intensities
#
# Source: IEE TABULA project (2009-2012). The Irish national residential
#   typology was produced by Energy Action Ltd (Badurek, Hanratty, Sheldrick).
#   - Country page: episcope.eu/building-typology/country/ie/
#   - IE TABULA Scientific Report (Energy Action):
#     episcope.eu/fileadmin/tabula/public/docs/scientific/IE_TABULA_ScientificReport_EnergyAction.pdf
#   - IE TABULA Brochure (Energy Action, 2012):
#     episcope.eu/fileadmin/tabula/public/docs/brochure/IE_TABULA_TypologyBrochure_EnergyAction.pdf
#   - DEAP / SEAI BER reference (Building Energy Rating database).
#   - Typology: 34 dwelling types across 10 age bands (pre-1900 -> NZEB-era),
#     but only one apartment archetype (pre-1977). No EPISCOPE update beyond 2012.
#
# Ireland IS a TABULA country -- this is the DIRECT national typology.
#
# CLIMATE ZONE: IE TABULA uses Dublin (Dublin Airport / DEAP convention) as
# the reference station. ~2600 HDD15. National 2018-2022 mean ~2560 (within
# 5 pct). Climate multiplier ~0.985, no Option B correction needed.
#
# IMPORTANT -- VALUES ARE RESEARCH-SYNTHESISED BEST ESTIMATES, NEEDS_VERIFY
# ------------------------------------------------------------------------
# The full per-class per-period matrix requires manual extraction from the
# Energy Action brochure. Values below are best estimates based on the
# DEAP/BER intensity ranges per dwelling type x build period, with the IE
# stock's high "energy-poverty / under-heating" baseline noted in
# comfort_regime considerations (ESRI WP749 fuel-poverty).
#
# Cohort mapping (IE TABULA 10 periods -> our 6 cohorts):
#   pre-1900 / 1900-1929 / 1930-1949 / 1950-1966 / 1967-1977 / 1978-1982
#   / 1983-1993 / 1994-1999 / 2000-2004 / 2005+
#
# Refurbishment factors: IE TABULA "usual" ~0.55 of original; "advanced"
# (NZEB-equivalent) ~0.25 of original.
#
# DHW: ~15 kWh/m^2 useful (DEAP/EN 12831 convention).
#
# IE has ONLY ONE APARTMENT ARCHETYPE (pre-1977) in TABULA. MFH_LOW and
# MFH_HIGH values below are based on that one archetype with cohort scaling
# applied based on DEAP-era thermal-regulation tightening. Flagged.
#
# Citations:
#   Badurek M., Hanratty M., Sheldrick W. (2012). Irish building typology.
#     Energy Action Ltd, TABULA national report.
#   SEAI Heating and Cooling in Ireland Today.
#   ESRI WP749 (Goodman et al.) fuel-poverty / thermostat setpoints.
#
#
building_class,cohort,sh_intensity_kwh_m2_yr,dhw_intensity_kwh_m2_yr,source_note
SFH,pre-1945,290,15,"IE SFH pre-1945; uninsulated solid-wall masonry; ESTIMATE pending brochure"
SFH,1946-1970,255,15,"IE SFH 1946-1970; cavity-wall (uninsulated); ESTIMATE"
SFH,1971-1990,185,15,"IE SFH 1971-1990; first 1979 thermal regs (Part L); ESTIMATE"
SFH,1991-2010,130,15,"IE SFH 1991-2010; Part L 1997/2002/2008 tightening; ESTIMATE"
SFH,2011-2020,75,15,"IE SFH 2011-2020; Part L 2011 (60pct reduction); A3 BER standard; ESTIMATE"
SFH,post-2020,55,15,"NZEB Part L 2019; BER A2; ESTIMATE"
MFH_LOW,pre-1945,235,15,"IE MFH pre-1945 (rare; mostly Dublin Georgian); ESTIMATE FLAGGED"
MFH_LOW,1946-1970,210,15,"IE MFH 1946-1970; local-authority blocks (e.g. Ballymun); ESTIMATE"
MFH_LOW,1971-1990,165,15,"IE MFH 1971-1990; first thermal regs; ESTIMATE"
MFH_LOW,1991-2010,110,15,"IE MFH 1991-2010; Celtic Tiger apartment-building era; ESTIMATE"
MFH_LOW,2011-2020,70,15,"IE MFH 2011-2020; Part L 2011 NZEB-track; ESTIMATE"
MFH_LOW,post-2020,50,15,"NZEB Part L 2019; ESTIMATE"
MFH_HIGH,pre-1945,220,15,"IE high-rise pre-1945 essentially absent; FLAGGED"
MFH_HIGH,1946-1970,200,15,"IE high-rise 1946-1970 (Ballymun towers etc., demolished); ESTIMATE FLAGGED"
MFH_HIGH,1971-1990,160,15,"IE high-rise 1971-1990; few; ESTIMATE FLAGGED"
MFH_HIGH,1991-2010,110,15,"IE high-rise 1991-2010; mostly Dublin Docklands; ESTIMATE"
MFH_HIGH,2011-2020,68,15,"IE high-rise 2011-2020; ESTIMATE"
MFH_HIGH,post-2020,50,15,"NZEB Part L 2019; ESTIMATE"
