country,hp_lcoh,h2_green,h2_blue_flat,h2_blue_proportional,green_lead,flat_lead,proportional_lead
AT,106.88,114.9,215.62,146.58,False,False,False
BE,138.37,130.92,227.28,165.29,True,False,False
BG,81.91,122.8,224.05,154.14,False,False,False
CH,122.39,128.03,225.49,161.73,False,False,False
CY,196.95,284.5,364.02,329.31,False,False,False
CZ,108.29,122.08,211.92,160.49,False,False,False
DE,139.35,114.25,206.81,150.97,True,False,False
DK,140.84,111.14,218.37,138.77,True,False,True
EE,80.85,96.28,202.97,124.25,False,False,False
EL,130.15,177.69,272.96,212.73,False,False,False
ES,126.52,158.27,260.07,189.27,False,False,False
FI,87.12,97.59,202.1,126.9,False,False,False
FR,123.26,129.92,222.48,166.65,False,False,False
HR,98.46,138.41,232.06,174.47,False,False,False
HU,65.13,126.47,216.31,164.88,False,False,False
IE,125.58,119.77,229.73,145.72,True,False,False
IT,137.54,151.54,240.29,190.62,False,False,False
LT,79.99,99.45,205.6,127.76,False,False,False
LU,125.01,135.37,227.93,172.09,False,False,False
LV,77.07,98.73,204.87,127.03,False,False,False
MT,187.59,286.23,366.83,330.37,False,False,False
NL,118.48,109.35,210.6,140.69,True,False,False
PL,110.57,108.82,203.56,144.2,True,False,False
PT,129.94,166.56,272.71,194.86,False,False,False
RO,85.02,111.87,210.95,144.55,False,False,False
SE,85.16,102.55,207.61,131.53,False,False,False
SI,107.42,137.17,225.93,176.26,False,False,False
SK,99.03,125.27,215.11,163.68,False,False,False
UK,122.94,102.96,209.65,130.93,True,False,False
