country,scenario,year,case,h2_gate_eur_mwh,h2_turbine_srmc,ocgt_srmc,advantage_eur_mwh_e,hydrogen_wins
DE,H2_PUSH,2050,green,31.61,184.2,256.2,72.0,True
DE,H2_PUSH,2050,blue_flat,81.0,289.1,256.2,-32.9,False
DE,H2_PUSH,2050,blue_proportional,51.21,225.8,256.2,30.4,True
DK,H2_PUSH,2050,green,23.78,167.5,256.2,88.7,True
DK,H2_PUSH,2050,blue_flat,81.0,289.1,256.2,-32.9,False
DK,H2_PUSH,2050,blue_proportional,38.52,198.9,256.2,57.3,True
FR,H2_PUSH,2050,green,31.61,184.2,256.2,72.0,True
FR,H2_PUSH,2050,blue_flat,81.0,289.1,256.2,-32.9,False
FR,H2_PUSH,2050,blue_proportional,51.21,225.8,256.2,30.4,True
NL,H2_PUSH,2050,green,26.97,174.3,256.2,81.9,True
NL,H2_PUSH,2050,blue_flat,81.0,289.1,256.2,-32.9,False
NL,H2_PUSH,2050,blue_proportional,43.69,209.8,256.2,46.4,True
PL,H2_PUSH,2050,green,30.45,181.7,256.2,74.5,True
PL,H2_PUSH,2050,blue_flat,81.0,289.1,256.2,-32.9,False
PL,H2_PUSH,2050,blue_proportional,49.33,221.8,256.2,34.4,True
RO,H2_PUSH,2050,green,28.13,176.8,256.2,79.4,True
RO,H2_PUSH,2050,blue_flat,81.0,289.1,256.2,-32.9,False
RO,H2_PUSH,2050,blue_proportional,45.57,213.8,256.2,42.4,True
UK,H2_PUSH,2050,green,24.07,168.1,256.2,88.1,True
UK,H2_PUSH,2050,blue_flat,81.0,289.1,256.2,-32.9,False
UK,H2_PUSH,2050,blue_proportional,38.99,199.9,256.2,56.3,True
