scenario,storage_scale,sigma_cavern_heat_eur_mwh,scarcity_premium,power_h2_wins,winners_all_cavern
H2_PUSH,0.5,25.0,30.0,29,False
H2_PUSH,0.5,25.0,60.0,29,False
H2_PUSH,0.5,25.0,90.0,29,False
H2_PUSH,0.5,25.0,120.0,29,False
H2_PUSH,0.75,38.0,30.0,29,False
H2_PUSH,0.75,38.0,60.0,29,False
H2_PUSH,0.75,38.0,90.0,29,False
H2_PUSH,0.75,38.0,120.0,29,False
H2_PUSH,0.9,45.0,30.0,8,False
H2_PUSH,0.9,45.0,60.0,8,False
H2_PUSH,0.9,45.0,90.0,8,False
H2_PUSH,0.9,45.0,120.0,8,False
H2_PUSH,1.0,50.0,30.0,7,True
H2_PUSH,1.0,50.0,60.0,7,True
H2_PUSH,1.0,50.0,90.0,7,True
H2_PUSH,1.0,50.0,120.0,7,True
H2_PUSH,1.1,55.0,30.0,7,True
H2_PUSH,1.1,55.0,60.0,7,True
H2_PUSH,1.1,55.0,90.0,7,True
H2_PUSH,1.1,55.0,120.0,7,True
H2_PUSH,1.25,62.0,30.0,7,True
H2_PUSH,1.25,62.0,60.0,7,True
H2_PUSH,1.25,62.0,90.0,7,True
H2_PUSH,1.25,62.0,120.0,7,True
H2_PUSH,1.5,75.0,30.0,7,True
H2_PUSH,1.5,75.0,60.0,7,True
H2_PUSH,1.5,75.0,90.0,7,True
H2_PUSH,1.5,75.0,120.0,7,True
H2_PUSH,1.75,88.0,30.0,2,True
H2_PUSH,1.75,88.0,60.0,2,True
H2_PUSH,1.75,88.0,90.0,2,True
H2_PUSH,1.75,88.0,120.0,2,True
H2_PUSH,2.0,100.0,30.0,0,True
H2_PUSH,2.0,100.0,60.0,0,True
H2_PUSH,2.0,100.0,90.0,0,True
H2_PUSH,2.0,100.0,120.0,0,True
